tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
0	1	2858123	2858123	488762	NA	663634	444379	NA	0
1	1	2383638	5241761	495133	NA	776183	819342	NA	0
2	1	3319271	8561032	536118	NA	997793	1300286	NA	0
3	1	3812613	12373645	579729	NA	1215415	1836530	NA	0
4	1	3163235	15536880	585842	NA	1372724	2330934	NA	0
5	1	3699447	19236327	616918	NA	1605746	2903978	NA	0
6	1	2346757	21583084	619050	NA	1715947	3274696	NA	0
7	1	227618	21810702	619536	NA	1726267	3313443	NA	0
8	1	2122398	23933100	623210	NA	1852403	3655193	NA	0
9	1	1298879	25231979	624448	NA	1912173	3855938	NA	0
10	1	3340714	28572693	649089	NA	2071827	4372661	NA	0
11	1	3130877	31703570	651065	NA	2215292	4880732	NA	0
12	1	3060920	34764490	651909	NA	2355334	5377463	NA	0
13	1	2217916	36982406	652000	NA	2454107	5734197	NA	0
14	1	2291136	39273542	652366	NA	2559970	6089812	NA	0
15	1	2148194	41421736	653172	NA	2656726	6436320	NA	0
16	1	4901797	46323533	738020	NA	2911306	7030857	NA	0
17	1	3311713	49635246	788598	NA	3159069	7556802	NA	0
18	1	3312945	52948191	800405	NA	3313905	8053921	NA	0
19	1	3130877	56079068	800457	NA	3456114	8561992	NA	0
20	1	2928089	59007157	806262	NA	3589278	9030162	NA	0
21	1	2217916	61225073	806314	NA	3688051	9386896	NA	0
22	1	2291136	63516209	806366	NA	3793604	9742511	NA	0
23	1	2148194	65664403	806418	NA	3889566	10089019	NA	0
24	1	3373438	69037841	819888	NA	4048462	10597601	NA	0
25	1	3403824	72441665	826903	NA	4211170	11129585	NA	0
26	1	1376778	73818443	828134	NA	4272806	11342372	NA	0
27	1	3051811	76870254	828205	NA	4411558	11826494	NA	0
28	1	3199257	80069511	836964	NA	4564809	12319126	NA	0
29	1	2122398	82191909	837016	NA	4659022	12660876	NA	0
30	1	2291136	84483045	837031	NA	4764575	13016491	NA	0
31	1	1555026	86038071	837102	NA	4836136	13261232	NA	0
32	1	3827792	89865863	861846	NA	5023365	13817937	NA	0
33	1	2812277	92678140	863523	NA	5152350	14262464	NA	0
34	1	3244042	95922182	888462	NA	5326806	14744924	NA	0
35	1	3130877	99053059	888477	NA	5469015	15252995	NA	0
36	1	3313928	102366987	895172	NA	5631264	15781380	NA	0
37	1	2217916	104584903	895187	NA	5730037	16138114	NA	0
38	1	2291136	106876039	895202	NA	5835590	16493729	NA	0
39	1	2148194	109024233	895217	NA	5931552	16840237	NA	0
40	1	3659517	112683750	908133	NA	6108616	17402077	NA	0
41	1	3051811	115735561	908185	NA	6247368	17886199	NA	0
42	1	2291136	118026697	908200	NA	6352921	18241814	NA	0
43	1	1555026	119581723	908252	NA	6424482	18486555	NA	0
44	1	3130877	122712600	908267	NA	6566691	18994626	NA	0
45	1	2217916	124930516	908282	NA	6665464	19351360	NA	0
46	1	2291136	127221652	908297	NA	6771017	19706975	NA	0
47	1	3256665	130478317	909653	NA	6919681	20236524	NA	0
48	1	2148194	132626511	909668	NA	7015643	20583032	NA	0
49	1	3723571	136350082	923365	NA	7195297	21154684	NA	0
50	2	2858123	139208205	923415	NA	7323148	21599063	NA	0
51	2	2383638	141591843	923466	NA	7433221	21974026	NA	0
52	2	3319271	144911114	923517	NA	7574211	22454970	NA	0
53	2	3812613	148723727	923568	NA	7734774	22991214	NA	0
54	2	3163235	151886962	923620	NA	7876283	23485618	NA	0
55	2	3699447	155586409	923672	NA	8045054	24058662	NA	0
56	2	2346757	157933166	923724	NA	8150658	24429380	NA	0
57	2	227618	158160784	923776	NA	8159617	24468127	NA	0
