tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	1836	746	1836	746	39	39	71	1957
1	3726840	890703	3728676	891449	52864	52857	136676	3218168
2	3341805	161253	7070481	1052702	47884	458	124225	270562
3	3871485	246094	10941966	1298796	53038	4705	137607	655105
4	2894389	135486	13836355	1434282	41991	241	108794	232981
5	3910918	178181	17747273	1612463	53243	372	138940	299970
6	3977380	197329	21724653	1809792	54311	1408	140453	370474
7	4423246	259176	26147899	2068968	61022	4190	155285	585912
8	3224620	218443	29372519	2287411	46534	4466	120303	491078
9	3022248	165819	32394767	2453230	43315	1682	113856	309532
10	3755417	188075	36150184	2641305	53659	935	138422	334593
11	3423516	165814	39573700	2807119	48858	424	128051	278484
12	3591597	183607	43165297	2990726	51194	1062	134519	327994
13	3547473	167139	46712770	3157865	50451	182	131172	271975
14	3893927	174362	50606697	3332227	53041	206	137994	287114
15	3770999	180569	54377696	3512796	51778	850	134544	317528
16	3608859	205165	57986555	3717961	51355	2916	133427	407321
17	2807366	128126	60793921	3846087	40070	22	106191	207626
18	3437381	183380	64231302	4029467	50109	1461	129187	342085
19	3531244	151558	67762546	4181025	47843	206	124542	255315
20	3854245	172429	71616791	4353454	52987	141	137447	283116
21	4987004	428920	76603795	4782374	73461	18391	174782	1283103
22	2098275	97272	78702070	4879646	29731	208	79148	159998
23	3758634	167525	82460704	5047171	51495	90	133925	271631
24	4102983	208701	86563687	5255872	56532	1593	146760	386780
25	2824953	128687	89388640	5384559	40733	35	106181	208516
26	3666182	184995	93054822	5569554	52022	989	136566	329666
27	3473988	157180	96528810	5726734	49566	109	128960	262003
28	3563242	175341	100092052	5902075	50597	796	131654	305906
29	3936287	179494	104028339	6081569	53964	311	139778	292698
30	3971101	200440	107999440	6282009	56200	1281	144670	364535
31	3633439	172633	111632879	6454642	51276	261	135508	285082
32	1694908	80857	113327787	6535499	23561	88	63952	125229
33	3149329	137161	116477116	6672660	44039	28	115189	226877
34	2886351	134195	119363467	6806855	41682	165	108182	221737
35	3700722	174263	123064189	6981118	52484	271	135746	292038
36	3508974	167152	126573163	7148270	49457	437	129896	281601
37	3500367	174494	130073530	7322764	49957	1092	128925	306096
38	3971550	193896	134045080	7516660	54735	1230	140804	347764
39	2394412	109714	136439492	7626374	34261	34	90935	176483
40	3541553	152149	139981045	7778523	47975	239	124905	258669
41	4360803	214250	144341848	7992773	58945	1445	153832	412898
42	4455883	204443	148797731	8197216	60662	455	157300	343633
43	3528182	149765	152325913	8346981	47790	88	124448	249097
44	4160577	194727	156486490	8541708	57200	517	147573	321648
45	3447564	152456	159934054	8694164	48412	58	126663	256636
46	2968010	166434	162902064	8860598	43375	2000	112391	318832
47	3175279	200466	166077343	9061064	44378	4046	118924	437803
48	4578134	218493	170655477	9279557	63107	956	162626	386586
49	4614383	237006	175269860	9516563	64009	2013	162875	437031
50	4158627	189393	179428487	9705956	57712	186	148554	306603
51	3717490	165119	183145977	9871075	50305	184	130725	295882
52	3579788	151127	186725765	10022202	48459	76	126027	254616
53	4934852	274607	191660617	10296809	69373	3600	173931	564694
54	2822997	128569	194483614	10425378	39684	143	104357	215127
55	3679603	175167	198163217	10600545	51697	502	134948	296269
56	4156384	195613	202319601	10796158	57230	717	147705	335570
57	3892276	183016	206211877	10979174	55193	267	142946	300855
58	4122406	189376	210334283	11168550	56691	330	147424	315142
59	2236738	101461	212571021	11270011	31543	53	84360	163928
60	2919850	134190	215490871	11404201	42145	99	109338	220049
61	3337365	152125	218828236	11556326	48792	25	124418	252794
62	3393617	170362	222221853	11726688	49744	789	127019	297639
63	4192631	209955	226414484	11936643	58274	1482	148479	383858
64	4091388	190239	230505872	12126882	56507	461	144613	317982
65	4506253	208133	235012125	12335015	61754	470	158311	343803
66	3238369	141012	238250494	12476027	45178	60	117889	235791
67	4715745	237357	242966239	12713384	65699	1485	168163	424068
68	3527210	173181	246493449	12886565	50209	631	130499	301106
69	4179925	194205	250673374	13080770	57540	466	149189	328490
70	4390269	214202	255063643	13294972	60408	1182	155367	382364
71	3612747	168779	258676390	13463751	50946	199	133021	276107
72	3544789	168997	262221179	13632748	50744	245	131514	274859
73	4062778	182271	266283957	13815019	55835	108	144092	291616
74	3342950	147741	269626907	13962760	47056	34	123238	244923
75	4195677	198552	273822584	14161312	57672	749	147796	337687
76	4317460	207017	278140044	14368329	59346	1077	151559	369785
77	3962533	180049	282102577	14548378	55305	245	141499	301826
78	3653738	193090	285756315	14741468	52146	1475	136709	357081
