group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	8	26147899	4497969	489531	53.41	0	0	70898	1953	1953	1229	724	tu
1	8	16	28229797	697995	88839	317.76	0	26147899	11069	761	761	430	331	tu
2	16	24	28083008	1322593	155804	180.25	0	54377696	21170	1357	1357	958	399	tu
3	24	32	29172175	359240	50355	579.33	0	82460704	5934	539	539	275	264	tu
4	32	40	24806613	215346	31900	777.64	0	111632879	3653	472	472	171	301	tu
5	40	48	29637851	605946	83076	356.76	0	136439492	9761	956	956	521	435	tu
6	48	56	32085874	542782	71184	450.75	0	166077343	8758	733	733	456	277	tu
7	56	64	28251267	263296	37459	754.19	0	198163217	4237	480	480	237	243	tu
8	64	72	32261906	347945	53106	607.50	0	226414484	5700	681	681	357	324	tu
9	72	80	31440587	350863	52237	601.88	0	258676390	5705	642	642	345	297	tu
10	80	88	28481930	297408	49016	581.07	0	290116977	4899	621	621	326	295	tu
11	88	96	28107416	135138	22522	1248.00	0	318598907	2372	396	396	115	281	tu
12	96	104	29245512	761158	103452	282.70	0	346706323	12133	1078	1078	857	221	tu
13	104	112	28482037	105891	18483	1540.99	0	375951835	1839	325	325	123	202	tu
14	112	120	22797035	407540	44073	517.26	0	404433872	6513	742	742	494	248	tu
15	120	128	28737788	983996	123933	231.88	0	427230907	15478	1551	1551	1236	315	tu
16	128	136	18203710	601607	86322	210.88	0	455968695	9853	1523	1523	1104	419	tu
17	136	144	16230029	237087	38109	425.88	0	474172405	3749	402	402	288	114	tu
18	144	152	29151489	1031389	124089	234.92	0	490402434	16533	2001	2001	1501	500	tu
19	152	160	22218499	166782	26071	852.23	0	519553923	2859	499	499	265	234	tu
20	160	168	37285231	1521231	178737	208.60	0	541772422	24192	3189	3189	2586	603	tu
21	168	176	37107378	533861	77180	480.79	0	579057653	8860	1445	1445	943	502	tu
22	176	184	36626946	495978	74993	488.40	0	616165031	8176	1330	1330	895	435	tu
23	184	192	34828867	156238	26390	1319.78	0	652791977	2843	552	552	278	274	tu
24	192	200	36702790	233083	42368	866.29	0	687620844	3904	795	795	434	361	tu
25	200	208	31536912	160611	28515	1105.98	0	724323634	2703	590	590	295	295	tu
26	208	216	35004437	273038	43436	805.89	0	755860546	4616	920	920	530	390	tu
27	216	224	36925769	154727	25745	1434.29	0	790864983	2648	659	659	279	380	tu
28	224	232	25878883	309549	46235	559.72	0	827790752	5097	839	839	620	219	tu
29	232	240	16579479	135448	15817	1048.21	0	853669635	2274	430	430	276	154	tu
30	240	248	16194420	58371	7856	2061.41	0	870249114	1074	252	252	112	140	tu
31	248	256	15797723	181442	20996	752.42	0	886443534	2891	500	500	339	161	tu
32	256	264	18247063	123225	14556	1253.58	0	902241257	2015	392	392	260	132	tu
33	264	272	18346169	172228	23394	784.23	0	920488320	2903	510	510	320	190	tu
34	272	280	20293041	320950	45748	443.58	0	938834489	5211	901	901	657	244	tu
35	280	288	19985925	141650	19920	1003.31	0	959127530	2376	499	499	281	218	tu
36	288	296	19374043	130483	20867	928.45	0	979113455	2156	488	488	278	210	tu
37	296	304	19064655	259590	38822	491.08	0	998487498	4278	761	761	565	196	tu
38	304	312	17288039	161762	26379	655.37	0	1017552153	2662	561	561	357	204	tu
39	312	320	16797423	84896	13021	1290.03	0	1034840192	1385	295	295	187	108	tu
40	320	328	16301259	172184	26942	605.05	0	1051637615	2813	503	503	357	146	tu
41	328	336	18135939	225085	32767	553.48	0	1067938874	3747	764	764	491	273	tu
42	336	344	18441419	1276786	151035	122.10	12332989	1073741824	22436	20166	2922	2605	317	tu
43	344	352	19534259	89729	13696	1426.27	30774408	1073741824	1737	825	397	202	195	tu
44	352	360	20864662	164965	22083	944.83	50308667	1073741824	3497	2760	687	365	322	tu
45	360	368	21250651	758165	83569	254.29	71173329	1073741824	12277	11165	1782	1356	426	tu
46	368	376	19594545	123823	18897	1036.91	92423980	1073741824	2500	1503	539	250	289	tu
47	376	384	18870697	70814	12642	1492.70	112018525	1073741824	1300	354	314	124	190	tu
48	384	392	18576561	112729	11416	1627.24	130889222	1073741824	1800	386	338	215	123	tu
49	392	400	18524696	13588	2680	6912.20	149465783	1073741824	298	115	106	24	82	tu
50	400	408	18478140	8629	1286	14368.69	167990479	1073741824	182	78	75	10	65	tu
51	408	416	18486287	10643	1978	9345.95	186468619	1073741824	232	103	99	11	88	tu
52	416	424	19013026	210740	32835	579.05	204954906	1073741824	3490	2080	509	368	141	tu
53	424	432	12998847	1336994	157743	82.41	223967932	1073741824	21791	15813	2570	2292	278	tu
54	432	440	19367437	383866	41244	469.58	236966779	1073741824	7361	6240	949	797	152	tu
55	440	448	28096683	1666401	190178	147.74	256334216	1073741824	26580	14703	3723	3192	531	tu
56	448	456	23462231	371635	46893	500.34	284430899	1073741824	6106	3433	1024	756	268	tu
57	456	464	29177983	826528	99683	292.71	307893130	1073741824	13224	4550	1935	1663	272	tu
58	464	472	26319473	408230	57295	459.37	337071113	1073741824	6653	4025	1142	775	367	tu
59	472	480	23018734	133994	23371	984.93	363390586	1073741824	2319	984	516	268	248	tu
60	480	488	30618235	2840963	302616	101.18	386409320	1073741824	75273	42643	40509	39801	708	tu
61	488	496	26031830	391389	52628	494.64	417027555	1073741824	6405	3757	1228	847	381	tu
62	496	504	20971479	88864	15567	1347.18	443059385	1073741824	1656	994	480	188	292	tu
63	504	512	25763444	750899	81471	316.23	464030864	1073741824	12114	4684	2136	1601	535	tu
64	512	520	25918755	87698	16062	1613.67	489794308	1073741824	1600	645	429	180	249	tu
65	520	528	26365411	755284	103272	255.30	515713063	1073741824	12218	5618	1946	1588	358	tu
66	528	536	18783425	305483	48501	387.28	542078474	1073741824	4999	2190	835	595	240	tu
67	536	544	18844866	372610	60345	312.29	560861899	1073741824	6123	4096	957	809	148	tu
68	544	552	20823995	248047	39154	531.85	579706765	1073741824	4064	1517	711	438	273	tu
69	552	560	19995401	83390	15246	1311.52	600530760	1073741824	1487	487	406	170	236	tu
70	560	568	18502590	71693	13175	1404.37	620526161	1073741824	1337	900	375	146	229	tu
71	568	576	20215996	339811	46844	431.56	639028751	1073741824	5454	3534	891	646	245	tu
72	576	584	18766937	140171	24207	775.27	659244747	1073741824	2370	756	450	271	179	tu
73	584	592	17863899	159694	21452	832.74	678011684	1073741824	2629	684	438	312	126	tu
74	592	600	19571675	200825	28902	677.17	695875583	1073741824	3244	767	554	360	194	tu
75	600	608	22034265	403676	59431	370.75	715447258	1073741824	7121	2567	1150	834	316	tu
