tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire
0	1836	1836	746	746	0	-1	0	2.46	NA	0
1	3726840	3728676	890703	891449	0	-1	0	4.18	NA	0
2	3341805	7070481	161253	1052702	0	-1	0	6.72	NA	0
3	3871485	10941966	246094	1298796	0	-1	0	8.42	NA	0
4	2894389	13836355	135486	1434282	0	-1	0	9.65	NA	0
5	3910918	17747273	178181	1612463	0	-1	0	11.01	NA	0
6	3977380	21724653	197329	1809792	0	-1	0	12.00	NA	0
7	4423246	26147899	259176	2068968	0	-1	0	12.64	NA	489531
8	3224620	29372519	218443	2287411	0	-1	0	12.84	NA	489531
9	3022248	32394767	165819	2453230	0	-1	0	13.20	NA	489531
10	3755417	36150184	188075	2641305	0	-1	0	13.69	NA	489531
11	3423516	39573700	165814	2807119	0	-1	0	14.10	NA	489531
12	3591597	43165297	183607	2990726	0	-1	0	14.43	NA	489531
13	3547473	46712770	167139	3157865	0	-1	0	14.79	NA	489531
14	3893927	50606697	174362	3332227	0	-1	0	15.19	NA	489531
15	3770999	54377696	180569	3512796	0	-1	0	15.48	NA	578370
16	3608859	57986555	205165	3717961	0	-1	0	15.60	NA	578370
17	2807366	60793921	128126	3846087	0	-1	0	15.81	NA	578370
18	3437381	64231302	183380	4029467	0	-1	0	15.94	NA	578370
19	3531244	67762546	151558	4181025	0	-1	0	16.21	NA	578370
20	3854245	71616791	172429	4353454	0	-1	0	16.45	NA	578370
21	4987004	76603795	428920	4782374	0	-1	0	16.02	NA	578370
22	2098275	78702070	97272	4879646	0	-1	0	16.13	NA	578370
23	3758634	82460704	167525	5047171	0	-1	0	16.34	NA	734174
24	4102983	86563687	208701	5255872	0	-1	0	16.47	NA	734174
25	2824953	89388640	128687	5384559	0	-1	0	16.60	NA	734174
26	3666182	93054822	184995	5569554	0	-1	0	16.71	NA	734174
27	3473988	96528810	157180	5726734	0	-1	0	16.86	NA	734174
28	3563242	100092052	175341	5902075	0	-1	0	16.96	NA	734174
29	3936287	104028339	179494	6081569	0	-1	0	17.11	NA	734174
30	3971101	107999440	200440	6282009	0	-1	0	17.19	NA	734174
31	3633439	111632879	172633	6454642	0	-1	0	17.29	NA	784529
32	1694908	113327787	80857	6535499	0	-1	0	17.34	NA	784529
33	3149329	116477116	137161	6672660	0	-1	0	17.46	NA	784529
34	2886351	119363467	134195	6806855	0	-1	0	17.54	NA	784529
35	3700722	123064189	174263	6981118	0	-1	0	17.63	NA	784529
36	3508974	126573163	167152	7148270	0	-1	0	17.71	NA	784529
37	3500367	130073530	174494	7322764	0	-1	0	17.76	NA	784529
38	3971550	134045080	193896	7516660	0	-1	0	17.83	NA	784529
39	2394412	136439492	109714	7626374	0	-1	0	17.89	NA	816429
40	3541553	139981045	152149	7778523	0	-1	0	18.00	NA	816429
41	4360803	144341848	214250	7992773	0	-1	0	18.06	NA	816429
42	4455883	148797731	204443	8197216	0	-1	0	18.15	NA	816429
43	3528182	152325913	149765	8346981	0	-1	0	18.25	NA	816429
44	4160577	156486490	194727	8541708	0	-1	0	18.32	NA	816429
45	3447564	159934054	152456	8694164	0	-1	0	18.40	NA	816429
46	2968010	162902064	166434	8860598	0	-1	0	18.38	NA	816429
47	3175279	166077343	200466	9061064	0	-1	0	18.33	NA	899505
48	4578134	170655477	218493	9279557	0	-1	0	18.39	NA	899505
49	4614383	175269860	237006	9516563	0	-1	0	18.42	NA	899505
50	4158627	179428487	189393	9705956	0	-1	0	18.49	NA	899505
51	3717490	183145977	165119	9871075	0	-1	0	18.55	NA	899505
52	3579788	186725765	151127	10022202	0	-1	0	18.63	NA	899505
53	4934852	191660617	274607	10296809	0	-1	0	18.61	NA	899505
54	2822997	194483614	128569	10425378	0	-1	0	18.65	NA	899505
55	3679603	198163217	175167	10600545	0	-1	0	18.69	NA	970689
56	4156384	202319601	195613	10796158	0	-1	0	18.74	NA	970689
57	3892276	206211877	183016	10979174	0	-1	0	18.78	NA	970689
58	4122406	210334283	189376	11168550	0	-1	0	18.83	NA	970689
59	2236738	212571021	101461	11270011	0	-1	0	18.86	NA	970689
60	2919850	215490871	134190	11404201	0	-1	0	18.90	NA	970689
61	3337365	218828236	152125	11556326	0	-1	0	18.94	NA	970689
62	3393617	222221853	170362	11726688	0	-1	0	18.95	NA	970689
63	4192631	226414484	209955	11936643	0	-1	0	18.97	NA	1008148
64	4091388	230505872	190239	12126882	0	-1	0	19.01	NA	1008148
65	4506253	235012125	208133	12335015	0	-1	0	19.05	NA	1008148
66	3238369	238250494	141012	12476027	0	-1	0	19.10	NA	1008148
67	4715745	242966239	237357	12713384	0	-1	0	19.11	NA	1008148
68	3527210	246493449	173181	12886565	0	-1	0	19.13	NA	1008148
69	4179925	250673374	194205	13080770	0	-1	0	19.16	NA	1008148
70	4390269	255063643	214202	13294972	0	-1	0	19.18	NA	1008148
71	3612747	258676390	168779	13463751	0	-1	0	19.21	NA	1061254
72	3544789	262221179	168997	13632748	0	-1	0	19.23	NA	1061254
73	4062778	266283957	182271	13815019	0	-1	0	19.27	NA	1061254
74	3342950	269626907	147741	13962760	0	-1	0	19.31	NA	1061254
