tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
1	1836	789323	1836	789323	0.00232604396426	true
2	3726840	229668	3728676	1018991	3.65918442852	true
3	3341805	2136	7070481	1021127	6.9241935626	true
4	3871485	11427	10941966	1032554	10.5969915375	true
5	2894389	4830	13836355	1037384	13.3377370386	true
6	3910918	3128	17747273	1040512	17.0562886348	true
7	3977380	5136	21724653	1045648	20.7762583585	true
8	4423246	10445	26147899	1056093	24.7590875046	true
9	3224620	18574	29372519	1074667	27.3317399715	true
10	3022248	11296	32394767	1085963	29.8304518662	true
11	3755417	5688	36150184	1091651	33.1151476067	true
12	3423516	2225	39573700	1093876	36.1775009233	true
13	3591597	3479	43165297	1097355	39.3357637228	true
14	3547473	820	46712770	1098175	42.5367268423	true
15	3893927	995	50606697	1099170	46.0408280794	true
16	3770999	3734	54377696	1102904	49.3041062504	true
17	3608859	18628	57986555	1121532	51.7029875206	true
18	2807366	384	60793921	1121916	54.1875871277	true
19	3437381	5362	64231302	1127278	56.9791142912	true
20	3531244	4883	67762546	1132161	59.852393785	true
21	3854245	1794	71616791	1133955	63.1566429003	true
22	4987004	34503	76603795	1168458	65.5597334264	true
23	2098275	853	78702070	1169311	67.3063624647	true
24	3758634	569	82460704	1169880	70.4864635689	true
25	4102983	5471	86563687	1175351	73.6492222323	true
26	2824953	411	89388640	1175762	76.0261345408	true
27	3666182	4060	93054822	1179822	78.8719162721	true
28	3473988	594	96528810	1180416	81.7752470316	true
29	3563242	2312	100092052	1182728	84.6281241334	true
30	3936287	1280	104028339	1184008	87.8611791474	true
31	3971101	3640	107999440	1187648	90.9355633993	true
32	3633439	1917	111632879	1189565	93.8434461337	true
33	1694908	2058	113327787	1191623	95.1037257589	true
34	3149329	392	116477116	1192015	97.7144717139	true
35	2886351	1093	119363467	1193108	100.044142693	true
36	3700722	1220	123064189	1194328	103.040529067	true
37	3508974	2098	126573163	1196426	105.792721823	true
38	3500367	2789	130073530	1199215	108.465562889	true
39	3971550	2889	134045080	1202104	111.508721375	true
40	2394412	397	136439492	1202501	113.463100654	true
41	3541553	1253	139981045	1203754	116.287086066	true
42	4360803	3485	144341848	1207239	119.563605881	true
43	4455883	1580	148797731	1208819	123.093474705	true
44	3528182	610	152325913	1209429	125.948619555	true
45	4160577	2461	156486490	1211890	129.125985032	true
46	3447564	868	159934054	1212758	131.876313329	true
47	2968010	11873	162902064	1224631	133.021346022	true
48	3175279	22405	166077343	1247036	133.17766528	true
49	4578134	3277	170655477	1250313	136.490204453	true
50	4614383	5643	175269860	1255956	139.550955607	true
51	4158627	1565	179428487	1257521	142.684286783	true
52	3717490	693	183145977	1258214	145.560275915	true
53	3579788	605	186725765	1258819	148.334085361	true
54	4934852	10012	191660617	1268831	151.052911696	true
55	2822997	798	194483614	1269629	153.18145222	true
56	3679603	1405	198163217	1271034	155.907093752	true
57	4156384	2388	202319601	1273422	158.878675726	true
58	3892276	1939	206211877	1275361	161.689025303	true
59	4122406	1195	210334283	1276556	164.766984762	true
60	2236738	430	212571021	1276986	166.463078687	true
61	2919850	695	215490871	1277681	168.657803474	true
62	3337365	374	218828236	1278055	171.21973311	true
63	3393617	5391	222221853	1283446	173.1446847	true
64	4192631	4025	226414484	1287471	175.859871018	true
65	4091388	1451	230505872	1288922	178.836168519	true
66	4506253	1456	235012125	1290378	182.126574539	true
67	3238369	885	238250494	1291263	184.509657599	true
68	4715745	3951	242966239	1295214	187.587718323	true
69	3527210	2581	246493449	1297795	189.932500125	true
70	4179925	2132	250673374	1299927	192.836500819	true
71	4390269	4428	255063643	1304355	195.547717454	true
72	3612747	1024	258676390	1305379	198.16190547	true
73	3544789	1166	262221179	1306545	200.698161181	true
74	4062778	1076	266283957	1307621	203.640012664	true
75	3342950	381	269626907	1308002	206.136463859	true
76	4195677	1639	273822584	1309641	209.082171374	true
77	4317460	3637	278140044	1313278	211.790682552	true
78	3962533	1776	282102577	1315054	214.517865426	true
79	3653738	4344	285756315	1319398	216.580830803	true
80	4360662	4725	290116977	1324123	219.101229266	true
81	3641496	2583	293758473	1326706	221.419419977	true
82	4854234	1721	298612707	1328427	224.786689069	true
83	1633591	196	300246298	1328623	225.983065173	true
84	3944700	2812	304190998	1331435	228.46853057	true
85	5042057	3774	309233055	1335209	231.598989372	true
86	3659721	2091	312892776	1337300	233.973510805	true
87	2144976	282	315037752	1337582	235.52780465	true
88	3561155	807	318598907	1338389	238.046567179	true
89	3556695	304	322155602	1338693	240.64935127	true
90	3272470	777	325428072	1339470	242.952863446	true
91	3461960	619	328890032	1340089	245.424021837	true
92	3523849	378	332413881	1340467	247.9836363	true
93	3489699	1143	335903580	1341610	250.373491551	true
94	3220543	782	339124123	1342392	252.626746137	true
95	3249087	498	342373210	1342890	254.952535204	true
96	4333113	3288	346706323	1346178	257.548647356	true
97	3517462	889	350223785	1347067	259.989878009	true
98	3547675	3203	353771460	1350270	262.000533227	true
99	3179678	985	356951138	1351255	264.162676919	true
100	3859590	781	360810728	1352036	266.864734371	true
101	3433195	934	364243923	1352970	269.218033659	true
102	3071572	1203	367315495	1354173	271.247096937	true
103	3525715	555	370841210	1354728	273.738499536	true
104	5110625	19072	375951835	1373800	273.658345465	true
105	3463434	648	379415269	1374448	276.04919866	true
106	3540687	664	382955956	1375112	278.490738209	true
107	3244383	622	386200339	1375734	280.723118713	true
108	3662822	978	389863161	1376712	283.184254223	true
109	4307369	2212	394170530	1378924	285.853701872	true
110	4136276	705	398306806	1379629	288.705736107	true
111	2776734	735	401083540	1380364	290.563604962	true
112	3350332	690	404433872	1381054	292.844358005	true
113	3439469	709666	407873341	2090720	195.087501435	true
114	4692869	4430	412566210	2095150	196.914879603	true
115	2637187	718	415203397	2095868	198.105699882	true
116	681	200	415204078	2096068	198.087122174	true
117	2409700	1314	417613778	2097382	199.111930016	true
118	2524092	496	420137870	2097878	200.268018445	true
119	3294128	1205	423431998	2099083	201.722370197	true
120	3798909	809	427230907	2099892	203.453752383	true
121	3950423	2518	431181330	2102410	205.089078724	true
122	3063938	471	434245268	2102881	206.500162396	true
123	2856621	638	437101889	2103519	207.795550694	true
124	5042192	12948	442144081	2116467	208.906673716	true
125	4617031	3035	446761112	2119502	210.785888383	true
126	2072253	723	448833365	2120225	211.691384169	true
127	2568030	2093	451401395	2122318	212.692629003	true
128	4567300	15187	455968695	2137505	213.318188729	true
129	3953449	683	459922144	2138188	215.099020292	true
130	1955142	1590	461877286	2139778	215.852899693	true
131	1647856	988	463525142	2140766	216.523030541	true
132	2236210	4683	465761352	2145449	217.092716723	true
133	2592390	2288	468353742	2147737	218.068479521	true
134	1743095	2330	470096837	2150067	218.642878106	true
135	2022895	3005	472119732	2153072	219.277261513	true
136	2052673	4582	474172405	2157654	219.762948554	true
137	1976770	1065	476149175	2158719	220.570243279	true
138	2369083	3006	478518258	2161725	221.359450439	true
139	1856721	636	480374979	2162361	222.152998042	true
140	2076342	1178	482451321	2163539	222.991737611	true
141	1927715	850	484379036	2164389	223.794815073	true
142	1758615	752	486137651	2165141	224.529326727	true
143	1962959	1504	488100610	2166645	225.27945741	true
144	2301824	1940	490402434	2168585	226.139364609	true
145	4466037	11524	494868471	2180109	226.992536153	true
146	2786401	4057	497654872	2184166	227.846634368	true
147	4042791	4021	501697663	2188187	229.275497478	true
148	2341791	757	504039454	2188944	230.266034216	true
149	5338306	17139	509377760	2206083	230.896915483	true
150	3345805	545	512723565	2206628	232.356140228	true
151	3226990	525	515950555	2207153	233.762931251	true
152	3603368	2298	519553923	2209451	235.150688112	true
153	2002292	1075	521556215	2210526	235.942130968	true
