tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
0	2271271	2271271	319342	319342	7.11	0	0	NA	0	486803	486803	4.67	58080	39.11	58079	367655	367655	6.18	4862	4548	358195
1	2427956	4699227	13526	332868	14.12	0	0	NA	0	135658	622461	7.55	112202	41.88	112200	37544	405199	11.60	5641	554	31325
2	2320434	7019661	3928	336796	20.84	0	0	NA	0	98314	720775	9.74	160817	43.65	161956	8819	414018	16.95	5394	207	3194
3	2405067	9424728	886	337682	27.91	0	0	NA	0	100271	821046	11.48	197059	47.83	214342	6538	420556	22.41	5484	73	957
4	2424637	11849365	546	338228	35.03	0	0	NA	0	100689	921735	12.86	226283	52.37	265408	6391	426947	27.75	5114	53	1200
5	2672906	14522271	12768	350996	41.37	0	0	NA	0	145927	1067662	13.60	244074	59.50	319005	37255	464202	31.28	5275	326	31630
6	2420949	16943220	1256	352252	48.10	0	0	NA	0	102744	1170406	14.48	252529	67.09	362830	7617	471819	35.91	4382	113	3098
7	2636832	19580052	5104	357356	54.79	0	0	NA	255187	116071	1286477	15.22	261491	74.88	411340	13832	485651	40.32	4862	173	8773
8	2636899	22216951	605	357961	62.07	0	0	NA	255187	108293	1394770	15.93	267095	83.18	460525	6295	491946	45.16	4914	47	1310
9	2276151	24493102	946	358907	68.24	0	0	NA	255187	97309	1492079	16.42	272490	89.89	503054	6026	497972	49.19	4274	77	1651
10	2459881	26952983	1476	360383	74.79	0	0	NA	255187	105845	1597924	16.87	277585	97.10	504378	5060	503032	53.58	145	118	4773
11	2579598	29532581	822	361205	81.76	0	0	NA	255187	105359	1703283	17.34	281448	104.93	507832	2113	505145	58.46	489	85	1515
12	3111738	32644319	40052	401257	81.36	0	0	NA	255187	223263	1926546	16.94	299028	109.17	563535	94467	599612	54.44	5505	913	88025
