tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
1	2271271	319342	2271271	319342	7.11234663777	true
2	2427956	13526	4699227	332868	14.1173888749	true
3	2320434	3928	7019661	336796	20.842471407	true
4	2405067	886	9424728	337682	27.9100692367	true
5	2424637	546	11849365	338228	35.0336607259	true
6	2672906	12768	14522271	350996	41.3744629568	true
7	2420949	1256	16943220	352252	48.0997127057	true
8	2636832	5104	19580052	357356	54.791446065	true
9	2636899	605	22216951	357961	62.0652836482	true
10	2276151	946	24493102	358907	68.243589565	true
11	2459881	1476	26952983	360383	74.789829154	true
12	2579598	822	29532581	361205	81.7612740687	true
13	3111738	40052	32644319	401257	81.3551389758	true
14	2453083	576	35097402	401833	87.3432545361	true
15	3140841	595	38238243	402428	95.0188431222	true
16	2520090	3114	40758333	405542	100.503358468	true
17	3230463	2847	43988796	408389	107.712979537	true
18	2435196	438	46423992	408827	113.554124361	true
19	2421313	357	48845305	409184	119.372470576	true
20	2424860	371	51270165	409555	125.18505451	true
21	2421157	631	53691322	410186	130.89506224	true
22	3294270	554	56985592	410740	138.73884209	true
23	2991780	2147	59977372	412887	145.26340621	true
24	2243242	2087	62220614	414974	149.938584104	true
25	2357096	4623	64577710	419597	153.904127055	true
26	2206374	343	66784084	419940	159.03244273	true
27	2206105	383	68990189	420323	164.136126265	true
28	2221070	480	71211259	420803	169.227070624	true
29	1947178	612	73158437	421415	173.601881756	true
30	2128442	1360	75286879	422775	178.077887765	true
31	2367154	2323	77654033	425098	182.673249462	true
32	2360643	3370	80014676	428468	186.745978696	true
33	2001109	504	82015785	428972	191.191464711	true
34	2218995	427	84234780	429399	196.169017627	true
35	2221096	430	86455876	429829	201.140165042	true
36	2129659	821	88585535	430650	205.701927319	true
37	2247320	678	90832855	431328	210.588821036	true
38	2510325	1320	93343180	432648	215.748553096	true
39	2367646	545	95710826	433193	220.942688363	true
40	2218055	370	97928881	433563	225.870014277	true
41	2259459	635	100188340	434198	230.743439629	true
42	2342905	596	102531245	434794	235.815685129	true
43	2218314	324	104749559	435118	240.738280191	true
44	2215383	369	106964942	435487	245.621435313	true
45	2542324	1058	109507266	436545	250.849891764	true
46	2256868	372	111764134	436917	255.80175182	true
47	2244955	420	114009089	437337	260.689328824	true
48	2374112	605	116383201	437942	265.75026145	true
49	2349335	470	118732536	438412	270.82410153	true
50	2358544	948	121091080	439360	275.607884195	true
51	3060837	1015	124151917	440375	281.923172296	true
52	2369403	1733	126521320	442108	286.177404616	true
53	2373013	228	128894333	442336	291.394625353	true
54	2377010	657	131271343	442993	296.328255751	true
55	2381057	630	133652400	443623	301.274731022	true
56	2402776	1135	136055176	444758	305.908327675	true
57	2405301	499	138460477	445257	310.967546833	true
58	2405513	304	140865990	445561	316.154219063	true
59	2408013	230	143274003	445791	321.392767014	true
60	2328322	671	145602325	446462	326.124787776	true
61	2434997	1406	148037322	447868	330.537841507	true
62	2345615	402	150382937	448270	335.47401566	true
63	2387226	916	152770163	449186	340.104462294	true
64	2375009	383	155145172	449569	345.097575678	true
65	2342102	355	157487274	449924	350.030836319	true
66	3010053	1367	160497327	451291	355.640433778	true
67	2852520	3193	163349847	454484	359.418256748	true
68	2993519	737	166343366	455221	365.412329396	true
69	2305589	473	168648955	455694	370.092551142	true
70	2852488	599	171501443	456293	375.858150355	true
71	2993495	487	174494938	456780	382.010898025	true
72	2869240	669	177364178	457449	387.724485134	true
73	3000296	644	180364474	458093	393.728945869	true
74	2376953	439	182741427	458532	398.535820837	true
75	2345793	447	185087220	458979	403.258580458	true
76	2370703	721	187457923	459700	407.783169458	true
77	2377683	531	189835606	460231	412.478963825	true
78	2206188	353	192041794	460584	416.952812082	true
79	3001004	783	195042798	461367	422.749780543	true
80	2972283	791	198015081	462158	428.457542659	true
81	3012646	563	201027727	462721	434.446949674	true
82	2368681	572	203396408	463293	439.023270371	true
83	2377693	675	205774101	463968	443.509252793	true
84	2400484	501	208174585	464469	448.199094019	true
85	3013940	619	211188525	465088	454.082936993	true
86	2377649	644	213566174	465732	458.560232065	true
87	3005612	480	216571786	466212	464.534988374	true
88	2348487	520	218920273	466732	469.049203826	true
89	2348611	737	221268884	467469	473.333812509	true
90	2337947	549	223606831	468018	477.773998009	true
91	2337992	639	225944823	468657	482.111273277	true
92	2344278	522	228289101	469179	486.571438619	true
93	2344556	512	230633657	469691	491.032736416	true
94	2330751	386	232964408	470077	495.587761154	true
95	2331112	436	235295520	470513	500.082930759	true
96	2346925	490	237642445	471003	504.545501833	true
97	2328573	295	239971018	471298	509.170456908	true
98	2372874	534	242343892	471832	513.623264213	true
99	2273420	371	244617312	472203	518.034218334	true
100	3038128	1140	247655440	473343	523.205033137	true
101	2372439	433	250027879	473776	527.734370251	true
102	2376944	566	252404823	474342	532.115695005	true
103	2368489	426	254773312	474768	536.626967277	true
104	2368621	551	257141933	475319	540.988121661	true
105	2368771	211	259510704	475530	545.729405085	true
106	2368746	194	261879450	475724	550.486101185	true
107	2368198	189	264247648	475913	555.243601246	true
108	2371350	218	266618998	476131	559.969836033	true
109	2365502	509	268984500	476640	564.334718026	true
110	2365636	458	271350136	477098	568.75135926	true
111	2365786	316	273715922	477414	573.330321273	true
112	2365761	287	276081683	477701	577.938256357	true
113	2365217	75803	278446900	553504	503.062127826	true
114	2364358	211	280811258	553715	507.140420613	true
115	2368271	449	283179529	554164	511.003112797	true
116	2368413	450	285547942	554614	514.858878427	true
117	2368563	265	287916505	554879	518.881603016	true
118	2368538	246	290285043	555125	522.918339113	true
119	2367994	249	292653037	555374	526.9476731	true
120	2372491	239	295025528	555613	530.991045926	true
121	2365438	327	297390966	555940	534.933564773	true
122	2365565	360	299756531	556300	538.839710588	true
123	2365715	193	302122246	556493	542.90394668	true
124	2365690	168	304487936	556661	546.989884328	true
125	2365146	179	306853082	556840	551.061493427	true
126	2369195	215	309222277	557055	555.10187863	true
127	3000292	381	312222569	557436	560.104781535	true
128	3243643	1919	315466212	559355	563.982107964	true
129	3015324	599	318481536	559954	568.763748451	true
130	1980872	757	320462408	560711	571.528662716	true
131	2437416	829	322899824	561540	575.025508423	true
132	3100518	806	326000342	562346	579.714876606	true
133	2440038	5481	328440380	567827	578.416278197	true
134	2355059	411	330795439	568238	582.142410398	true
135	2268042	513	333063481	568751	585.605090804	true
136	2364511	777	335427992	569528	588.957859842	true
137	2335395	383	337763387	569911	592.659883736	true
138	2147228	361	339910615	570272	596.049981412	true
139	2236185	377	342146800	570649	599.574870016	true
140	2140225	459	344287025	571108	602.840487263	true
141	383161	229	344670186	571337	603.269499437	true
142	1896705	398	346566891	571735	606.167002195	true
143	1982371	818	348549262	572553	608.763314488	true
144	4761659	58537	353310921	631090	559.842369551	true
145	2037086	474	355348007	631564	562.647660411	true
146	2460774	1435	357808781	632999	565.259630742	true
147	2727806	640	360536587	633639	568.993680945	true
148	2397816	344	362934403	633983	572.467089812	true
149	4775303	5099	367709706	639082	575.371714428	true
150	195897	322	367905603	639404	575.388335075	true
151	1873914	891	369779517	640295	577.514297316	true
152	1933311	338	371712828	640633	580.227412575	true
153	1933344	384	373646172	641017	582.895885757	true
154	2218070	513	375864242	641530	585.887241438	true
155	2205831	439	378070073	641969	588.922631778	true
156	2195909	432	380265982	642401	591.944878666	true
157	2252785	253	382518767	642654	595.217281772	true
158	4800701	1954	387319468	644608	600.860473342	true
159	2120165	3271	389439633	647879	601.099330276	true
160	2117504	1740	391557137	649619	602.74889897	true
161	1559617	564	393116754	650183	604.624781023	true
162	1539756	320	394656510	650503	606.694373431	true
163	4721934	236	399378444	650739	613.73061089	true
164	1940546	332	401318990	651071	616.398196203	true
165	2237831	1563	403556821	652634	618.350899585	true
166	2118748	579	405675569	653213	621.046379971	true
167	1969847	336	407645416	653549	623.741167074	true
168	2376898	1984	410022314	655533	625.479287847	true
169	2349068	717	412371382	656250	628.375439238	true
170	2234731	532	414606113	656782	631.268994887	true
171	2568063	722	417174176	657504	634.481578819	true
172	4797343	421	421971519	657925	641.367205989	true
173	4797387	233	426768906	658158	648.429261667	true
174	2222661	599	428991567	658757	651.213675149	true
175	2242010	365	431233577	659122	654.254564405	true
176	2242372	533	433475949	659655	657.125238193	true
177	2222617	254	435698566	659909	660.240375567	true
178	2284826	598	437983392	660507	663.10181724	true
179	2232023	811	440215415	661318	665.663742708	true
