tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire
0	7069925	7069925	1426248	1426248	0	-1	0	4.96	NA	0
1	4103275	11173200	181281	1607529	0	-1	0	6.95	NA	0
2	7176133	18349333	309345	1916874	0	-1	0	9.57	NA	0
3	6224340	24573673	260455	2177329	0	-1	0	11.29	NA	0
4	8166516	32740189	378256	2555585	0	-1	0	12.81	NA	0
5	6348398	39088587	263788	2819373	0	-1	0	13.86	NA	0
6	7789896	46878483	378296	3197669	0	-1	0	14.66	NA	0
7	3233616	50112099	136733	3334402	0	-1	0	15.03	NA	727796
8	5851842	55963941	242665	3577067	0	-1	0	15.65	NA	727796
9	6238873	62202814	260990	3838057	0	-1	0	16.21	NA	727796
10	3218884	65421698	135061	3973118	0	-1	0	16.47	NA	727796
11	6381050	71802748	267727	4240845	0	-1	0	16.93	NA	727796
12	5611209	77413957	227590	4468435	0	-1	0	17.32	NA	727796
13	7574081	84988038	325414	4793849	0	-1	0	17.73	NA	727796
14	7652092	92640130	368733	5162582	0	-1	0	17.94	NA	727796
15	24011	92664141	1420	5164002	0	-1	0	17.94	NA	805493
16	24039	92688180	1223	5165225	0	-1	0	17.94	NA	805493
17	6349276	99037456	262384	5427609	0	-1	0	18.25	NA	805493
18	6803954	105841410	290799	5718408	0	-1	0	18.51	NA	805493
19	7471485	113312895	325966	6044374	0	-1	0	18.75	NA	805493
20	23828	113336723	1219	6045593	0	-1	0	18.75	NA	805493
21	3789287	117126010	165269	6210862	0	-1	0	18.86	NA	805493
22	6342375	123468385	269420	6480282	0	-1	0	19.05	NA	805493
23	6258057	129726442	264759	6745041	0	-1	0	19.23	NA	862107
24	3474858	133201300	150595	6895636	0	-1	0	19.32	NA	862107
25	7039799	140241099	298954	7194590	0	-1	0	19.49	NA	862107
26	3303754	143544853	138653	7333243	0	-1	0	19.57	NA	862107
27	3072809	146617662	125774	7459017	0	-1	0	19.66	NA	862107
28	7792239	154409901	339478	7798495	0	-1	0	19.80	NA	862107
29	6254866	160664767	257887	8056382	0	-1	0	19.94	NA	862107
30	6287332	166952099	260561	8316943	0	-1	0	20.07	NA	862107
31	4536210	171488309	180810	8497753	0	-1	0	20.18	NA	917793
32	8107854	179596163	356598	8854351	0	-1	0	20.28	NA	917793
33	7076256	186672419	298658	9153009	0	-1	0	20.39	NA	917793
34	5487586	192160005	221717	9374726	0	-1	0	20.50	NA	917793
35	7389537	199549542	315863	9690589	0	-1	0	20.59	NA	917793
36	7130980	206680522	304732	9995321	0	-1	0	20.68	NA	917793
37	7325119	214005641	320861	10316182	0	-1	0	20.74	NA	917793
38	8429800	222435441	354026	10670208	0	-1	0	20.85	NA	917793
39	8200336	230635777	350678	11020886	0	-1	0	20.93	NA	1065108
40	5437100	236072877	220102	11240988	0	-1	0	21.00	NA	1065108
41	6260569	242333446	264061	11505049	0	-1	0	21.06	NA	1065108
42	6811262	249144708	283445	11788494	0	-1	0	21.13	NA	1065108
43	7622579	256767287	338032	12126526	0	-1	0	21.17	NA	1065108
44	6603791	263371078	288387	12414913	0	-1	0	21.21	NA	1065108
45	5641210	269012288	242431	12657344	0	-1	0	21.25	NA	1065108
46	7504302	276516590	320989	12978333	0	-1	0	21.31	NA	1065108
47	3837985	280354575	164019	13142352	0	-1	0	21.33	NA	1158685
48	6818735	287173310	282555	13424907	0	-1	0	21.39	NA	1158685
49	7176383	294349693	300615	13725522	0	-1	0	21.45	NA	1158685
50	23896	294373589	1158	13726680	0	-1	0	21.45	NA	1158685
51	7933729	302307318	346813	14073493	0	-1	0	21.48	NA	1158685
52	6545807	308853125	273825	14347318	0	-1	0	21.53	NA	1158685
53	9246475	318099600	419410	14766728	0	-1	0	21.54	NA	1158685
54	7889281	325988881	341785	15108513	0	-1	0	21.58	NA	1158685
55	7291990	333280871	306446	15414959	0	-1	0	21.62	NA	1294406
56	7018789	340299660	290973	15705932	0	-1	0	21.67	NA	1294406
57	7675843	347975503	328161	16034093	0	-1	0	21.70	NA	1294406
58	7893651	355869154	342184	16376277	0	-1	0	21.73	NA	1294406
59	7760129	363629283	337618	16713895	0	-1	0	21.76	NA	1294406
60	8829865	372459148	384682	17098577	0	-1	0	21.78	NA	1294406
61	7029464	379488612	292406	17390983	0	-1	0	21.82	NA	1294406
62	7310945	386799557	315923	17706906	0	-1	0	21.84	NA	1294406
63	7311242	394110799	306340	18013246	0	-1	0	21.88	NA	1411518
64	10713787	404824586	493582	18506828	0	-1	0	21.87	NA	1411518
65	7146822	411971408	298013	18804841	0	-1	0	21.91	NA	1411518
66	7024696	418996104	294101	19098942	0	-1	0	21.94	NA	1411518
67	9900023	428896127	446583	19545525	0	-1	0	21.94	NA	1411518
68	7082316	435978443	295578	19841103	0	-1	0	21.97	NA	1411518
69	8130339	444108782	356881	20197984	0	-1	0	21.99	NA	1411518
70	7118223	451227005	297415	20495399	0	-1	0	22.02	NA	1411518
71	6389120	457616125	269220	20764619	0	-1	0	22.04	NA	1649906
72	7062701	464678826	292998	21057617	0	-1	0	22.07	NA	1649906
73	7452955	472131781	315284	21372901	0	-1	0	22.09	NA	1649906
74	10033040	482164821	436357	21809258	0	-1	0	22.11	NA	1649906
75	6970124	489134945	297021	22106279	0	-1	0	22.13	NA	1649906
76	8059591	497194536	330284	22436563	0	-1	0	22.16	NA	1649906
77	7154708	504349244	302953	22739516	0	-1	0	22.18	NA	1649906
78	7660821	512010065	323350	23062866	0	-1	0	22.20	NA	1649906
79	4101386	516111451	180635	23243501	0	-1	0	22.20	NA	1790501
80	7157703	523269154	298773	23542274	0	-1	0	22.23	NA	1790501
81	7183426	530452580	303532	23845806	1762578	0	1	22.25	300.95	1790501
82	7335524	537788104	303675	24149481	1762578	0	0	22.27	305.11	1790501
83	7336650	545124754	311212	24460693	1762578	0	0	22.29	309.28	1790501
84	7056482	552181236	295081	24755774	1762578	0	0	22.31	313.28	1790501
85	7756701	559937937	332853	25088627	1762578	0	0	22.32	317.68	1790501
86	8060187	567998124	347806	25436433	1762578	0	0	22.33	322.25	1790501
87	8534484	576532608	357567	25794000	1762578	0	0	22.35	327.10	1909209
88	7124436	583657044	301299	26095299	1762578	0	0	22.37	331.14	1909209
89	7265807	590922851	300557	26395856	1762578	0	0	22.39	335.26	1909209
90	7810636	598733487	330501	26726357	1762578	0	0	22.40	339.69	1909209
91	7584937	606318424	322186	27048543	1762578	0	0	22.42	344.00	1909209
92	7214752	613533176	301078	27349621	1762578	0	0	22.43	348.09	1909209
93	7353995	620887171	311941	27661562	1762578	0	0	22.45	352.26	1909209
94	7218675	628105846	301022	27962584	1762578	0	0	22.46	356.36	1909209
95	9421243	637527089	442852	28405436	1762578	0	0	22.44	361.70	2067571
96	7763153	645290242	324684	28730120	1762578	0	0	22.46	366.11	2067571
97	8087293	653377535	355606	29085726	1762578	0	0	22.46	370.69	2067571
98	8190077	661567612	344972	29430698	1762578	0	0	22.48	375.34	2067571
99	7615553	669183165	335162	29765860	1762578	0	0	22.48	379.66	2067571
100	8520550	677703715	369130	30134990	1762578	0	0	22.49	384.50	2067571
101	7219473	684923188	304734	30439724	1762578	0	0	22.50	388.59	2067571
102	7225534	692148722	301603	30741327	1762578	0	0	22.52	392.69	2067571
103	7272422	699421144	308950	31050277	1762578	0	0	22.53	396.82	2220237
104	3162353	702583497	132161	31182438	1762578	0	0	22.53	398.61	2220237
105	7083227	709666724	298378	31480816	1762578	0	0	22.54	402.63	2220237
106	6867150	716533874	285904	31766720	1762578	0	0	22.56	406.53	2220237
107	23812	716557686	1153	31767873	1762578	0	0	22.56	406.54	2220237
108	5780207	722337893	235769	32003642	1762578	0	0	22.57	409.82	2220237
109	6201776	728539669	257760	32261402	1762578	0	0	22.58	413.34	2220237
110	8166327	736705996	370207	32631609	1762578	0	0	22.58	417.97	2220237
111	3010084	739716080	124135	32755744	1762578	0	0	22.58	419.68	2290964
112	7855367	747571447	325848	33081592	1762578	0	0	22.60	424.14	2290964
113	3435801	751007248	145850	33227442	1762578	0	0	22.60	426.08	2290964
114	8448040	759455288	356181	33583623	1762578	0	0	22.61	430.88	2290964
115	8855095	768310383	392469	33976092	1762578	0	0	22.61	435.90	2290964
116	4440379	772750762	195018	34171110	1762578	0	0	22.61	438.42	2290964
117	7177228	779927990	304687	34475797	1762578	0	0	22.62	442.49	2290964
118	6305282	786233272	259402	34735199	1762578	0	0	22.64	446.07	2290964
119	3186760	789420032	134673	34869872	1762578	0	0	22.64	447.88	2396099
120	5543951	794963983	222550	35092422	1762578	0	0	22.65	451.02	2396099
121	7330220	802294203	311507	35403929	1762578	0	0	22.66	455.18	2396099
122	7064557	809358760	301080	35705009	1762578	0	0	22.67	459.19	2396099
123	6467463	815826223	268994	35974003	1762578	0	0	22.68	462.86	2396099
124	7057072	822883295	297978	36271981	1762578	0	0	22.69	466.86	2396099
125	4790346	827673641	201369	36473350	1762578	0	0	22.69	469.58	2396099
126	3761251	831434892	159270	36632620	1762578	0	0	22.70	471.72	2396099
127	3947047	835381939	166847	36799467	1762578	0	0	22.70	473.95	2454076
128	7430441	842812380	312004	37111471	1762578	0	0	22.71	478.17	2454076
129	5433776	848246156	231905	37343376	1762578	0	0	22.71	481.25	2454076
130	4376126	852622282	189491	37532867	1762578	0	0	22.72	483.74	2454076
131	3007938	855630220	124367	37657234	1762578	0	0	22.72	485.44	2454076
132	23836	855654056	1203	37658437	1762578	0	0	22.72	485.46	2454076
133	6281638	861935694	259557	37917994	1762578	0	0	22.73	489.02	2454076
134	7480315	869416009	324322	38242316	1762578	0	0	22.73	493.26	2454076
135	7574660	876990669	325484	38567800	1762578	0	0	22.74	497.56	2521159
136	6639062	883629731	281489	38849289	1762578	0	0	22.75	501.33	2521159
137	7945815	891575546	354703	39203992	1762578	0	0	22.74	505.84	2521159
138	3724090	895299636	165174	39369166	1762578	0	0	22.74	507.95	2521159
139	3843023	899142659	170864	39540030	1762578	0	0	22.74	510.13	2521159
140	7000859	906143518	293819	39833849	1762578	0	0	22.75	514.10	2521159
141	6896448	913039966	289676	40123525	1762578	0	0	22.76	518.01	2521159
142	6379620	919419586	263229	40386754	1762578	0	0	22.77	521.63	2521159
143	6263331	925682917	259152	40645906	1762578	0	0	22.77	525.19	2595206
144	7088268	932771185	300200	40946106	1762578	0	0	22.78	529.21	2595206
145	3635423	936406608	160679	41106785	1762578	0	0	22.78	531.27	2595206
146	7404348	943810956	309054	41415839	1762578	0	0	22.79	535.47	2595206
147	4317194	948128150	186345	41602184	1762578	0	0	22.79	537.92	2595206
148	7104067	955232217	300103	41902287	1762578	0	0	22.80	541.95	2595206
149	8356972	963589189	342755	42245042	1762578	0	0	22.81	546.69	2595206
150	7255353	970844542	300988	42546030	1762578	0	0	22.82	550.81	2595206
151	7061504	977906046	296743	42842773	1762578	0	0	22.83	554.82	2664753
152	5779804	983685850	243548	43086321	1762578	0	0	22.83	558.09	2664753
153	8895771	992581621	390266	43476587	1762578	0	0	22.83	563.14	2664753
154	6440036	999021657	264991	43741578	1762578	0	0	22.84	566.80	2664753
155	6496529	1005518186	273608	44015186	1762578	0	0	22.84	570.48	2664753
156	5907910	1011426096	244727	44259913	1762578	0	0	22.85	573.83	2664753
157	7119679	1018545775	299347	44559260	1762578	0	0	22.86	577.87	2664753
158	7232888	1025778663	313494	44872754	1762578	0	0	22.86	581.98	2664753
159	7507364	1033286027	325739	45198493	1762578	0	0	22.86	586.24	2802154
160	7142189	1040428216	316117	45514610	1762578	0	0	22.86	590.29	2802154
161	7488364	1047916580	312062	45826672	1762578	0	0	22.87	594.54	2802154
162	8005802	1055922382	342853	46169525	1762578	0	0	22.87	599.08	2802154
163	23758	1055946140	1133	46170658	1762578	0	0	22.87	599.09	2802154
164	6356588	1062302728	262135	46432793	1762578	0	0	22.88	602.70	2802154
165	3649805	1065952533	151515	46584308	2794064	1	1	22.88	381.51	2802154
166	7139480	1073092013	300534	46884842	2794064	1	0	22.89	384.06	2802154
167	7452198	1080544211	309918	47194760	2794064	1	0	22.90	386.73	2874781
168	7173922	1087718133	299343	47494103	2794064	1	0	22.90	389.30	2874781
169	7160733	1094878866	303692	47797795	2794064	1	0	22.91	391.86	2874781
170	7113950	1101992816	299874	48097669	2794064	1	0	22.91	394.41	2874781
171	7231380	1109224196	303130	48400799	2794064	1	0	22.92	396.99	2874781
172	7019657	1116243853	293029	48693828	2794064	1	0	22.92	399.51	2874781
173	5183646	1121427499	225706	48919534	2794064	1	0	22.92	401.36	2874781
174	2162869	1123590368	101364	49020898	2794064	1	0	22.92	402.13	2874781
175	3142124	1126732492	149545	49170443	2794064	1	0	22.91	403.26	3060082
176	2223075	1128955567	104087	49274530	2794064	1	0	22.91	404.06	3060082
177	2615539	1131571106	124111	49398641	2794064	1	0	22.91	404.99	3060082
178	3981402	1135552508	168811	49567452	2794064	1	0	22.91	406.42	3060082
179	2850732	1138403240	135131	49702583	2794064	1	0	22.90	407.44	3060082
180	2838577	1141241817	133376	49835959	2794064	1	0	22.90	408.45	3060082
181	4879602	1146121419	239294	50075253	2794064	1	0	22.89	410.20	3060082
182	4845540	1150966959	210285	50285538	2794064	1	0	22.89	411.93	3060082
183	4689839	1155656798	204614	50490152	2794064	1	0	22.89	413.61	3162490
184	4656339	1160313137	202918	50693070	2794064	1	0	22.89	415.28	3162490
185	2623276	1162936413	124625	50817695	2794064	1	0	22.88	416.22	3162490
186	3994653	1166931066	169418	50987113	2794064	1	0	22.89	417.65	3162490
187	4542847	1171473913	192291	51179404	2794064	1	0	22.89	419.27	3162490
188	6271625	1177745538	274219	51453623	2794064	1	0	22.89	421.52	3162490
189	2831477	1180577015	131626	51585249	2794064	1	0	22.89	422.53	3162490
190	2782214	1183359229	129932	51715181	2794064	1	0	22.88	423.53	3162490
191	5865217	1189224446	254528	51969709	2794064	1	0	22.88	425.63	3210335
192	2789676	1192014122	131401	52101110	2794064	1	0	22.88	426.62	3210335
193	5959389	1197973511	262744	52363854	2794064	1	0	22.88	428.76	3210335
194	5026810	1203000321	215073	52578927	2794064	1	0	22.88	430.56	3210335
195	2787187	1205787508	130587	52709514	2794064	1	0	22.88	431.55	3210335
196	2672301	1208459809	127410	52836924	2794064	1	0	22.87	432.51	3210335
197	5949296	1214409105	266142	53103066	2794064	1	0	22.87	434.64	3210335
198	5298519	1219707624	233748	53336814	2794064	1	0	22.87	436.54	3210335
199	4849710	1224557334	206034	53542848	2794064	1	0	22.87	438.27	3285806
200	5429129	1229986463	235259	53778107	2794064	1	0	22.87	440.21	3285806
201	2783250	1232769713	131654	53909761	2794064	1	0	22.87	441.21	3285806
202	4807746	1237577459	203945	54113706	2794064	1	0	22.87	442.93	3285806
203	5431111	1243008570	235762	54349468	2794064	1	0	22.87	444.87	3285806
204	5283601	1248292171	232399	54581867	2794064	1	0	22.87	446.77	3285806
205	5140102	1253432273	220954	54802821	2794064	1	0	22.87	448.61	3285806
206	4951570	1258383843	211216	55014037	2794064	1	0	22.87	450.38	3285806
207	5974821	1264358664	266108	55280145	2794064	1	0	22.87	452.52	3328283
208	3996583	1268355247	305116	55585261	2794064	1	0	22.82	453.95	3328283
209	2835262	1271190509	133151	55718412	2794064	1	0	22.81	454.96	3328283
210	6378382	1277568891	295876	56014288	2794064	1	0	22.81	457.24	3328283
211	5897308	1283466199	265132	56279420	2794064	1	0	22.81	459.35	3328283
212	5970041	1289436240	274390	56553810	2794064	1	0	22.80	461.49	3328283
213	6491152	1295927392	318102	56871912	2794064	1	0	22.79	463.81	3328283
214	5955478	1301882870	265746	57137658	2794064	1	0	22.79	465.95	3328283
215	5920672	1307803542	268352	57406010	2794064	1	0	22.78	468.06	3454229
216	5883359	1313686901	260694	57666704	2794064	1	0	22.78	470.17	3454229
217	5875949	1319562850	261744	57928448	2794064	1	0	22.78	472.27	3454229
218	5942144	1325504994	271936	58200384	2794064	1	0	22.77	474.40	3454229
219	6169821	1331674815	277381	58477765	2794064	1	0	22.77	476.61	3454229
220	5933227	1337608042	254730	58732495	2794064	1	0	22.77	478.73	3454229
221	2961267	1340569309	138818	58871313	2794064	1	0	22.77	479.79	3454229
222	5936226	1346505535	257038	59128351	2794064	1	0	22.77	481.92	3454229
223	6216066	1352721601	269377	59397728	2794064	1	0	22.77	484.14	3504398
224	438	1352722039	118	59397846	2794064	1	0	22.77	484.14	3504398
225	6234967	1358957006	275633	59673479	2794064	1	0	22.77	486.37	3504398
226	4308699	1363265705	179528	59853007	2794064	1	0	22.78	487.91	3504398
227	6227774	1369493479	272927	60125934	2794064	1	0	22.78	490.14	3504398
228	6809066	1376302545	368526	60494460	2794064	1	0	22.75	492.58	3504398
229	6530593	1382833138	327362	60821822	2794064	1	0	22.74	494.92	3504398
230	6244516	1389077654	274960	61096782	2794064	1	0	22.74	497.15	3504398
231	6211546	1395289200	271445	61368227	2794064	1	0	22.74	499.38	3599605
232	6279849	1401569049	283882	61652109	2794064	1	0	22.73	501.62	3599605
233	6308301	1407877350	278003	61930112	2794064	1	0	22.73	503.88	3599605
234	6423339	1414300689	308897	62239009	2794064	1	0	22.72	506.18	3599605
235	6289339	1420590028	275169	62514178	2794064	1	0	22.72	508.43	3599605
236	6370757	1426960785	288382	62802560	2794064	1	0	22.72	510.71	3599605
237	6419795	1433380580	304876	63107436	2794064	1	0	22.71	513.01	3599605
238	2952807	1436333387	139591	63247027	2794064	1	0	22.71	514.07	3599605
239	6371734	1442705121	291767	63538794	2794064	1	0	22.71	516.35	3670608
