tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	2364113	586990	2364113	586990	34076	34076	78104	2104455
1	2525815	207453	4889928	794443	32603	6124	78598	740467
2	2749866	172550	7639794	966993	35149	3073	83789	557350
3	2156755	98361	9796549	1065354	27796	651	67358	317531
4	2024712	86180	11821261	1151534	27451	78	67700	141681
5	1957958	103805	13779219	1255339	27848	1687	66946	238985
6	2091912	88913	15871131	1344252	27765	171	68266	177270
7	2172271	88255	18043402	1432507	28575	71	69682	145247
8	2023269	83746	20066671	1516253	27456	62	67732	133146
9	2164713	88477	22231384	1604730	28268	163	68328	147088
10	2197076	90683	24428460	1695413	28881	205	69286	152023
11	2032919	83610	26461379	1779023	27487	41	67756	131887
12	2070861	88851	28532240	1867874	28297	222	68268	143848
13	2642429	135288	31174669	2003162	33708	1643	80493	303443
14	2078480	95051	33253149	2098213	28069	426	67776	214552
15	2017151	86695	35270300	2184908	27579	47	67089	130332
16	1186096	51385	36456396	2236293	16770	94	39718	72934
17	804563	32546	37260959	2268839	10857	59	27923	47711
18	2278690	104791	39539649	2373630	29753	743	71037	218448
19	3728430	293885	43268079	2667515	41865	8658	94999	1348160
20	1972844	85660	45240923	2753175	26922	154	65625	147195
21	2144957	128167	47385880	2881342	28936	1028	68905	243951
22	2803559	148536	50189439	3029878	32970	1753	79541	619231
23	2608982	201528	52798421	3231406	35710	6505	88526	506286
24	2711408	122612	55509829	3354018	36297	476	91169	226011
25	2754076	120637	58263905	3474655	36924	251	92160	208100
26	2231230	90597	60495135	3565252	29468	46	72444	146637
27	2035107	98585	62530242	3663837	27921	672	68292	165519
28	2229800	91875	64760042	3755712	29869	116	71378	149401
29	340176	27918	65100218	3783630	2952	721	6131	210608
30	2157873	87513	67258091	3871143	28371	195	69056	142845
31	2338973	104489	69597064	3975632	30422	942	73865	205566
32	2900286	156090	72497350	4131722	38093	2162	94671	327783
33	2318494	97000	74815844	4228722	30092	463	73091	174968
34	2183853	85928	76999697	4314650	28249	53	69139	134849
35	1990855	100600	78990552	4415250	28075	1226	67927	202054
36	2154058	90893	81144610	4506143	29060	172	71023	150197
37	1128812	49083	82273422	4555226	16079	62	38523	73263
38	2187559	97453	84460981	4652679	29874	377	72514	170619
39	2198654	91157	86659635	4743836	28137	221	68935	189418
40	1931435	85849	88591070	4829685	27104	218	66074	141808
41	1930969	84248	90522039	4913933	27087	134	66076	134682
42	2258959	100847	92780998	5014780	30499	559	73820	184978
43	1954631	84622	94735629	5099402	27426	76	66830	135307
44	2180122	95751	96915751	5195153	29745	363	71434	161479
45	1988692	85019	98904443	5280172	27745	81	67178	133046
46	1973702	86673	100878145	5366845	27554	179	66936	141802
47	2158936	90814	103037081	5457659	28101	286	68742	165352
48	2227342	96215	105264423	5553874	29084	491	70456	169536
49	2539200	144510	107803623	5698384	33576	2446	80669	353214
50	2175896	88590	109979519	5786974	29117	60	70949	139835
51	2230579	91008	112210098	5877982	29882	35	72305	144588
52	811012	34521	113021110	5912503	10978	134	28201	52057
53	2095473	89795	115116583	6002298	28584	179	70845	147278
54	2325526	104460	117442109	6106758	30749	806	75196	204187
55	2224832	91232	119666941	6197990	29769	47	72144	149020
56	1979969	87348	121646910	6285338	27568	181	67177	146934
57	2343022	102951	123989932	6388289	30822	763	75895	210482
58	2053542	85218	126043474	6473507	27643	45	68059	138266
59	1848150	80559	127891624	6554066	25863	13	63451	119619
60	2080255	88959	129971879	6643025	27913	211	68593	155369
61	2193366	84812	132165245	6727837	28134	19	68920	133220
62	2144778	89505	134310023	6817342	28345	161	69570	153517
63	2133036	89455	136443059	6906797	27996	200	68716	151485
64	2146766	90976	138589825	6997773	28975	156	70830	150797
65	1961807	90380	140551632	7088153	27460	482	66720	159989
66	2115257	89211	142666889	7177364	28675	165	69049	143896
67	2721104	126948	145387993	7304312	34383	1410	82213	257573
68	2432008	104018	147820001	7408330	32076	269	77582	188595
69	2515999	104609	150336000	7512939	32133	450	77489	177827
70	2868901	149198	153204901	7662137	35955	1819	85168	374756
71	2395218	97500	155600119	7759637	31630	112	77196	159292
72	2371626	98180	157971745	7857817	31308	230	76318	160435
73	2083801	85593	160055546	7943410	27682	49	68134	137841
74	2171678	90866	162227224	8034276	29161	111	71200	151701
75	2079828	88079	164307052	8122355	27835	252	68549	149443
76	2107367	86679	166414419	8209034	28237	96	69045	137454
77	2144943	87414	168559362	8296448	28675	50	69977	139248
78	2134812	84014	170694174	8380462	27847	20	68399	131714
79	2142802	86835	172836976	8467297	28648	32	69932	137694
80	2097141	85586	174934117	8552883	27698	33	68159	137989
81	2208781	93638	177142898	8646521	29737	206	72119	155780
82	2124692	85738	179267590	8732259	27920	82	68549	135882
83	2096365	85300	181363955	8817559	27686	25	68134	137690
84	2109446	89630	183473401	8907189	28724	223	70460	146661
85	1938917	83612	185412318	8990801	27295	86	66444	131545
86	1091762	49035	186504080	9039836	15617	170	37731	72070
87	2066228	94946	188570308	9134782	27932	543	68578	182798
88	2122662	94442	190692970	9229224	28630	443	70180	187780
89	866805	43357	191559775	9272581	12001	516	30075	74143
90	875623	47453	192435398	9320034	12149	694	30502	81165
91	1393722	75905	193829120	9395939	20082	1171	49382	141277
92	1218267	59347	195047387	9455286	16960	470	43091	94955
93	2053765	93052	197101152	9548338	28209	657	69213	160024
94	1026436	45960	198127588	9594298	14596	155	35694	68385
95	2426369	210943	200553957	9805241	34213	7142	90181	521632
96	1061132	52983	201615089	9858224	15160	497	37012	85031
97	1089866	47168	202704955	9905392	15541	90	37534	69499
98	649898	26998	203354853	9932390	8808	105	22770	40748
