group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	112	219324625	8502361	951028	230.62	0	0	135899	8079	8079	4182	3897	tu
1	112	224	203043603	9414264	924659	219.59	0	219324625	149262	16334	16334	13819	2515	tu
2	224	336	411967396	16546313	2658802	154.94	0	422368228	265658	54496	54496	44987	9509	tu
3	336	448	403534797	4791799	481987	837.23	0	834335624	79633	24519	24519	17527	6992	tu
4	448	504	218550555	5400114	671236	325.59	164128597	1073741824	89984	56858	22557	19597	2960	add
5	504	518	46647762	308254	48592	959.99	382679152	1073741824	5586	2558	1375	1028	347	add
6	518	525	29573652	13228791	2983659	9.91	429326914	1073741824	206976	62918	44930	44622	308	add
7	525	532	141836191	126963034	29158318	4.86	458900566	1073741824	1982679	1133137	1018626	1018527	99	add
8	532	644	310714261	18967829	3076193	101.01	600736757	1073741824	301992	246693	214905	208599	6306	tu
9	644	756	374820518	6764172	621710	602.89	911451018	1073741824	108906	88793	79762	75899	3863	tu
10	756	868	335240661	4569813	451194	743.01	1286271536	1073741824	75162	62952	55283	51194	4089	tu
11	868	980	323705535	28137629	3902603	82.95	1621512197	1073741824	444650	368550	208396	201765	6631	tu
12	980	1092	311125947	5827959	523891	593.88	1945217732	1073741824	95486	86653	29984	24709	5275	tu
13	1092	1204	341050211	6219513	622885	547.53	2256343679	1073741824	100582	87642	30479	26485	3994	tu
14	1204	1316	285506646	4441021	475111	600.93	2597393890	1073741824	74198	65423	22829	19594	3235	tu
15	1316	1428	276256258	6796582	706863	390.82	2882900536	1073741824	110477	101723	21946	17426	4520	tu
16	1428	1540	298765407	14523401	1729707	172.73	3159156794	1073741824	232369	210341	46620	42497	4123	tu
17	1540	1652	314676573	9393499	939671	334.88	3457922201	1073741824	154122	134284	41659	35365	6294	tu
18	1652	1764	198257663	6200472	654133	303.08	3772598774	1073741824	99602	87626	25487	22593	2894	tu
19	1764	1876	83980628	2280602	301013	278.99	3970856437	1073741824	37263	32838	10761	8658	2103	tu
20	1876	1988	258137219	2851026	331594	778.47	4054837065	1073741824	47252	43424	13563	11460	2103	tu
21	1988	2100	394429287	4275791	506099	779.35	4312974284	1073741824	69264	64444	17069	14767	2302	tu
22	2100	2207	151616790	5587671	706511	214.60	4707403571	1073741824	91336	84311	17236	14659	2577	tu
