logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	1836	743	1242908	1836	743	20	20	653	24	26	1	12	1	77	110	451	1	1	11
1	1	1	3726840	660334	55829627	3728676	661077	8499	8213	643572	24	26	1	8411	80	4073	132004	507476	1	1	4567
2	2	2	3341805	601944	49694966	7070481	1263021	8137	7659	586098	24	26	1	177	7951	4113	124939	457026	1	1	4270
3	3	3	3871485	677176	60516390	10941966	1940197	8746	8266	660114	24	26	1	454	8283	4231	139510	516353	1	1	4576
4	4	4	2894389	528055	48134079	13836355	2468252	7231	6506	514268	24	26	1	529	6693	4258	111106	398884	1	1	3675
5	5	5	3910918	683320	63161467	17747273	3151572	8923	8280	666067	24	26	1	241	8673	4325	142418	519304	1	1	4576
6	6	6	3977380	699077	68408598	21724653	3850649	9149	8447	681431	24	26	1	479	8661	4411	144418	532582	1	1	4652
7	7	7	4423246	781127	69994275	26147899	4631776	9695	9105	762277	24	26	1	654	9032	4652	157565	600040	1	1	5001
8	8	0	3224620	594343	53610820	29372519	5226119	7835	7478	579006	24	0	1	707	7119	4859	126851	447276	1	1	4161
9	9	1	3022248	78713	8774587	32394767	5304832	7386	927	70376	24	0	1	379	6998	1102	19234	50019	1	1	545
10	10	2	3755417	97749	16101576	36150184	5402581	9049	1062	87614	24	0	1	397	8643	1104	19575	66914	1	1	610
11	11	3	3423516	77297	8836397	39573700	5479878	8258	863	68152	24	0	1	244	8005	1005	20559	46567	1	1	491
12	12	4	3591597	135993	16775065	43165297	5615871	8590	1600	125779	24	0	1	281	8300	1069	31887	92802	1	1	920
13	13	5	3547473	72833	8418288	46712770	5688704	8603	693	63513	24	0	1	80	8515	1050	13762	48681	1	1	377
14	14	6	3893927	41053	7556849	50606697	5729757	9061	595	31373	24	0	1	86	8967	959	7765	22629	1	1	306
15	15	7	3770999	26143	5877151	54377696	5755900	9029	425	16665	24	0	1	357	8663	751	5051	10844	1	1	220
16	16	0	3608859	116658	17004685	57986555	5872558	8880	1384	106370	24	0	1	546	8325	704	23541	82104	1	1	845
17	17	1	2807366	9069	4133283	60793921	5881627	6655	91	2299	24	0	1	44	6603	663	1051	566	1	1	41
18	18	2	3437381	34604	6603620	64231302	5916231	4046	487	30047	24	0	1	395	3642	697	8452	20878	1	1	281
19	19	3	3531244	14845	4906993	67762546	5931076	7829	289	6703	24	0	1	430	7390	683	4211	1790	1	1	141
20	20	4	3854245	122676	12947781	71616791	6053752	9327	1497	111828	24	0	1	201	9117	594	22356	88857	1	1	871
21	21	5	4987004	203059	26249971	76603795	6256811	10401	1693	190941	24	0	1	1295	9097	1209	32841	156870	1	1	1003
22	22	6	2098275	13276	3547584	78702070	6270087	5127	133	7992	24	0	1	70	5049	1213	1821	4939	1	1	62
23	23	7	3758634	29797	5684541	82460704	6299884	8627	355	20791	24	0	1	55	8564	1186	4550	15036	1	1	179
24	24	0	4102983	131350	18560552	86563687	6431234	9740	1351	120235	24	0	1	552	9179	1118	24785	94311	1	1	785
25	25	1	2824953	10640	3425755	89388640	6441874	6934	67	3615	24	0	1	49	6877	1108	1259	1229	1	1	29
26	26	2	3666182	75707	8484078	93054822	6517581	4724	981	69978	24	0	1	419	4296	1087	17911	50959	1	1	572
27	27	3	3473988	66032	7754979	96528810	6583613	8589	657	56762	24	0	1	49	8532	1085	11700	43957	1	1	380
28	28	4	3563242	39137	8312298	100092052	6622750	8875	311	29927	24	0	1	174	8692	1116	5009	23782	1	1	154
29	29	5	3936287	26942	5552841	104028339	6649692	9030	313	17575	24	0	1	129	8892	474	3391	13691	1	1	151
30	30	6	3971101	85234	9390446	107999440	6734926	9605	817	74788	24	0	1	313	9283	458	13215	61095	1	1	460
31	31	7	3633439	82733	8761327	111632879	6817659	8827	816	73066	24	0	1	165	8653	461	18994	53590	1	1	470
32	32	0	1694908	10293	3217365	113327787	6827952	4136	309	5824	24	0	1	349	3778	359	4490	956	1	1	157
33	33	1	3149329	5564	4165874	116477116	6833516	3427	97	2016	24	0	1	51	3368	371	1022	604	1	1	44
34	34	2	2886351	7642	3864545	119363467	6841158	3184	105	4329	24	0	1	152	3023	324	1765	2221	1	1	48
35	35	3	3700722	65464	8384067	123064189	6906622	9379	914	55147	24	0	1	140	9230	359	14625	40143	1	1	537
36	36	4	3508974	19150	6048251	126573163	6925772	4486	281	14359	24	0	1	228	4249	357	4057	9926	1	1	135
37	37	5	3500367	21185	4845703	130073530	6946957	8472	235	12454	24	0	1	315	8148	432	2178	9825	1	1	120
38	38	6	3971550	41017	7217939	134045080	6987974	9089	371	31533	24	0	1	284	8796	491	5087	25935	1	1	183
39	39	7	2394412	7665	3327275	136439492	6995639	5977	55	1609	24	0	1	53	5916	476	355	759	1	1	23
40	40	0	3541553	34502	6792470	139981045	7030141	7757	329	26392	24	0	1	139	7609	488	6169	19715	1	1	159
41	41	1	4360803	142650	20240760	144341848	7172791	10318	1556	130752	24	0	1	337	9972	544	25781	104406	1	1	919
42	42	2	4455883	101073	17860233	148797731	7273864	9732	659	90658	24	0	1	112	9612	522	15335	74781	1	1	367
43	43	3	3528182	10040	3978284	152325913	7283904	7740	65	2211	24	0	1	78	7654	493	448	1251	1	1	28
44	44	4	4160577	64551	9120087	156486490	7348455	9529	468	54530	24	0	1	169	9351	482	12994	41034	1	1	242
45	45	5	3447564	11922	3964844	159934054	7360377	8700	148	3050	24	0	1	181	8510	395	1572	1064	1	1	69
46	46	6	2968010	60366	7002769	162902064	7420743	7082	795	52465	24	0	1	414	6659	488	13381	38576	1	1	485
47	47	7	3175279	105202	11045944	166077343	7525945	7300	1176	96702	24	0	1	791	6500	677	21649	74355	1	1	721
48	48	0	4578134	129085	18701322	170655477	7655030	10624	1336	117101	24	0	1	265	10350	743	22014	94323	1	1	784
49	49	1	4614383	125115	12646211	175269860	7780145	10509	1045	113537	24	0	1	450	10050	741	25746	87029	1	1	595
50	50	2	4158627	55959	9219337	179428487	7836104	8861	678	46396	24	0	1	170	8682	745	13695	31936	1	1	373
51	51	3	3717490	22313	5208292	183145977	7858417	8388	129	13772	24	0	1	91	8289	748	2078	10927	1	1	60
52	52	4	3579788	10572	4632093	186725765	7868989	7833	99	2616	24	0	1	74	7751	724	887	986	1	1	45
53	53	5	4934852	97524	12151072	191660617	7966513	9754	654	87092	24	0	1	446	9299	814	16058	70200	1	1	360
54	54	6	2822997	89739	9356926	194483614	8056252	6985	1182	81548	24	0	1	108	6869	717	20810	60000	1	1	688
55	55	7	3679603	32783	6058691	198163217	8089035	4697	494	27568	24	0	1	150	4538	504	5998	21046	1	1	266
56	56	0	4156384	66301	7398059	202319601	8155336	8911	606	56760	24	0	1	227	8675	434	11302	45004	1	1	332
57	57	1	3892276	43778	7194979	206211877	8199114	8853	333	34568	24	0	1	188	8656	414	6890	27244	1	1	161
58	58	2	4122406	17562	4436383	210334283	8216676	9460	123	7955	24	0	1	146	9305	440	1589	5907	1	1	57
59	59	3	2236738	3083	2563437	212571021	8219759	1447	37	1575	24	0	1	51	1388	441	221	894	1	1	14
