logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	5348202	838288	77908836	5348202	838288	12957	12737	812544	24	26	1	12877	72	4788	171982	635710	30	17	6844
1	1	1	5348204	849103	63662170	10696406	1687391	12961	12737	823355	24	26	1	4	12949	4788	180211	638291	30	17	6844
2	2	2	5348198	849390	79485242	16044604	2536781	12961	12737	823642	24	26	1	4	12949	4788	180499	638290	30	17	6844
3	3	3	5348178	849388	78790544	21392782	3386169	12961	12737	823640	24	26	1	4	12949	4788	180501	638286	30	17	6844
4	4	4	5348216	849384	77089616	26740998	4235553	12961	12737	823636	24	26	1	4	12949	4788	180501	638282	30	17	6844
5	5	5	5348218	849390	76869637	32089216	5084943	12961	12737	823642	24	26	1	4	12949	4788	180506	638283	30	17	6844
6	6	6	5348244	849391	78230315	37437460	5934334	12961	12737	823643	24	26	1	4	12949	4788	180503	638287	30	17	6844
7	7	7	5348246	849391	71558216	42785706	6783725	12961	12737	823643	24	26	1	4	12949	4788	180503	638287	30	17	6844
8	8	0	5348518	14406	15474263	48134224	6798131	12961	11	1410	24	0	1	4	12949	1	1251	140	1	1	1
9	9	1	5348202	684	7064178	53482426	6798815	12	11	637	24	0	1	4	1	1	514	105	1	1	1
10	10	2	5348180	675	5920679	58830606	6799490	12	11	628	24	0	1	4	1	1	515	95	1	1	1
11	11	3	5348180	679	14279675	64178786	6800169	12	11	632	24	0	1	4	1	1	516	98	1	1	1
12	12	4	5348319	705	14058846	69527105	6800874	12	11	658	24	0	1	4	1	1	513	127	1	1	1
13	13	5	5348303	704	18890907	74875408	6801578	12	11	657	24	0	1	4	1	1	515	124	1	1	1
14	14	6	5348303	705	19363756	80223711	6802283	12	11	658	24	0	1	4	1	1	515	125	1	1	1
15	15	7	5348210	685	6904178	85571921	6802968	12	11	638	24	0	1	4	1	1	516	104	1	1	1
16	16	0	5348180	676	6698279	90920101	6803644	12	11	629	24	0	1	4	1	1	516	95	1	1	1
17	17	1	5348198	684	6887979	96268299	6804328	12	11	637	24	0	1	4	1	1	517	102	1	1	1
18	18	2	5440278	30825	15796153	101708577	6835153	13123	111	17567	24	0	1	180	12934	93	2589	14867	1	1	53
19	19	3	5440181	31887	9334684	107148758	6867040	12995	111	18757	24	0	1	4	12983	93	3817	14829	1	1	53
20	20	4	5439869	33188	9259644	112588627	6900228	12995	112	20057	24	0	1	4	12983	93	5169	14777	1	1	53
21	21	5	5439869	33189	8763345	118028496	6933417	12995	112	20058	24	0	1	4	12983	93	5166	14781	1	1	53
22	22	6	5439992	33212	7457027	123468488	6966629	12995	112	20081	24	0	1	4	12983	93	5168	14802	1	1	53
23	23	7	5439905	33196	16038222	128908393	6999825	12995	112	20065	24	0	1	4	12983	93	5164	14790	1	1	53
