corpus	tus	k	warm	cold	pass1_wire	pass2_wire	p2_cf	p2_fc	p2_root	p2_fill	p2_warm_wire	p2_cold_wire	p2_warm_tus	p2_cold_tus	wall_s	split_ok	dir_ok
corpus11	518	1	1	0	1820495	1391972	1384033	7770	1377040	5180	1391972	0	259	0	1.642493	518/518	518/518
corpus11	518	2	1	1	1820495	2344876	2321592	22920	1377040	942739	691893	1652983	129	130	1.757743	518/518	518/518
corpus11	518	4	1	3	1820495	3967987	3920257	46976	1377040	2541404	340452	3627535	65	194	1.942010	518/518	518/518
corpus11	518	8	1	7	1820495	6558745	6474722	82489	1377040	5095869	173024	6385721	32	227	2.121465	518/518	518/518
corpus11	518	30	1	29	1820495	18142916	17902505	234587	1377040	16523652	48610	18094306	9	250	3.408923	518/518	518/518
corpus16	168	1	1	0	1120240	40266	37709	2388	35529	1636	40266	0	84	0	0.767950	168/168	168/168
corpus16	168	2	1	1	1120240	1098435	1086480	11592	353844	732092	20835	1077600	42	42	0.981172	168/168	168/168
corpus16	168	4	1	3	1120240	2606964	2577955	28258	517081	2060330	12978	2593986	21	63	1.100386	168/168	168/168
corpus16	168	8	1	7	1120240	5312619	5250541	60551	598679	4651318	6079	5306540	10	74	1.383033	168/168	168/168
corpus16	168	30	1	29	1120240	19670582	19430442	234345	647629	18782269	364	19670218	3	81	2.511929	168/168	168/168
corpus9	1714	1	1	0	2384224	526877	500998	25710	477002	17997	526877	0	857	0	2.296101	1714/1714	1714/1714
corpus9	1714	2	1	1	2384224	1950329	1893421	56544	898867	988555	271327	1679002	428	429	2.644460	1714/1714	1714/1714
corpus9	1714	4	1	3	2384224	4187151	4098817	87580	1511219	2581599	146610	4040541	214	643	2.796497	1714/1714	1714/1714
corpus9	1714	8	1	7	2384224	7219069	7088653	128882	1922659	5159995	72659	7146410	107	750	3.160492	1714/1714	1714/1714
corpus9	1714	30	1	29	2384224	18464546	18185848	272874	2165197	16014652	19611	18444935	29	828	4.085247	1714/1714	1714/1714
corpus3	1378	1	1	0	13089239	3218655	3197816	20670	3178524	14469	3218655	0	689	0	5.671442	1378/1378	1378/1378
corpus3	1378	2	1	1	13089239	10685356	10373920	311072	3699824	6669273	1573900	9111456	344	345	6.874681	1378/1378	1378/1378
corpus3	1378	4	1	3	13089239	17426845	17026066	400025	4314139	12707104	853130	16573715	172	517	7.449861	1378/1378	1378/1378
corpus3	1378	8	1	7	13089239	26047946	25452450	593962	4488937	20958690	346716	25701230	86	603	7.765370	1378/1378	1378/1378
corpus3	1378	30	1	29	13089239	54571661	53635925	929912	4490764	49140338	88920	54482741	23	666	10.192445	1378/1378	1378/1378
corpus2	1244	1	1	0	15692786	8613479	8594650	18660	8577234	13062	8613479	0	622	0	9.156821	1244/1244	1244/1244
corpus2	1244	2	1	1	15692786	14272190	13604946	666880	8589128	5011464	4380137	9892053	311	311	8.652407	1244/1244	1244/1244
corpus2	1244	4	1	3	15692786	19654755	18561897	1092104	8601013	9956530	2170536	17484219	155	467	9.331107	1244/1244	1244/1244
corpus2	1244	8	1	7	15692786	26220705	24864806	1354365	8601013	16259439	1070745	25149960	78	544	9.761955	1244/1244	1244/1244
corpus2	1244	30	1	29	15692786	54442418	52482590	1954004	8601013	43877223	328196	54114222	21	601	13.018867	1244/1244	1244/1244
corpus12	1300	1	1	0	3289358	8652556	8632887	19500	8614687	13650	8652556	0	650	0	7.473758	1300/1300	1300/1300
corpus12	1300	2	1	1	3289358	10347085	10304229	42492	8614687	1684992	4332430	6014655	325	325	8.534302	1300/1300	1300/1300
corpus12	1300	4	1	3	3289358	13304006	13217101	86151	8614687	4597864	2148366	11155640	162	488	9.316924	1300/1300	1300/1300
corpus12	1300	8	1	7	3289358	18591259	18429580	160145	8614687	9810343	1067831	17523428	81	569	9.622867	1300/1300	1300/1300
corpus12	1300	30	1	29	3289358	42199817	41692150	501843	8614687	33072913	287215	41912602	22	628	11.174609	1300/1300	1300/1300
corpus	2476	1	1	0	14613860	8590657	8553348	37140	8518684	25998	8590657	0	1238	0	8.676944	2476/2476	2476/2476
corpus	2476	2	1	1	14613860	15099934	14972591	126979	8518684	6445241	4293005	10806929	619	619	10.399454	2476/2476	2476/2476
corpus	2476	4	1	3	14613860	22127882	21911553	215575	8518622	13384265	2130905	19996977	309	929	11.638838	2476/2476	2476/2476
corpus	2476	8	1	7	14613860	31563911	31226003	336374	8518622	22698715	1056293	30507618	155	1083	12.478701	2476/2476	2476/2476
corpus	2476	30	1	29	14613860	67992737	67206263	780650	8518622	58678975	268668	67724069	41	1197	14.327207	2476/2476	2476/2476
corpus6	4414	1	1	0	62871527	10882123	10815744	66210	10753948	46347	10882123	0	2207	0	19.878277	4414/4414	4414/4414
corpus6	4414	2	1	1	62871527	31363478	31141482	221632	10753953	20372080	5426484	25936994	1103	1104	22.101697	4414/4414	4414/4414
corpus6	4414	4	1	3	62871527	54252241	53867479	384008	10753965	43098065	2719068	51533173	552	1655	23.616792	4414/4414	4414/4414
corpus6	4414	8	1	7	62871527	96772253	96183248	587471	10753974	85413825	1365091	95407162	276	1931	26.580756	4414/4414	4414/4414
corpus6	4414	30	1	29	62871527	160466272	159243441	1217007	10753985	148474007	343936	160122336	74	2133	30.963920	4414/4414	4414/4414
