corpus	tus	k	p1_cf	p2_cf	p2_duplex	p2_warm_cf	p2_cold_cf	p2_warm_tus	p2_cold_tus	p2_c_root	p2_c_fill	wall_s	direction_ok	category_ok
corpus16	168	1	1108663	37713	40266	37713	0	84	0	35529	1636	0.759825	168/168	168/168
corpus16	168	2	1108663	1086513	1098435	19476	1067037	42	42	353844	732092	0.942214	168/168	168/168
corpus16	168	4	1108663	2578046	2606964	12216	2565830	21	63	517081	2060330	1.019522	168/168	168/168
corpus16	168	8	1108663	5250748	5312619	5629	5245119	10	74	598679	4651318	1.253807	168/168	168/168
corpus16	168	30	1108663	19431287	19670582	115	19431172	3	81	647629	18782269	2.418615	168/168	168/168
corpus11	518	1	1794125	1384037	1391972	1384037	0	259	0	1377040	5180	1.436513	518/518	518/518
corpus11	518	2	1794125	2321626	2344876	687858	1633768	129	130	1377040	942739	1.670361	518/518	518/518
corpus11	518	4	1794125	3920351	3967987	338337	3582014	65	194	1377040	2541404	1.761709	518/518	518/518
corpus11	518	8	1794125	6474936	6558745	171899	6303037	32	227	1377040	5095869	2.089032	518/518	518/518
corpus11	518	30	1794125	17903379	18142916	48175	17855204	9	250	1377040	16523652	3.121530	518/518	518/518
corpus9	1714	1	2304168	501002	526877	501002	0	857	0	477002	17997	2.425190	1714/1714	1714/1714
corpus9	1714	2	2304168	1893455	1950329	258322	1635133	428	429	898867	988555	2.669676	1714/1714	1714/1714
corpus9	1714	4	2304168	4098911	4187151	140025	3958886	214	643	1511219	2581599	2.438813	1714/1714	1714/1714
corpus9	1714	8	2304168	7088867	7219069	69284	7019583	107	750	1922659	5159995	3.119197	1714/1714	1714/1714
corpus9	1714	30	2304168	18186722	18464546	18576	18168146	29	828	2165197	16014652	3.946835	1714/1714	1714/1714
corpus12	1300	1	3246486	8632891	8652556	8632891	0	650	0	8614687	13650	7.955473	1300/1300	1300/1300
corpus12	1300	2	3246486	10304263	10347085	4322515	5981748	325	325	8614687	1684992	7.715368	1300/1300	1300/1300
corpus12	1300	4	3246486	13217195	13304006	2143341	11073854	162	488	8614687	4597864	7.834842	1300/1300	1300/1300
corpus12	1300	8	3246486	18429794	18591259	1065236	17364558	81	569	8614687	9810343	9.014205	1300/1300	1300/1300
corpus12	1300	30	3246486	41693024	42199817	286390	41406634	22	628	8614687	33072913	11.941443	1300/1300	1300/1300
corpus3	1378	1	12614525	3197820	3218655	3197820	0	689	0	3178524	14469	6.168203	1378/1378	1378/1378
corpus3	1378	2	12614525	10373954	10685356	1563415	8810539	344	345	3699824	6669273	6.768822	1378/1378	1378/1378
corpus3	1378	4	12614525	17026160	17426845	847805	16178355	172	517	4314139	12707104	6.790254	1378/1378	1378/1378
corpus3	1378	8	12614525	25452664	26047946	343971	25108693	86	603	4488937	20958690	7.837160	1378/1378	1378/1378
corpus3	1378	30	12614525	53636799	54571661	88065	53548734	23	666	4490764	49140338	10.449033	1378/1378	1378/1378
corpus2	1244	1	14336931	8594654	8613479	8594654	0	622	0	8577234	13062	8.112661	1244/1244	1244/1244
corpus2	1244	2	14336931	13604980	14272190	4370642	9234338	311	311	8589128	5011464	8.957978	1244/1244	1244/1244
corpus2	1244	4	14336931	18561991	19654755	2165721	16396270	155	467	8601013	9956530	9.754084	1244/1244	1244/1244
corpus2	1244	8	14336931	24865020	26220705	1068240	23796780	78	544	8601013	16259439	9.861490	1244/1244	1244/1244
corpus2	1244	30	14336931	52483464	54442418	327401	52156063	21	601	8601013	43877223	13.189873	1244/1244	1244/1244
corpus	2476	1	14439911	8553352	8590657	8553352	0	1238	0	8518684	25998	10.869875	2476/2476	2476/2476
corpus	2476	2	14439911	14972625	15099934	4274270	10698355	619	619	8518684	6445241	11.042101	2476/2476	2476/2476
corpus	2476	4	14439911	21911647	22127882	2121470	19790177	309	929	8518622	13384265	11.542620	2476/2476	2476/2476
corpus	2476	8	14439911	31226217	31563911	1051478	30174739	155	1083	8518622	22698715	11.352602	2476/2476	2476/2476
corpus	2476	30	14439911	67207137	67992737	267273	66939864	41	1197	8518622	58678975	14.517203	2476/2476	2476/2476
corpus6	4414	1	62579303	10815748	10882123	10815748	0	2207	0	10753948	46347	19.654099	4414/4414	4414/4414
corpus6	4414	2	62579303	31141516	31363478	5393229	25748287	1103	1104	10753953	20372080	21.561230	4414/4414	4414/4414
corpus6	4414	4	62579303	53867573	54252241	2702343	51165230	552	1655	10753965	43098065	22.439967	4414/4414	4414/4414
corpus6	4414	8	62579303	96183462	96772253	1356646	94826816	276	1931	10753974	85413825	27.209459	4414/4414	4414/4414
corpus6	4414	30	62579303	159244315	160466272	341551	158902764	74	2133	10753985	148474007	30.843206	4414/4414	4414/4414
