tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
0	1	3518074	3518074	1	446344	0	762320	520743	NA	0	
1	1	3523605	7041679	1	446680	0	912408	1042022	NA	0	
2	1	3523686	10565365	1	447059	0	1062979	1563333	NA	0	
3	1	3518991	14084356	1	447271	0	1212182	2084179	NA	0	
4	1	3519520	17603876	1	447507	0	1361350	2605004	NA	0	
5	1	3519112	21122988	1	447738	0	1510484	3125896	NA	0	
6	1	3519831	24642819	1	448083	0	1660617	3647227	NA	0	
7	1	3519843	28162662	1	448322	0	1809876	4168064	NA	0	
8	1	3518182	31680844	1	448557	0	1958832	4688786	NA	0	
9	1	3517653	35198497	1	448795	0	2107756	5209554	NA	0	
10	1	3531244	38729741	1	449206	0	2263333	5731438	NA	0	
11	1	3523616	42253357	1	449523	0	2413502	6252753	NA	0	
12	1	3527193	45780550	1	449815	0	2568404	6774180	NA	0	
13	1	3519941	49300491	1	450135	0	2718048	7295045	NA	0	
14	1	3523430	52823921	1	450412	0	2867580	7816255	NA	0	
15	1	3520530	56344451	1	450625	0	3016905	8337292	NA	0	
16	1	3521427	59865878	1	450826	0	3166209	8858239	NA	0	
17	1	3529654	63395532	1	451139	0	3321619	9379976	NA	0	
18	1	3535454	66930986	1	451688	0	3478370	9902770	NA	0	
19	1	3531323	70462309	1	452306	0	3633131	10424452	NA	0	
20	1	3519157	73981466	1	452567	0	3782259	10945272	NA	0	
21	1	3518383	77499849	1	452802	0	3931333	11466059	NA	0	
22	1	3517513	81017362	1	452997	0	4080240	11986731	NA	0	
23	1	3518384	84535746	1	453162	0	4229316	12507519	NA	0	
24	1	3518315	88054061	1	453348	0	4378292	13028286	NA	0	
25	1	3524829	91578890	1	453752	0	4528930	13549884	NA	0	
26	1	3532515	95111405	1	454336	0	4684936	14072036	NA	0	
27	1	3520292	98631697	1	454525	0	4834179	14592864	NA	0	
28	1	3521371	102153068	1	454815	0	4984034	15114036	NA	0	
29	1	3522719	105675787	1	455047	0	5133490	15634826	NA	0	
30	1	3525076	109200863	1	455343	0	5283183	16155954	NA	0	
31	1	3521720	112722583	1	455600	0	5432491	16676921	NA	0	
32	1	3520553	116243136	1	455825	0	5581760	17197587	NA	0	
33	1	3520698	119763834	1	456196	0	5731980	17719063	NA	0	
34	1	3520116	123283950	1	456406	0	5881353	18240085	NA	0	
35	1	3520659	126804609	1	456605	0	6030817	18761062	NA	0	
36	1	3526649	130331258	1	456962	0	6185930	19282639	NA	0	
37	1	3518074	133849332	1	457010	0	6333901	19803382	NA	0	
38	1	3523605	137372937	1	457059	0	6481970	20324661	NA	0	
39	1	3523686	140896623	1	457108	0	6630107	20845972	NA	0	
40	1	3518991	144415614	1	457157	0	6778050	21366818	NA	0	
41	1	3519520	147935134	1	457207	0	6926001	21887643	NA	0	
42	1	3519112	151454246	1	457257	0	7073920	22408535	NA	0	
43	1	3519831	154974077	1	457307	0	7222023	22929866	NA	0	
44	1	3519843	158493920	1	457357	0	7369997	23450703	NA	0	
45	1	3518182	162012102	1	457407	0	7517957	23971425	NA	0	
46	1	3517653	165529755	1	457457	0	7665917	24492193	NA	0	
47	1	3531244	169060999	1	457507	0	7814143	25014077	NA	0	
48	1	3523616	172584615	1	457557	0	7962222	25535392	NA	0	
49	1	3527193	176111808	1	457607	0	8110307	26056819	NA	0	
50	1	3519941	179631749	1	457657	0	8258322	26577684	NA	0	
51	1	3523430	183155179	1	457707	0	8406304	27098894	NA	0	
52	1	3520530	186675709	1	457757	0	8554298	27619931	NA	0	
53	1	3521427	190197136	1	457807	0	8702249	28140878	NA	0	
54	1	3529654	193726790	1	457857	0	8850457	28662615	NA	0	
55	1	3535454	197262244	1	457907	0	8998842	29185409	NA	0	
