tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
0	1	1637970	1637970	1	292027	0	370321	248556	NA	0	
1	1	865300	2503270	1	293691	0	412308	382149	NA	0	
2	1	1942752	4446022	1	319043	0	562643	677726	NA	0	
3	1	865300	5311322	1	319093	0	603543	811319	NA	0	
4	1	2463021	7774343	1	355168	0	796001	1170700	NA	0	
5	1	865300	8639643	1	355183	0	836901	1304293	NA	0	
6	1	2054037	10693680	1	357426	0	927047	1599835	NA	0	
7	1	865300	11558980	1	357441	0	967947	1733428	NA	0	
8	1	2181040	13740020	1	360225	0	1063060	2048043	NA	0	
9	1	865300	14605320	1	360240	0	1103960	2181636	NA	0	
10	1	2183174	16788494	1	360561	0	1199176	2496890	NA	0	
11	1	865300	17653794	1	360576	0	1240076	2630483	NA	0	
12	1	2053732	19707526	1	360934	0	1329468	2925797	NA	0	
13	1	865300	20572826	1	360949	0	1370368	3059390	NA	0	
14	1	1870316	22443142	1	363545	0	1459743	3343961	NA	0	
15	1	865300	23308442	1	363560	0	1500643	3477554	NA	0	
16	1	1923259	25231701	1	364708	0	1589958	3769219	NA	0	
17	1	865300	26097001	1	364723	0	1630858	3902812	NA	0	
18	1	1655375	27752376	1	365535	0	1712600	4154623	NA	0	
19	1	865300	28617676	1	365550	0	1753500	4288216	NA	0	
20	1	2449261	31066937	1	366424	0	1863198	4645433	NA	0	
21	1	865300	31932237	1	366439	0	1904098	4779026	NA	0	
22	1	2056164	33988401	1	366759	0	1994363	5075207	NA	0	
23	1	865300	34853701	1	366774	0	2035263	5208800	NA	0	
24	1	1727428	36581129	1	367288	0	2116067	5470605	NA	0	
25	1	865300	37446429	1	367303	0	2156967	5604198	NA	0	
26	1	1929275	39375704	1	368481	0	2249410	5897543	NA	0	
27	1	2033273	41408977	1	379739	0	2368507	6209450	NA	0	
28	1	2122650	43531627	1	392639	0	2499867	6532185	NA	0	
29	1	1901099	45432726	1	393913	0	2589330	6820187	NA	0	
30	1	1718663	47151389	1	394383	0	2673272	7082033	NA	0	
31	1	2015041	49166430	1	396588	0	2771339	7389958	NA	0	
32	1	1890794	51057224	1	397700	0	2862587	7678846	NA	0	
33	1	1918861	52976085	1	402352	0	2968594	7974053	NA	0	
34	1	10624	52986709	1	402715	0	2969903	7976159	NA	0	
35	1	1867375	54854084	1	404719	0	3061185	8263108	NA	0	
36	1	1909656	56763740	1	406000	0	3152183	8553552	NA	0	
37	1	1906673	58670413	1	408111	0	3248704	8846001	NA	0	
38	1	2001518	60671931	1	411095	0	3349953	9149286	NA	0	
39	1	2041973	62713904	1	412801	0	3450994	9462024	NA	0	
40	1	1928294	64642198	1	413655	0	3541716	9755417	NA	0	
41	1	1866413	66508611	1	414963	0	3631769	10040183	NA	0	
42	1	1422121	67930732	1	415497	0	3700857	10258229	NA	0	
43	1	1722738	69653470	1	416108	0	3786336	10521047	NA	0	
44	1	21300	69674770	1	416404	0	3792006	10526012	NA	0	
45	1	132739	69807509	1	417149	0	3837206	10554599	NA	0	
46	1	31486	69838995	1	417589	0	3839822	10559545	NA	0	
47	1	1324077	71163072	1	418437	0	3903866	10761266	NA	0	
48	1	1969681	73132753	1	421063	0	4015298	11054748	NA	0	
49	1	865300	73998053	1	421078	0	4056198	11188341	NA	0	
50	1	2093369	76091422	1	424359	0	4165126	11501090	NA	0	
51	1	1724620	77816042	1	424822	0	4249430	11764075	NA	0	
52	1	1637083	79453125	1	425311	0	4328560	12012806	NA	0	
53	1	865300	80318425	1	425326	0	4369460	12146399	NA	0	
54	1	1934233	82252658	1	426124	0	4459779	12439781	NA	0	
55	1	865300	83117958	1	426139	0	4500679	12573374	NA	0	
56	1	2463982	85581940	1	426633	0	4612033	12931986	NA	0	
57	1	865300	86447240	1	426648	0	4652933	13065579	NA	0	
58	1	1883862	88331102	1	428140	0	4741100	13349704	NA	0	
59	1	865300	89196402	1	428155	0	4782000	13483297	NA	0	
60	1	1638958	90835360	1	428588	0	4863663	13732433	NA	0	
61	1	865300	91700660	1	428603	0	4904563	13866026	NA	0	
62	1	2055335	93755995	1	429188	0	4994982	14162105	NA	0	
63	1	865300	94621295	1	429203	0	5035882	14295698	NA	0	
64	1	1927365	96548660	1	429982	0	5126343	14588405	NA	0	
65	1	1635501	98184161	1	430412	0	5205619	14836813	NA	0	
66	1	2462378	100646539	1	431053	0	5315207	15195887	NA	0	
67	1	1716443	102362982	1	431278	0	5398392	15457372	NA	0	
68	1	2261736	104624718	1	431921	0	5499044	15785736	NA	0	
69	1	2052676	106677394	1	432299	0	5589290	16081130	NA	0	
70	1	1964179	108641573	1	433652	0	5686038	16379577	NA	0	
71	1	1589882	110231455	1	436132	401210	5765164	16618435	NA	1	
72	2	1637970	111869425	2	436179	401210	5843739	16866991	NA	0	-3
73	2	865300	112734725	2	436194	401210	5884639	17000584	NA	0	
74	2	1942752	114677477	2	436245	401210	5972964	17296161	NA	0	
75	2	865300	115542777	2	436260	401210	6013864	17429754	NA	0	
76	2	2463021	118005798	2	436311	401210	6121302	17789135	NA	0	
77	2	865300	118871098	2	436326	401210	6162202	17922728	NA	0	
78	2	2054037	120925135	2	436377	401210	6250843	18218270	NA	0	
