tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
0	1	1672314	1672314	1	536688	0	412546	273693	NA	0	
1	1	1205213	2877527	1	544542	0	481681	463973	NA	0	
2	1	206630	3084157	1	544988	0	491460	500611	NA	0	
3	1	2242658	5326815	1	598062	0	814442	855154	NA	0	
4	1	2994554	8321369	1	608368	0	1009645	1336876	NA	0	
5	1	1438876	9760245	1	609618	0	1079051	1567053	NA	0	
6	1	2798929	12559174	1	615701	0	1213380	2009849	NA	0	
7	1	3220014	15779188	1	644739	0	1386174	2489578	NA	0	
8	1	2333077	18112265	1	646007	0	1498148	2863251	NA	0	
9	1	3672382	21784647	1	681438	0	1710835	3396555	NA	0	
10	1	3094230	24878877	1	686855	0	1868379	3888325	NA	0	
11	1	3227576	28106453	1	698098	0	2023841	4382864	NA	0	
12	1	4634140	32740593	1	783441	0	2280279	4974156	NA	0	
13	1	3260091	36000684	1	808364	0	2439707	5489606	NA	0	
14	1	3009491	39010175	1	813507	0	2596869	5984083	NA	0	
15	1	2242658	41252833	1	813558	0	2702912	6338626	NA	0	
16	1	3073112	44325945	1	813732	0	2845204	6843923	NA	0	
17	1	1691182	46017127	1	813828	0	2924714	7121844	NA	0	
18	1	1734109	47751236	1	813917	0	3006552	7407675	NA	0	
19	1	3326956	51078192	1	822581	0	3181362	7937333	NA	0	
20	1	3623532	54701724	1	838780	0	3389983	8508337	NA	0	
21	1	3702583	58404307	1	863769	0	3581112	9061936	NA	0	
22	1	3160151	61564458	1	884634	0	3756283	9543773	NA	0	
23	1	2761846	64326304	1	885976	0	3885337	9987507	NA	0	
24	1	2876035	67202339	1	892317	0	4018997	10454630	NA	0	
25	1	2242658	69444997	1	892332	0	4125040	10809173	NA	0	
26	1	3073112	72518109	1	892384	0	4267277	11314470	NA	0	
27	1	1691182	74209291	1	892436	0	4346787	11592391	NA	0	
28	1	1734109	75943400	1	892488	0	4428625	11878222	NA	0	
29	1	3239711	79183111	1	899339	0	4592131	12404046	NA	0	
30	1	2242658	81425769	1	899354	0	4698174	12758589	NA	0	
31	1	3073112	84498881	1	899369	0	4840411	13263886	NA	0	
32	1	1691182	86190063	1	899384	0	4919921	13541807	NA	0	
33	1	1734109	87924172	1	899399	0	5001759	13827638	NA	0	
34	1	3567353	91491525	1	912816	0	5179283	14386483	NA	0	
35	1	3196680	94688205	1	914168	0	5328430	14912565	NA	0	
36	1	2242658	96930863	1	914183	0	5434473	15267108	NA	0	
37	1	3073112	100003975	1	914198	0	5576710	15772405	NA	0	
38	1	1691182	101695157	1	914213	0	5656220	16050326	NA	0	
39	1	1734109	103429266	1	914228	0	5738058	16336157	NA	0	
40	1	3627861	107057127	1	927952	0	5917940	16904074	NA	0	
41	1	2061745	109118872	1	929166	0	6013650	17234079	NA	0	
42	1	1357037	110475909	1	930360	0	6074940	17446128	NA	0	
43	1	3124266	113600175	1	939161	0	6229089	17936382	NA	0	
44	1	1672314	115272489	1	939211	0	6306972	18210075	NA	0	
45	1	2242658	117515147	1	939226	0	6413015	18564618	NA	0	
46	1	2994554	120509701	1	939277	0	6552034	19046340	NA	0	
47	1	1438876	121948577	1	939328	0	6619447	19276517	NA	0	
48	1	3277287	125225864	1	952076	0	6778178	19782744	NA	0	
49	1	76523	125302387	1	956200	0	6786241	19794309	NA	0	
50	1	3249100	128551487	1	1006187	665724	7033524	20318732	NA	1	
51	2	1672314	130223801	2	1006187	665724	7111407	20592425	NA	0	-17
52	2	1205213	131429014	2	1006236	665724	7165307	20782705	NA	0	
53	2	206630	131635644	2	1006287	665724	7173769	20819343	NA	0	
54	2	2242658	133878302	2	1006302	665724	7279812	21173886	NA	0	
55	2	2994554	136872856	2	1006317	665724	7418831	21655608	NA	0	
56	2	1438876	138311732	2	1006332	665724	7486244	21885785	NA	0	
57	2	2798929	141110661	2	1006383	665724	7614694	22328581	NA	0	
58	2	3220014	144330675	2	1006435	665724	7756146	22808310	NA	0	
59	2	2333077	146663752	2	1006487	665724	7867040	23181983	NA	0	
60	2	3672382	150336134	2	1006539	665724	8028542	23715287	NA	0	
61	2	3094230	153430364	2	1006591	665724	8170303	24207057	NA	0	
62	2	3227576	156657940	2	1006643	665724	8313731	24701596	NA	0	
63	2	4634140	161292080	2	1006696	665724	8496751	25292888	NA	0	
64	2	3260091	164552171	2	1006748	665724	8642611	25808338	NA	0	
65	2	3009491	167561662	2	1006800	665724	8782253	26302815	NA	0	
66	2	2242658	169804320	2	1006815	665724	8888296	26657358	NA	0	
67	2	3073112	172877432	2	1006830	665724	9030533	27162655	NA	0	
68	2	1691182	174568614	2	1006845	665724	9110043	27440576	NA	0	
69	2	1734109	176302723	2	1006860	665724	9191881	27726407	NA	0	
70	2	3326956	179629679	2	1006912	665724	9343833	28256065	NA	0	
71	2	3623532	183253211	2	1006964	665724	9512959	28827069	NA	0	
72	2	3702583	186955794	2	1007016	665724	9677820	29380668	NA	0	
73	2	3160151	190115945	2	1007068	665724	9819303	29862505	NA	0	
74	2	2761846	192877791	2	1007120	665724	9947669	30306239	NA	0	
75	2	2876035	195753826	2	1007172	665724	10079616	30773362	NA	0	
76	2	2242658	197996484	2	1007187	665724	10185659	31127905	NA	0	
77	2	3073112	201069596	2	1007202	665724	10327896	31633202	NA	0	
78	2	1691182	202760778	2	1007217	665724	10407406	31911123	NA	0	
79	2	1734109	204494887	2	1007232	665724	10489244	32196954	NA	0	
80	2	3239711	207734598	2	1007284	665724	10637198	32722778	NA	0	
81	2	2242658	209977256	2	1007299	665724	10743241	33077321	NA	0	
