cell	codec	build1	build2	build3	build4	cum4	pass1_share
cereal.debian-gcc	grz2	374637	789	788	641	376855	99.41
cereal.debian-gcc	p29	466708	1352	1126	1126	470312	99.23
corpus13.native	grz2	401210	721	576	714	403221	99.50
corpus13.native	p29	436132	2998	1080	1080	441290	98.83
fmt.debian-gcc	grz2	665724	431	546	408	667109	99.79
fmt.debian-gcc	p29	1006187	1766	765	765	1009483	99.67
re2.debian-gcc	grz2	362280	721	576	714	364291	99.45
re2.debian-gcc	p29	453331	2996	1080	1080	458487	98.88
re2.fedora-clang-libcxx	grz2	396468	723	577	714	398482	99.49
re2.fedora-clang-libcxx	p29	501668	3001	1080	1080	506829	98.98
