tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
0	1	1496695	1496695	1	358142	0	357518	238650	NA	0	
1	1	1750960	3247655	1	372407	0	495853	517959	NA	0	
2	1	1810990	5058645	1	383754	0	611223	804996	NA	0	
3	1	1439885	6498530	1	387001	0	687149	1032374	NA	0	
4	1	1197209	7695739	1	388670	0	748925	1222394	NA	0	
5	1	1580971	9276710	1	390937	0	832099	1474935	NA	0	
6	1	1468475	10745185	1	392381	0	911748	1710046	NA	0	
7	1	1467018	12212203	1	397139	0	1001644	1946617	NA	0	
8	1	10456	12222659	1	397489	0	1002938	1948710	NA	0	
9	1	1410969	13633628	1	399447	0	1079442	2174762	NA	0	
10	1	1447898	15081526	1	400713	0	1155722	2404255	NA	0	
11	1	1483622	16565148	1	403807	0	1237321	2642320	NA	0	
12	1	1564628	18129776	1	407001	0	1323622	2890727	NA	0	
13	1	1552547	19682323	1	408685	0	1407263	3139337	NA	0	
14	1	1495660	21177983	1	409567	0	1485010	3378134	NA	0	
15	1	1336603	22514586	1	410891	0	1557040	3590437	NA	0	
16	1	857848	23372434	1	411500	0	1600740	3728826	NA	0	
17	1	1201306	24573740	1	412166	0	1663683	3920241	NA	0	
18	1	21132	24594872	1	412449	0	1669335	3925185	NA	0	
19	1	132571	24727443	1	413177	0	1714523	3953756	NA	0	
20	1	26370	24753813	1	413622	0	1716986	3958201	NA	0	
21	1	759620	25513433	1	414521	0	1755735	4080320	NA	0	
22	1	1494907	27008340	1	415294	0	1833040	4318107	NA	0	
23	1	1091510	28099850	1	415775	0	1888615	4491529	NA	0	
24	1	1893739	29993589	1	428823	0	2029827	4772870	NA	0	
25	1	1195003	31188592	1	429072	0	2090405	4962548	NA	0	
26	1	1709466	32898058	1	429818	0	2169666	5212717	NA	0	
27	1	1450567	34348625	1	430428	0	2238085	5422753	NA	0	
28	1	1530552	35879177	1	431754	0	2319036	5666669	NA	0	
29	1	1025043	36904220	1	434189	0	2376000	5826168	NA	0	
30	1	1093945	37998165	1	434669	0	2432785	5999505	NA	0	
31	1	764286	38762451	1	434897	0	2470765	6122785	NA	0	
32	1	1509484	40271935	1	435847	0	2548197	6363362	NA	0	
33	1	764286	41036221	1	435899	0	2585696	6486642	NA	0	
34	1	1419168	42455389	1	436732	0	2660043	6711095	NA	0	
35	1	764286	43219675	1	436747	0	2697542	6834375	NA	0	
