tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
0	1	3269158	3269158	1	429285	0	504679	349211	NA	0	
1	1	3292521	6561679	1	435548	0	615694	705153	NA	0	
2	1	3326476	9888155	1	444758	0	740297	1065231	NA	0	
3	1	3248074	13136229	1	448918	0	839924	1409921	NA	0	
4	1	3235951	16372180	1	451192	0	937522	1752088	NA	0	
5	1	3276906	19649086	1	452247	0	1040331	2102744	NA	0	
6	1	3226293	22875379	1	453481	0	1141400	2448562	NA	0	
7	1	3287445	26162824	1	455994	0	1255665	2801992	NA	0	
8	1	9935	26172759	1	456319	0	1256981	2804080	NA	0	
9	1	3265332	29438091	1	459446	0	1358806	3153278	NA	0	
10	1	3254268	32692359	1	460439	0	1457948	3499728	NA	0	
11	1	3238098	35930457	1	463736	0	1563781	3847819	NA	0	
12	1	3294337	39224794	1	465191	0	1671472	4202166	NA	0	
13	1	3281537	42506331	1	466376	0	1776583	4555269	NA	0	
14	1	3268750	45775081	1	466961	0	1875348	4905002	NA	0	
15	1	3248764	49023845	1	468437	0	1974495	5249725	NA	0	
16	1	2960288	51984133	1	469301	0	2063820	5563783	NA	0	
17	1	3240497	55224630	1	469948	0	2161856	5907076	NA	0	
18	1	20611	55245241	1	470239	0	2167509	5912014	NA	0	
19	1	132050	55377291	1	470991	0	2212737	5940598	NA	0	
20	1	27991	55405282	1	471521	0	2215346	5945389	NA	0	
21	1	1962298	57367580	1	472016	0	2277308	6150269	NA	0	
22	1	3268176	60635756	1	472734	0	2376855	6499297	NA	0	
23	1	3232518	63868274	1	473213	0	2472614	6841030	NA	0	
24	1	3564422	67432696	1	483020	0	2613390	7217441	NA	0	
25	1	3233744	70666440	1	483280	0	2709513	7559330	NA	0	
26	1	3305990	73972430	1	484377	0	2809011	7906229	NA	0	
27	1	3302054	77274484	1	484935	0	2906501	8251915	NA	0	
28	1	3300921	80575405	1	485665	0	3011638	8606332	NA	0	
29	1	3071057	83646462	1	487396	0	3109874	8934471	NA	0	
30	1	3234203	86880665	1	487765	0	3207693	9276571	NA	0	
31	1	3017881	89898546	1	487982	0	3298404	9597036	NA	0	
32	1	3279524	93178070	1	488490	0	3398473	9947798	NA	0	
33	1	3017881	96195951	1	488542	0	3488779	10268263	NA	0	
34	1	3212840	99408791	1	489062	0	3586449	10609352	NA	0	
35	1	3017881	102426672	1	489077	0	3676755	10929817	NA	0	
36	1	3263639	105690311	1	489329	0	3775004	11278266	NA	0	
37	1	3017881	108708192	1	489344	0	3865310	11598731	NA	0	
38	1	3249425	111957617	1	489770	0	3965537	11943461	NA	0	
39	1	3017881	114975498	1	489785	0	4055843	12263926	NA	0	
40	1	3551761	118527259	1	490300	0	4162234	12637766	NA	0	
41	1	3017881	121545140	1	490315	0	4252540	12958231	NA	0	
42	1	3410684	124955824	1	492040	0	4378207	13325186	NA	0	
43	1	3017881	127973705	1	492055	0	4468513	13645651	NA	0	
44	1	3201894	131175599	1	492405	0	4565468	13985650	NA	0	
45	1	3017881	134193480	1	492420	0	4655774	14306115	NA	0	
46	1	3234436	137427916	1	492731	0	4751001	14648155	NA	0	
47	1	3017881	140445797	1	492746	0	4841307	14968620	NA	0	
48	1	3271801	143717598	1	493140	0	4939287	15317996	NA	0	
49	1	3017881	146735479	1	493155	0	5029593	15638461	NA	0	
50	1	3566528	150302007	1	493504	0	5137224	16015038	NA	0	
51	1	3017881	153319888	1	493519	0	5227530	16335503	NA	0	
52	1	3219014	156538902	1	494091	0	5323534	16676329	NA	0	
53	1	3017881	159556783	1	494106	0	5413840	16996794	NA	0	
