id	name	raw	out	ratio	enc_s	C_MBps	dec_s	F_MBps	exact	C	F	size_gate	PASS	load_at_run
corpus2	rocksdb	3114320596	4427477	0.7142	2.569	1156.1	2.356	1260.6	YES	PASS	PASS	PASS	PASS	9.56
corpus4	abseil	2581008467	2890633	0.7190	2.282	1078.7	2.260	1088.9	YES	PASS	PASS	PASS	PASS	14.08
corpus7	fmt	136350082	636236	0.8653	0.552	235.4	0.382	340.7	YES	FAIL	FAIL	PASS	FAIL	14.63
corpus	llvm	3620271340	5907203	0.8096	1.621	2129.6	2.781	1241.5	YES	PASS	PASS	PASS	PASS	15.07
corpus3	duckdb	1985715205	5692443	0.8032	2.019	937.8	2.023	936.1	YES	FAIL	FAIL	PASS	FAIL	14.98
corpus9	catch2	947252235	574291	0.7173	0.520	1736.2	0.791	1141.5	YES	PASS	PASS	PASS	PASS	13.99
corpus12	eigen	3532268956	831035	0.6696	0.993	3392.4	2.543	1324.5	YES	PASS	PASS	PASS	PASS	14.16
corpus6	godot	5932762185	48696649	0.8437	9.271	610.3	7.885	717.5	YES	FAIL	FAIL	PASS	FAIL	17.32
corpus8	spdlog	98384472	422078	0.8990	0.245	382.8	0.252	372.5	YES	FAIL	FAIL	PASS	FAIL	17.54
corpus13	re2	110231455	387413	0.9055	0.229	459.7	0.219	479.4	YES	FAIL	FAIL	PASS	FAIL	17.54
corpus15	simdjson	468377342	922116	0.9057	0.440	1014.3	0.562	795.4	YES	FAIL	FAIL	PASS	FAIL	15.53
corpus16	cereal	326899429	409679	0.8694	0.309	1008.6	0.453	687.6	YES	FAIL	FAIL	PASS	FAIL	15.81
corpus10	json	293917707	720163	0.8943	0.408	686.3	0.472	594.4	YES	FAIL	FAIL	PASS	FAIL	15.69
corpus11	range-v3	632049016	575045	0.7765	0.428	1409.0	0.583	1034.3	YES	PASS	PASS	PASS	PASS	14.99
corpus14	leveldb	143868249	472966	0.8610	0.271	506.7	0.269	510.1	YES	FAIL	FAIL	PASS	FAIL	14.27
corpus5	opencv	4630994774	5083117	0.8079	2.197	2010.4	3.283	1345.1	YES	PASS	PASS	PASS	PASS	14.38
corpus17	corpus17	2542399239	9991806	0.8581	2.531	958.1	2.701	897.6	YES	FAIL	FAIL	PASS	FAIL	14.08
corpus22	corpus22	1514916526	1864882	0.8415	0.751	1924.0	1.241	1164.1	YES	PASS	PASS	PASS	PASS	12.99
corpus23	corpus23	916009779	1848920	0.8559	0.856	1021.1	0.979	891.9	YES	FAIL	FAIL	PASS	FAIL	13.29
corpus24	corpus24	2311143894	2531857	0.8016	1.143	1927.7	1.865	1181.7	YES	PASS	PASS	PASS	PASS	14.09
corpus19	corpus19	7050790103	6479431	0.7270	3.199	2102.1	5.395	1246.5	YES	PASS	PASS	PASS	PASS	16.24
corpus21	corpus21	10802074073	6435274	0.6719	3.678	2800.6	6.892	1494.7	YES	PASS	PASS	PASS	PASS	11.76
