corpus	tus	M	assignment	p1_cf	p2_cf	p2_over_p1	p2_cf_root	p2_cf_fill	p2_fc	p2_missing	wall_s	split_ok	dir_ok	undirected
corpus11	518	1	sticky	1794125	1384037	0.7714	1377040	5180	7935	0	1.514362	518/518	518/518	0
corpus11	518	1	roundrobin	1794125	1384037	0.7714	1377040	5180	7935	0	1.555966	518/518	518/518	0
corpus11	518	4	sticky	4176587	1384281	0.3314	1377040	5412	8430	0	2.124752	518/518	518/518	0
corpus11	518	4	roundrobin	4366347	1751533	0.4011	1377040	372664	17678	4651	2.089509	518/518	518/518	0
corpus11	518	8	sticky	6929698	1384817	0.1998	1377040	5932	9090	0	2.282795	518/518	518/518	0
corpus11	518	8	roundrobin	6981472	2178982	0.3121	1377040	800097	25806	8753	2.306506	518/518	518/518	0
corpus11	518	30	sticky	18011312	1398472	0.0776	1377040	19499	12720	0	3.218541	518/518	518/518	0
corpus11	518	30	roundrobin	18277588	4317041	0.2362	1377040	2938068	60647	26091	3.501478	518/518	518/518	0
corpus16	168	1	sticky	1108663	37713	0.0340	35529	1636	2553	0	0.812918	168/168	168/168	0
corpus16	168	1	roundrobin	1108663	37713	0.0340	35529	1636	2553	0	0.871708	168/168	168/168	0
corpus16	168	4	sticky	3140240	274407	0.0874	272211	1636	3048	0	1.087789	168/168	168/168	0
corpus16	168	4	roundrobin	3162958	356040	0.1126	353844	1636	3048	0	1.039652	168/168	168/168	0
corpus16	168	8	sticky	5736072	323420	0.0564	321208	1636	3708	0	1.288379	168/168	168/168	0
corpus16	168	8	roundrobin	5737547	882632	0.1538	672159	209897	6405	1460	1.309277	168/168	168/168	0
corpus16	168	30	sticky	19245106	342951	0.0178	337526	4765	7173	0	2.336727	168/168	168/168	194
corpus16	168	30	roundrobin	19969915	905050	0.0453	672159	232227	10786	1930	2.555000	168/168	168/168	0
corpus9	1714	1	sticky	2304168	501002	0.2174	477002	17997	25875	0	2.124311	1714/1714	1714/1714	0
corpus9	1714	1	roundrobin	2304168	501002	0.2174	477002	17997	25875	0	2.160514	1714/1714	1714/1714	0
corpus9	1714	4	sticky	5110503	805199	0.1576	780947	18237	26370	0	3.278891	1714/1714	1714/1714	0
corpus9	1714	4	roundrobin	5380417	1399832	0.2602	911571	482246	71289	24461	3.200623	1714/1714	1714/1714	0
corpus9	1714	8	sticky	7777678	903594	0.1162	879006	18557	27030	0	3.556069	1714/1714	1714/1714	0
corpus9	1714	8	roundrobin	7864603	2739456	0.3483	1837636	895789	79370	28239	3.634886	1714/1714	1714/1714	0
corpus9	1714	30	sticky	18718247	1015363	0.0542	988927	20317	30660	0	3.814974	1714/1714	1714/1714	0
corpus9	1714	30	roundrobin	18790937	5236720	0.2787	2235602	2994999	115568	45343	4.228404	1714/1714	1714/1714	0
corpus12	1300	1	sticky	3246486	8632891	2.6591	8614687	13650	19665	0	8.669962	1300/1300	1300/1300	0
corpus12	1300	1	roundrobin	3246486	8632891	2.6591	8614687	13650	19665	0	8.568971	1300/1300	1300/1300	0
corpus12	1300	4	sticky	9292690	8632956	0.9290	8614687	13703	20160	0	8.794751	1300/1300	1300/1300	0
corpus12	1300	4	roundrobin	9818562	9219266	0.9390	8614687	600013	23438	1822	8.928007	1300/1300	1300/1300	0
corpus12	1300	8	sticky	15506828	8633106	0.5567	8614687	13837	20820	0	9.554701	1300/1300	1300/1300	0
corpus12	1300	8	roundrobin	17029820	9536904	0.5600	8614687	917635	31593	6261	9.418928	1300/1300	1300/1300	0
corpus12	1300	30	sticky	39559699	8635259	0.2183	8614687	15902	24450	0	11.324027	1300/1300	1300/1300	0
corpus12	1300	30	roundrobin	41509510	13351276	0.3216	8614687	4731919	84857	34996	11.728623	1300/1300	1300/1300	0
corpus3	1378	1	sticky	12614525	3197820	0.2535	3178524	14469	20835	0	5.771892	1378/1378	1378/1378	0
corpus3	1378	1	roundrobin	12614525	3197820	0.2535	3178524	14469	20835	0	5.633213	1378/1378	1378/1378	0
corpus3	1378	4	sticky	19839493	3706523	0.1868	3686594	15090	21330	0	6.635153	1378/1378	1378/1378	0
corpus3	1378	4	roundrobin	20230737	13300738	0.6575	4436770	8859129	461970	200994	7.851511	1378/1378	1378/1378	0
corpus3	1378	8	sticky	26635156	3845592	0.1444	3824471	16266	21990	0	6.968477	1378/1378	1378/1378	0
corpus3	1378	8	roundrobin	27067617	14220766	0.5254	4436770	9779141	477199	207579	8.044618	1378/1378	1378/1378	0
corpus3	1378	30	sticky	53659085	3965705	0.0739	3924328	36434	25620	0	8.875442	1378/1378	1378/1378	0
corpus3	1378	30	roundrobin	54132859	18151456	0.3353	4537306	13609207	532695	232847	10.269258	1378/1378	1378/1378	0
corpus2	1244	1	sticky	14336931	8594654	0.5995	8577234	13062	18825	0	8.426778	1244/1244	1244/1244	0
corpus2	1244	1	roundrobin	14336931	8594654	0.5995	8577234	13062	18825	0	8.505587	1244/1244	1244/1244	0
corpus2	1244	4	sticky	19602669	8606828	0.4391	8589119	13339	19320	0	8.707406	1244/1244	1244/1244	0
corpus2	1244	4	roundrobin	19693530	16016892	0.8133	8589119	7423403	1333387	628918	9.358663	1244/1244	1244/1244	0
corpus2	1244	8	sticky	25116152	8608228	0.3427	8589119	14723	19980	0	9.286564	1244/1244	1244/1244	0
corpus2	1244	8	roundrobin	25269776	16549170	0.6549	8589119	7955665	1353683	636956	9.914360	1244/1244	1244/1244	0
corpus2	1244	30	sticky	51746386	8623711	0.1667	8589119	30118	23610	0	11.775798	1244/1244	1244/1244	0
corpus2	1244	30	roundrobin	51996771	18115034	0.3484	8601004	9509556	1413700	659011	12.784844	1244/1244	1244/1244	0
corpus	2476	1	sticky	14439911	8553352	0.5923	8518684	25998	37305	0	11.352215	2476/2476	2476/2476	0
corpus	2476	1	roundrobin	14439911	8553352	0.5923	8518684	25998	37305	0	11.314169	2476/2476	2476/2476	0
corpus	2476	4	sticky	22759901	8553734	0.3758	8518684	26368	37800	0	10.719197	2476/2476	2476/2476	0
corpus	2476	4	roundrobin	22897842	16700960	0.7294	8518684	8173594	153629	49537	11.472236	2476/2476	2476/2476	0
corpus	2476	8	sticky	31178149	8555416	0.2744	8518684	28034	38460	0	11.202441	2476/2476	2476/2476	0
corpus	2476	8	roundrobin	31604341	17807752	0.5635	8518684	9280370	172723	57859	12.117453	2476/2476	2476/2476	0
corpus	2476	30	sticky	65274695	8570845	0.1313	8518684	43375	42090	0	12.732809	2476/2476	2476/2476	0
corpus	2476	30	roundrobin	67341309	23945654	0.3556	8518684	15418184	261166	97922	14.081536	2476/2476	2476/2476	0
corpus6	4414	1	sticky	62579303	10815748	0.1728	10753948	46347	66375	0	21.109568	4414/4414	4414/4414	0
corpus6	4414	1	roundrobin	62579303	10815748	0.1728	10753948	46347	66375	0	19.516108	4414/4414	4414/4414	0
corpus6	4414	4	sticky	80698226	10815947	0.1340	10753948	46534	66870	0	21.456255	4414/4414	4414/4414	0
corpus6	4414	4	roundrobin	81442832	66221064	0.8131	10753948	55451651	250497	78945	26.164433	4414/4414	4414/4414	0
corpus6	4414	8	sticky	96827832	10817470	0.1117	10753948	48041	67530	0	22.133311	4414/4414	4414/4414	0
corpus6	4414	8	roundrobin	98507351	70014181	0.7108	10753948	59244752	293930	99178	27.207466	4414/4414	4414/4414	0
corpus6	4414	30	sticky	149953760	10834451	0.0723	10753948	64934	71160	0	23.792013	4414/4414	4414/4414	0
corpus6	4414	30	roundrobin	156562872	90951553	0.5809	10753948	80182036	551623	223225	30.386614	4414/4414	4414/4414	0
