corpus	provenance	total_tus	raw_bytes	mean_tu_bytes	P29_bytes	GRZ2_bytes	winner	p29_over_grz	short_runway_p29_winner	rule_predicts	rule_correct	z19_bytes	grz_decode_exact	p29_byte_exact	p29_source_sha256	p29_run_binary_sha256	grz2_binary_sha256
corpus8	native-gcc11	34	98384472	2893661	477912	436106	grz	1.0959	false	grz	true	469519	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
magnum	debian-gcc-v2pool	40	31492744	787319	528646	395586	grz	1.3364	false	grz	true	425123	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus7	native-gcc11	50	136350082	2727002	932222	662261	grz	1.4076	false	grz	true	735266	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus13	native-gcc11	72	110231455	1530992	436126	401210	grz	1.087	false	grz	true	427825	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus14	native-gcc11	72	143868249	1998170	618813	489989	grz	1.2629	false	grz	true	549315	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus16	native-gcc11	84	326899429	3891660	459374	423581	grz	1.0845	false	grz	true	471206	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus10	native-gcc11	99	293917707	2968866	1009497	743198	grz	1.3583	false	grz	true	805297	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
draco	debian-gcc-v2pool	136	225446869	1657698	496341	368956	grz	1.3453	false	grz	true	423898	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
taglib	debian-gcc-v2pool	148	200695004	1356047	547167	407355	grz	1.3432	false	grz	true	461933	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
corpus15	native-gcc11	153	468377342	3061290	1258040	955208	grz	1.317	false	grz	true	1018122	true	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9
