project	profile	total_tus	probe_tus	raw_bytes	probe_raw_bytes	identity	p29_complete_bytes	legacy_p29_bytes	p29_complete_exact	lo_grz_complete_bytes	lo_grz_exact	lo_grz_f_bps	lo_z19_long	z19_source	p29_probe_bytes	grz_probe_bytes	selected_at_probe	grz_g1_close_tu	grz_g1_closed_by	grz_g1_add_bytes	grz_anchor_samples	grz_anchor_matches	makespan_s	p29_probe_eUS	grz_probe_eUS	p29_plan_s	producer_extract_s	producer_concat_s	p29_intern_s	p29_plan_s1_s	p29_literal_entropy_s	grz_match_s	grz_entropy_s	grz_total_s	p29_interner	p29_src_sha	p29_bin_sha	grz_src_sha	grz_bin_sha	zstd
catch2	conan-gcc	861	112	946329192	118829028	PASS	997420	997764	OK	630989	True	606846234	811973	local-oracle-retained	489747	373785	GRZ2	112	tu	3467237	56056	2022	.454671251	0.45 0.29 0.14	0.19 0.13 0.05	0.25	1.39	0.10	0.1	0.0	0.124	0.05	0.13	0.18	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
catch2	debian-gcc	861	112	873426739	109442687	PASS	980640	980948	OK	627742	True	602044692	788682	local-oracle-retained	477387	366721	GRZ2	112	tu	3393639	55177	2143	.438350080	0.43 0.28 0.15	0.18 0.13 0.04	0.23	1.29	0.09	0.1	0.0	0.121	0.04	0.12	0.17	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
catch2	fedora-clang-libcxx	861	112	2661096447	341583853	PASS	1144702	1144373	OK	1074972	True	651055467	1041081	local-oracle-retained	540484	404277	GRZ2	112	tu	4921478	79717	3260	.766414498	0.76 0.38 0.35	0.32 0.23 0.08	0.48	4.18	0.30	0.3	0.0	0.135	0.10	0.19	0.29	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
catch2	linuxbrew	861	112	909464733	114071620	PASS	940671	940928	OK	611125	True	597863741	779840	local-oracle-retained	472808	365452	GRZ2	112	tu	3444318	56021	2385	.444819876	0.43 0.26 0.17	0.18 0.13 0.05	0.24	1.34	0.11	0.1	0.0	0.120	0.05	0.12	0.17	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
cereal	conan-gcc	80	80	278081296	278081296	PASS	476746	476962	OK	380387	True	485789274	422521	local-oracle-retained	476746	380387	GRZ2	80	tu	3733119	58806	737	.633354670	0.62 0.32 0.29	0.27 0.20 0.07	0.42	0.44	0.25	0.3	0.0	0.131	0.08	0.17	0.25	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
cereal	debian-gcc	80	80	273782205	273782205	PASS	466708	466846	OK	374637	True	485428478	415859	local-oracle-retained	466708	374637	GRZ2	80	tu	3696193	58252	659	.632574060	0.62 0.32 0.30	0.26 0.20 0.05	0.40	0.41	0.23	0.3	0.0	0.130	0.07	0.17	0.24	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
cereal	fedora-clang-libcxx	80	80	375959867	375959867	PASS	498257	497514	OK	381779	True	499688749	447020	local-oracle-retained	498257	381779	GRZ2	80	tu	4854262	76500	1139	.765826642	0.75 0.37 0.38	0.33 0.24 0.08	0.53	0.55	0.33	0.4	0.0	0.131	0.10	0.20	0.30	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
cereal	linuxbrew	80	80	280493336	280493336	PASS	470913	470950	OK	376529	True	480220852	420906	local-oracle-retained	470913	376529	GRZ2	80	tu	3876071	60877	710	.643771404	0.63 0.32 0.31	0.27 0.20 0.07	0.43	0.42	0.25	0.3	0.0	0.130	0.08	0.17	0.25	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
eigen	conan-gcc	1516	112	8189328289	574402121	PASS	2379861	2378579	OK	4329139	True	781450300	2432608	local-oracle-retained	838444	644831	GRZ2	104	raw	6465344	101711	1145	1.167150318	1.16 0.61 0.54	0.51 0.40 0.10	0.79	10.18	0.51	0.5	0.0	0.230	0.15	0.33	0.48	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
eigen	debian-gcc	1516	112	8094963600	567281332	PASS	2376519	2375000	OK	3932160	True	787020574	2418390	local-oracle-retained	831135	640889	GRZ2	105	raw	6398088	100916	1176	1.112026011	1.10 0.60 0.49	0.51 0.39 0.11	0.73	9.87	0.50	0.5	0.0	0.230	0.15	0.32	0.47	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
eigen	fedora-clang-libcxx	1522	112	10096756857	712973255	PASS	2320794	2319462	OK	4864106	True	766861096	2586364	local-oracle-retained	867332	662518	GRZ2	83	raw	7265355	114665	1828	1.370442060	1.36 0.69 0.67	0.59 0.44 0.15	0.98	12.38	0.64	0.7	0.0	0.243	0.18	0.36	0.54	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
eigen	linuxbrew	1522	112	8152489841	571048074	PASS	2309461	2309107	OK	3874615	True	764751785	2390684	local-oracle-retained	817428	639421	GRZ2	105	raw	6306122	99498	1648	1.188014096	1.18 0.60 0.58	0.50 0.38 0.12	0.76	9.99	0.50	0.6	0.0	0.234	0.14	0.31	0.46	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	conan-gcc	51	51	131371127	131371127	PASS	1020039	1028826	OK	676267	True	386981494	747862	local-oracle-retained	1020039	676267	GRZ2	51	tu	9192517	145753	2675	.682024128	0.67 0.47 0.19	0.33 0.28 0.07	0.34	0.20	0.11	0.2	0.0	0.201	0.09	0.23	0.32	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	debian-gcc	51	51	128551487	128551487	PASS	1006187	1010534	OK	665724	True	379787239	736292	local-oracle-retained	1006187	665724	GRZ2	51	tu	8923938	141764	2422	.678479667	0.66 0.46 0.19	0.32 0.26 0.07	0.35	0.20	0.11	0.2	0.0	0.198	0.08	0.23	0.31	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	fedora-clang-libcxx	51	51	192626053	192626053	PASS	783182	781881	OK	600948	True	466871231	674860	local-oracle-retained	783182	600948	GRZ2	51	tu	7448333	119624	4131	.754102600	0.74 0.50 0.24	0.32 0.25 0.07	0.39	0.28	0.17	0.2	0.0	0.216	0.09	0.21	0.30	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
