project	profile	tus	raw	wp_z19	P29BSC_bytes	P29BSC_Cgbps_full	P29BSC_Cgbps_full_1T	P29BSC_Cgbps_codec	P29BSC_Fgbps_1T	P29BSC_intern_gbps	GRZ2_bytes	GRZ2_Cgbps_j8	GRZ2_Cgbps_1T	GRZ2_Cgbps_j8_codec	GRZ2_Fgbps_1T	P29BSC_ratelegal	GRZ2_ratelegal	selected_codec	selected_bytes	selected_over_z19	selected_Fgbps_1T	selected_F_ok	decode_exact	GRZ2_wire_stable	GRZ2_wire_sha256
catch2	conan-gcc	861	946329192	811973	997764	0.744	0.715	5.061	4.359	1.051	630989	1.412	1.412	1.548	0.618	False	True	GRZ2	630989	0.777	0.618	True	YES	YES	1dce6c9c927d5d05031dddba12b9ea027942d4fe093bc8798f65cf398c5af20d
catch2	debian-gcc	861	873426739	788682	980948	0.719	0.685	5.172	4.711	1.092	627742	1.365	1.365	1.485	0.557	False	True	GRZ2	627742	0.796	0.557	True	YES	YES	a50237787d911d20affcf493c714dcc8358b7ebf0f9eb2b7fc45630bd794bf18
catch2	fedora-clang-libcxx	861	2661096447	1041081	1144373	0.860	0.850	10.177	7.955	1.157	1074972	1.633	1.633	1.707	1.240	False	True	GRZ2	1074972	1.033	1.240	True	YES	YES	609ae3a0ae061ff04a0add9b96d93e8f2def7683891176508ce5bdad65879b1e
catch2	linuxbrew	861	909464733	779840	940928	0.733	0.710	5.469	5.101	1.011	611125	1.421	1.421	1.557	0.582	False	True	GRZ2	611125	0.784	0.582	True	YES	YES	73a6ddbd2e346893707c47b03aa5fdae01f06e5a7bba79688add8bea11edcca3
cereal	conan-gcc	80	278081296	422521	476962	0.527	0.545	2.367	3.017	0.927	380387	1.030	1.070	1.139	0.203	False	True	GRZ2	380387	0.900	0.203	False	YES	YES	4bf43f3a1938e773e552c63cc3a3ef4505773315e3ad4ff433a189d064a82416
cereal	debian-gcc	80	273782205	415859	466846	0.542	0.534	2.405	2.763	0.913	374637	1.053	1.053	1.141	0.196	False	True	GRZ2	374637	0.901	0.196	False	YES	YES	6aa8a1e7de32dfb53d832821381a4fb7c3977a5d7f20ccd15b06ae0e28539c2e
cereal	fedora-clang-libcxx	80	375959867	447020	497514	0.613	0.607	3.225	3.753	0.940	381779	1.175	1.175	1.287	0.255	False	True	GRZ2	381779	0.854	0.255	False	YES	YES	0e4378846d1666296a1e366642bd8a9ec3d5655603395073a3bd82edcfa1d4b5
cereal	linuxbrew	80	280493336	420906	470950	0.564	0.558	2.406	2.794	0.935	376529	1.039	1.039	1.148	0.200	False	True	GRZ2	376529	0.895	0.200	False	YES	YES	b12e8ee062bb3d1f526f5543f89f18b33fcfb5e237cbd2bc38c0516990bf593e
fmt	conan-gcc	51	131371127	747862	1028826	0.277	0.285	0.778	1.111	0.657	676267	0.424	0.398	0.438	0.103	False	False	P29BSC	1028826	1.376	1.111	True	YES	YES	8c19dfe392de59277c01dab067aa6cac408e8aed92c344c2e7d064b6d650f980
fmt	debian-gcc	51	128551487	736292	1010534	0.277	0.283	0.771	1.162	0.643	665724	0.429	0.402	0.437	0.097	False	False	P29BSC	1010534	1.372	1.162	True	YES	YES	d4174c854a3722b4f2537038885d20b0d588de880843a749f1d6a091234ca93d
fmt	fedora-clang-libcxx	51	192626053	674860	781881	0.379	0.386	1.151	1.927	0.642	600948	0.642	0.642	0.678	0.143	False	False	P29BSC	781881	1.159	1.927	True	YES	YES	40930d78ade60db1f164d074d01719c9c54ea64ee0f5fee17d205f9affb10271
fmt	linuxbrew	51	129410391	652104	760746	0.294	0.292	0.794	1.442	0.647	595186	0.498	0.498	0.517	0.102	False	False	P29BSC	760746	1.167	1.442	True	YES	YES	a1c5dd1f6ed25dcea24b4de68648a6fde4aeac513d801972db9d00b4372d67da
leveldb	conan-gcc	94	178753005	699429	925735	0.350	0.353	1.108	1.902	0.596	621537	0.577	0.577	0.605	0.133	False	False	P29BSC	925735	1.324	1.902	True	YES	YES	49b459b1d2bce648c939745187f83a0a9a492d649adc5b83b7c037e403575c50
leveldb	debian-gcc	94	174821287	687969	912888	0.349	0.359	1.131	1.633	0.583	612569	0.583	0.583	0.608	0.133	False	False	P29BSC	912888	1.327	1.633	True	YES	YES	959418a186145275f91c6545612237a906cbaf81b1321687129adbffa4b35fdc
leveldb	fedora-clang-libcxx	94	321953631	701561	942756	0.474	0.486	1.824	2.981	0.805	621604	0.847	0.870	0.915	0.231	False	False	P29BSC	942756	1.344	2.981	True	YES	YES	e119c434f9e55d8f562d4b82e251e1f7b08eab9099196dc4f89cdef07edb744f
leveldb	linuxbrew	94	180059857	642697	785212	0.365	0.366	1.172	2.031	0.600	575702	0.667	0.667	0.710	0.141	False	False	P29BSC	785212	1.222	2.031	True	YES	YES	044e7c89836882d16e0b751e7cdb06aaa7b3ede8497feea52847d7645793a276
nlohmann-json	conan-gcc	99	296219113	855284	1200555	0.407	0.411	1.301	1.978	0.741	802802	0.741	0.673	0.785	0.212	False	False	P29BSC	1200555	1.404	1.978	True	YES	YES	32a893140fd18e2614d2a9398b8f427f378fbe1e0c161f991479c51a25ac33ce
nlohmann-json	debian-gcc	99	288512502	810380	1130538	0.416	0.408	1.348	1.966	0.721	760359	0.721	0.671	0.777	0.205	False	False	P29BSC	1130538	1.395	1.966	True	YES	YES	9eb6ad425fd8fd5a47a44d340c9517129f4bb3dc9aff1acfe6f48bc59d46cef4
nlohmann-json	fedora-clang-libcxx	99	428239197	936469	1436017	0.462	0.459	1.748	2.706	0.856	881905	0.892	0.726	0.971	0.294	False	False	P29BSC	1436017	1.533	2.706	True	YES	YES	9e3b2081c12140a6071f2ef2f15886e1a09b7878184c65bfb9c7e0645cfff69f
nlohmann-json	linuxbrew	99	296702050	873551	1271082	0.389	0.395	1.320	2.304	0.742	808811	0.706	0.593	0.751	0.205	False	False	P29BSC	1271082	1.455	2.304	True	YES	YES	55344de97b6b09d1bcb45c706d44419efa1380c7efe474be71d70c8ba2cf2f76
range-v3	conan-gcc	537	912083285	770633	848333	0.709	0.696	6.629	3.627	1.013	633756	1.403	1.403	1.556	0.587	False	True	GRZ2	633756	0.822	0.587	True	YES	YES	78fa9e2a381618cd8af8f93bed0382416de6693dfcfd5964f8784e1017593c4f
