id	name	tus	raw	wp_z19	P29BSC_bytes	P29BSC_Cgbps_full	P29BSC_Cgbps_full_1T	P29BSC_Cgbps_full_noread	P29BSC_Cgbps_codec	P29BSC_Fgbps_1T	P29BSC_intern_s	P29BSC_intern_gbps	P29BSC_wall_s	GRZ2_bytes	GRZ2_Cgbps_j8	GRZ2_Cgbps_1T	GRZ2_Cgbps_j8_codec	GRZ2_Fgbps_1T	P29BSC_ratelegal	GRZ2_ratelegal	selected_codec	selected_bytes	selected_over_z19	selected_Fgbps_1T	selected_F_ok	decode_exact	P29BSC_ratelegal_pub	GRZ2_ratelegal_pub	selected_codec_pub	selected_bytes_pub	C_spread_pct	GRZ2_wire_sha256	GRZ2_wire_stable	P29BSC_exact
corpus	llvm	1238	3620271340	7296438	7282357	0.742	0.635	0.813	4.056	3.313	3.100	1.168	5.410	7638087	1.003	0.992	1.019	1.084	False	True	P29BSC	7282357	0.998	3.313	True	YES	True	True	P29BSC	7282357	1.385	e577b75f9038b0bde6cb309a279b91fbf34e4609767a1f9fd136b885ce6b5a06	YES	YES
corpus2	rocksdb	622	3114320596	6199621	8537705	0.647	0.611	0.691	3.536	3.692	3.000	1.038	5.430	5456878	1.056	0.817	1.081	0.971	False	True	GRZ2	5456878	0.880	0.971	True	YES	True	True	GRZ2	5456878	1.017	895b4ed13c7cedf1d4f033d3fb0dddcfce06a0beb882caac6eeb7bfca5a54201	YES	YES
corpus3	duckdb	689	1985715205	7086957	7873485	0.524	0.477	0.556	1.809	2.408	2.000	0.993	4.340	6576037	0.807	0.638	0.838	0.673	False	False	P29BSC	7873485	1.111	2.408	True	YES	True	False	P29BSC	7873485	0.813	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905	YES	YES
corpus4	abseil	700	2581008467	4020529	5058543	0.701	0.668	0.765	4.323	3.993	2.400	1.075	4.080	3424583	1.206	1.098	1.243	1.031	False	True	GRZ2	3424583	0.852	1.031	True	YES	True	True	GRZ2	3424583	1.402	c25f13a49b7c1354fc6c4125c383b7ba407e815e81813293249aa0f7b3691a22	YES	YES
corpus5	opencv	1506	4630994774	6291678	6742098	0.824	0.696	0.928	6.611	3.287	3.900	1.187	6.190	6687096	1.135	1.105	1.155	1.283	False	True	GRZ2	6687096	1.063	1.283	True	YES	True	True	GRZ2	6687096	1.716	3978c4417cc4168ddc4ded544b659c0b6156f5204a8e894275b07ad673c9fed1	YES	YES
corpus6	godot	2207	5932762185	57718953	35094169	0.417	0.358	0.439	0.988	0.436	6.400	0.927	19.440	53427567	0.349	0.261	0.352	0.630	False	False	P29BSC	35094169	0.608	0.436	False	YES	False	False	P29BSC	35094169	2.588	1164ece2a7611b8051491ee89dbc048b1256c135edefeb621cfc60c53049434c	YES	YES
corpus7	fmt	50	136350082	735266	932222	0.307	0.301	0.322	0.995	1.360	0.200	0.682	0.560	662261	0.426	0.413	0.446	0.100	False	False	P29BSC	932222	1.268	1.360	True	YES	False	False	P29BSC	932222	6.250	c8479bccc86a1db370d9b96e5a56c7fb61825cc5fe6ab08457136a7af3e4f277	YES	YES
corpus8	spdlog	34	98384472	469519	477912	0.311	0.300	0.332	1.091	1.372	0.200	0.492	0.400	436106	0.518	0.492	0.534	0.076	False	False	P29BSC	477912	1.018	1.372	True	YES	True	False	P29BSC	477912	10.526	f6dd58bab00536891c295b2026bc86e13a61b591c796ccafb19b81e7712fe4dd	YES	YES
corpus9	catch2	857	947252235	800649	907733	0.735	0.735	0.832	5.698	5.213	0.900	1.053	1.410	626178	1.414	1.414	1.552	0.603	False	True	GRZ2	626178	0.782	0.603	True	YES	True	True	GRZ2	626178	1.493	d3542cc47bfe6301d6c70e98f6f489573b4e53a148a6e16824786707616de973	YES	YES
corpus10	nlohmann-json	99	293917707	805297	1009497	0.461	0.466	0.484	1.741	2.538	0.400	0.735	0.760	743198	0.773	0.735	0.815	0.213	False	False	P29BSC	1009497	1.254	2.538	True	YES	True	False	P29BSC	1009497	2.632	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7	YES	YES
corpus11	range-v3	259	632049016	740552	738136	0.694	0.679	0.752	4.375	3.743	0.600	1.053	1.010	628319	1.264	1.264	1.358	0.427	False	True	GRZ2	628319	0.848	0.427	False	YES	True	True	GRZ2	628319	0.000	8e5c60d22d9a291424f897cd1b06948273db26c7b5b5bfb65ea8cd96b78ba9c6	YES	YES
