id	TU	raw_prefix	z6_long_cap	grz_bytes	p29_bytes	min_bytes	min_over_z6	verdict
corpus	100	360810728	1614405	1117670	1271172	1117670	0.6923	PASS
corpus	200	724323634	2907907	1998490	2303463	1998490	0.6873	PASS
corpus2	100	669183165	3633246	2123641	3908414	2123641	0.5845	PASS
corpus2	200	1224557334	5099581	2907059	5515241	2907059	0.5701	PASS
corpus3	100	314498355	2144664	1415869	1512969	1415869	0.6602	PASS
corpus3	200	646795216	2841123	1883043	2079534	1883043	0.6628	PASS
corpus4	100	284336916	1586360	976356	1552795	976356	0.6155	PASS
corpus4	200	548396320	2212343	1327302	2221366	1327302	0.6000	PASS
corpus5	100	110856373	640543	529760	558608	529760	0.8270	PASS
corpus5	200	307655351	1525959	1134024	1360144	1134024	0.7432	PASS
corpus6	100	204440064	1280930	931434	1049899	931434	0.7272	PASS
corpus6	200	382645585	2196838	1578609	1827869	1578609	0.7186	PASS
corpus9	100	102344296	539019	377439	418268	377439	0.7002	PASS
corpus9	200	212426768	618686	424532	536055	424532	0.6862	PASS
corpus11	100	247655440	610361	404700	469647	404700	0.6631	PASS
corpus11	200	484251452	883458	575691	665690	575691	0.6516	PASS
corpus12	100	538626320	743718	521935	576263	521935	0.7018	PASS
corpus12	200	1098381060	1099434	734912	898505	734912	0.6684	PASS
corpus15	100	298179308	1156884	850497	1083616	850497	0.7352	PASS
corpus15	200	SKIP_total_tus=153
corpus10	100	SKIP_total_tus=99
corpus10	200	SKIP_total_tus=99
corpus16	100	SKIP_total_tus=84
corpus16	200	SKIP_total_tus=84
corpus13	100	SKIP_total_tus=72
corpus13	200	SKIP_total_tus=72
corpus14	100	SKIP_total_tus=72
corpus14	200	SKIP_total_tus=72
corpus7	100	SKIP_total_tus=50
corpus7	200	SKIP_total_tus=50
corpus8	100	SKIP_total_tus=34
corpus8	200	SKIP_total_tus=34
