id	name	tus	raw	wp_z19	wp_ratio	distinct_lines	dl_per_MB	P29_bytes	P29_over_z19	P29_Cgbps	P29_spread_pct	GRZ2_bytes	GRZ2_over_z19	GRZ2_Cgbps	GRZ2_spread_pct	selected_codec	selected_bytes	selected_over_z19	selected_Cgbps	size_bar_ok	rate_bar_ok	BOTH_BARS_PASS	peakRSS_KiB	identity_control	codec_byte_exact
corpus8	spdlog	34	98384472	469519	209.5	55983	569.0	477951	1.0180	0.282	0.39	436106	0.9288	0.521	2.92	GRZ2	436106	0.9288	0.521	YES	NO	FALSE	326212	PASS	OK
corpus13	re2	72	110231455	427825	257.7	54091	490.7	436132	1.0194	0.336	1.25	401210	0.9378	0.624	0.31	GRZ2	401210	0.9378	0.624	YES	NO	FALSE	322620	PASS	OK
corpus7	fmt	50	136350082	735266	185.4	82098	602.1	923382	1.2558	0.251	1.43	662261	0.9007	0.436	0.32	GRZ2	662261	0.9007	0.436	YES	NO	FALSE	461408	PASS	OK
corpus14	leveldb	72	143868249	549315	261.9	63185	439.2	616460	1.1222	0.349	2.52	489989	0.8920	0.570	2.07	GRZ2	489989	0.8920	0.570	YES	NO	FALSE	393440	PASS	OK
corpus10	json	99	293917707	805297	365.0	86569	294.5	1011863	1.2565	0.432	0.99	743198	0.9229	0.783	0.87	GRZ2	743198	0.9229	0.783	YES	NO	FALSE	632884	PASS	OK
corpus16	cereal	84	326899429	471206	693.8	55145	168.7	459195	0.9745	0.814	1.01	423581	0.8989	1.165	0.33	GRZ2	423581	0.8989	1.165	YES	YES	TRUE	553692	PASS	OK
corpus15	simdjson	153	468377342	1018122	460.0	114994	245.5	1260459	1.2380	0.590	1.46	955208	0.9382	0.945	2.46	GRZ2	955208	0.9382	0.945	YES	NO	FALSE	874072	PASS	OK
corpus11	range-v3	259	632049016	740552	853.5	76561	121.1	739437	0.9985	1.128	0.80	628319	0.8484	1.294	0.37	GRZ2	628319	0.8484	1.294	YES	YES	TRUE	776048	n/a	OK
corpus23	arrow	297	916009779	2160222	424.0	224938	245.6	2324563	1.0761	0.715	3.03	1925523	0.8914	0.988	1.60	GRZ2	1925523	0.8914	0.988	YES	NO	FALSE	1477576	PASS	OK
corpus9	catch2	857	947252235	800649	1183.1	70718	74.7	907327	1.1332	1.456	2.60	626178	0.7821	1.487	0.68	GRZ2	626178	0.7821	1.487	YES	YES	TRUE	1112016	n/a	OK
corpus22	folly	364	1514916526	2216220	683.6	232504	153.5	2427818	1.0955	0.854	0.84	2682229	1.2103	1.113	2.43	P29+BSC	2427818	1.0955	0.854	YES	NO	FALSE	2047692	PASS	OK
corpus3	duckdb	689	1985715205	7086957	280.2	637610	321.1	7877084	1.1115	0.602	2.26	6576037	0.9279	0.815	1.43	GRZ2	6576037	0.9279	0.815	YES	NO	FALSE	3005160	PASS	OK
corpus24	bitcoin	621	2311143894	3158310	731.8	284379	123.0	3507130	1.1104	1.153	2.07	3279236	1.0383	1.155	1.92	GRZ2	3279236	1.0383	1.155	YES	YES	TRUE	2959576	PASS	OK
corpus17	gcc	780	2542399239	11644348	218.3	1319186	518.9	12749467	1.0949	0.475	0.95	11050906	0.9490	0.747	0.86	GRZ2	11050906	0.9490	0.747	YES	NO	FALSE	3844632	PASS	OK
corpus4	abseil	700	2581008467	4020529	642.0	376835	146.0	5056453	1.2577	1.062	0.32	3424583	0.8518	1.169	0.35	GRZ2	3424583	0.8518	1.169	YES	YES	TRUE	3345144	PASS	OK
corpus2	rocksdb	622	3114320596	6199621	502.3	587613	188.7	8533638	1.3765	0.856	0.14	5456878	0.8802	1.009	0.43	GRZ2	5456878	0.8802	1.009	YES	YES	TRUE	3716716	n/a	OK
corpus12	eigen	650	3532268956	1241062	2846.2	99108	28.1	1143631	0.9215	2.009	1.12	2040151	1.6439	1.541	0.68	P29+BSC	1143631	0.9215	2.009	YES	YES	TRUE	3723044	n/a	OK
corpus	llvm	1238	3620271340	7296438	496.2	771055	213.0	7275808	0.9972	1.158	1.12	7638087	1.0468	0.983	0.88	P29+BSC	7275808	0.9972	1.158	YES	YES	TRUE	4127480	n/a	OK
corpus5	opencv	1506	4630994774	6291678	736.1	586099	126.6	6737137	1.0708	1.366	1.38	6687096	1.0628	1.148	3.01	GRZ2	6687096	1.0628	1.148	YES	YES	TRUE	5522432	PASS	OK
corpus6	godot	2207	5932762185	57718953	102.8	2641125	445.2	35085071	0.6079	0.384	0.68	53427567	0.9257	0.347	0.40	P29+BSC	35085071	0.6079	0.384	YES	NO	FALSE	8357956	n/a	OK
corpus19	qtbase	1205	7050790103	8912186	791.1	793676	112.6	9309538	1.0446	1.189	1.07	10206123	1.1452	1.175	1.37	P29+BSC	9309538	1.0446	1.189	YES	YES	TRUE	7972960	PASS	OK
corpus21	pytorch	1742	10802074073	9577844	1127.8	753188	69.7	8935043	0.9329	1.630	0.79	12500414	1.3051	1.284	0.86	P29+BSC	8935043	0.9329	1.630	YES	YES	TRUE	11993648	PASS	OK
