corpus	rep	raw	p29_wire	C_input_ready_s	C_encode_ready_s	C_total_s	C_encode_GBps	z19	p29_over_z19	peakRSS_KiB	grz_wire
corpus11	1	632049016	739437	0.4687	0.5602	1.0289	1.1283	740552	0.9985	776048	628319
corpus11	2	632049016	739437	0.4681	0.5638	1.0318	1.1211	740552	0.9985	776044	628319
corpus11	3	632049016	739437	0.4644	0.5593	1.0236	1.1301	740552	0.9985	775748	628319
corpus9	1	947252235	907327	0.6592	0.6451	1.3044	1.4683	800649	1.1332	1112016	626178
corpus9	2	947252235	907327	0.6864	0.6622	1.3486	1.4304	800649	1.1332	1111680	626178
corpus9	3	947252235	907327	0.6817	0.6508	1.3326	1.4555	800649	1.1332	1111760	626178
corpus2	1	3114320596	8533638	2.0698	3.6389	5.7087	0.8558	6199621	1.3765	3715760	5456878
corpus2	2	3114320596	8533638	2.0738	3.6396	5.7134	0.8557	6199621	1.3765	3715988	5456878
corpus2	3	3114320596	8533638	2.0720	3.6345	5.7065	0.8569	6199621	1.3765	3716716	5456878
corpus12	1	3532268956	1143631	2.5505	1.7768	4.3273	1.9880	1241062	0.9215	3722832	2040151
corpus12	2	3532268956	1143631	2.5191	1.7581	4.2772	2.0091	1241062	0.9215	3722420	2040151
corpus12	3	3532268956	1143631	2.5235	1.7568	4.2803	2.0106	1241062	0.9215	3723044	2040151
corpus	1	3620271340	7275808	2.5985	3.1142	5.7127	1.1625	7296438	0.9972	4122360	7638087
corpus	2	3620271340	7275808	2.5882	3.1263	5.7145	1.1580	7296438	0.9972	4122652	7638087
corpus	3	3620271340	7275808	2.5861	3.1493	5.7354	1.1495	7296438	0.9972	4127480	7638087
