corpus	row	rep	tus	first_byte_ms	wire_TU50	wire_TU100	wire_TU200	wire_full	wall_TU50	wall_TU100	wall_TU200	C_wall	C_user	C_sys	peakRSS_KiB	exact/ledger/txn
corpus11	ctl-1F	1	259	34.734	811144	1014693	1594861	1820664	0.004	0.003	0.003	1.34	0.47	1.26	830040	OK/OK/OK
corpus11	ctl-1F	2	259	35.768	811144	1014693	1594861	1820664	0.003	0.003	0.003	1.33	0.48	1.22	830040	OK/OK/OK
corpus11	ctl-1F	3	259	33.526	811144	1014693	1594861	1820664	0.004	0.005	0.003	1.43	0.57	1.23	830040	OK/OK/OK
corpus11	ctl-8F	1	259	26.789	4049753	4830240	6645266	7076645	0.003	0.005	0.004	2.06	0.89	1.60	827736	OK/OK/OK
corpus11	ctl-8F	2	259	32.919	4049753	4830240	6645266	7076645	0.004	0.005	0.004	1.97	0.83	1.55	827816	OK/OK/OK
corpus11	ctl-8F	3	259	38.575	4049753	4830240	6645266	7076645	0.004	0.006	0.004	2.02	0.93	1.50	827480	OK/OK/OK
corpus11	t1to4-at50	1	259	33.540	811144	2603864	4079340	4393096	0.004	0.005	0.004	1.81	0.74	1.45	829824	OK/OK/OK
corpus11	t1to4-at50	2	259	33.745	811144	2603864	4079340	4393096	0.004	0.006	0.004	1.77	0.72	1.45	830592	OK/OK/OK
corpus11	t1to4-at50	3	259	32.535	811144	2603864	4079340	4393096	0.004	0.007	0.005	1.80	0.73	1.46	829992	OK/OK/OK
corpus11	t1to8-at50	1	259	34.664	811144	4546036	6580685	7019997	0.004	0.005	0.004	2.12	0.90	1.62	829992	OK/OK/OK
corpus11	t1to8-at50	2	259	33.373	811144	4546036	6580685	7019997	0.004	0.004	0.004	2.13	0.90	1.64	830080	OK/OK/OK
corpus11	t1to8-at50	3	259	35.583	811144	4546036	6580685	7019997	0.003	0.005	0.004	2.15	0.90	1.67	829992	OK/OK/OK
corpus11	t1to4-at100	1	259	33.380	811144	1014693	3990211	4310222	0.003	0.003	0.004	1.71	0.67	1.43	830072	OK/OK/OK
corpus11	t1to4-at100	2	259	34.321	811144	1014693	3990211	4310222	0.004	0.006	0.003	1.80	0.76	1.45	829992	OK/OK/OK
corpus11	t1to4-at100	3	259	33.772	811144	1014693	3990211	4310222	0.003	0.003	0.003	1.75	0.69	1.44	830080	OK/OK/OK
corpus11	t1to8-at100	1	259	33.013	811144	1014693	6357727	6815648	0.002	0.003	0.004	2.06	0.84	1.62	829816	OK/OK/OK
corpus11	t1to8-at100	2	259	30.586	811144	1014693	6357727	6815648	0.003	0.003	0.004	2.07	0.84	1.65	830080	OK/OK/OK
corpus11	t1to8-at100	3	259	33.867	811144	1014693	6357727	6815648	0.004	0.005	0.004	2.21	0.91	1.72	829736	OK/OK/OK
corpus11	t1to4-at200	1	259	33.256	811144	1014693	1594861	3521837	0.004	0.005	0.004	1.84	0.72	1.52	829528	OK/OK/OK
corpus11	t1to4-at200	2	259	33.699	811144	1014693	1594861	3521837	0.003	0.003	0.003	1.66	0.58	1.48	829784	OK/OK/OK
corpus11	t1to4-at200	3	259	34.529	811144	1014693	1594861	3521837	0.002	0.003	0.005	1.67	0.59	1.50	830040	OK/OK/OK
corpus11	t1to8-at200	1	259	34.310	811144	1014693	1594861	5496418	0.002	0.003	0.003	1.77	0.63	1.53	829616	OK/OK/OK
corpus11	t1to8-at200	2	259	33.634	811144	1014693	1594861	5496418	0.003	0.004	0.005	1.99	0.73	1.67	829528	OK/OK/OK
corpus11	t1to8-at200	3	259	32.549	811144	1014693	1594861	5496418	0.003	0.003	0.005	1.83	0.70	1.54	829784	OK/OK/OK
corpus9	ctl-1F	1	857	22.602	658600	852024	1198746	2384393	0.002	0.001	0.001	1.75	0.56	1.82	1135544	OK/OK/OK
corpus9	ctl-1F	2	857	23.744	658600	852024	1198746	2384393	0.002	0.003	0.001	1.90	0.64	1.91	1135336	OK/OK/OK
corpus9	ctl-1F	3	857	24.049	658600	852024	1198746	2384393	0.003	0.002	0.001	1.88	0.60	1.95	1135632	OK/OK/OK
corpus9	ctl-8F	1	857	14.993	2820461	3579159	4677419	8010182	0.002	0.002	0.002	2.77	1.23	2.21	1135548	OK/OK/OK
corpus9	ctl-8F	2	857	19.317	2820461	3579159	4677419	8010182	0.002	0.003	0.001	2.88	1.22	2.35	1135392	OK/OK/OK
corpus9	ctl-8F	3	857	15.134	2820461	3579159	4677419	8010182	0.002	0.002	0.001	2.80	1.25	2.22	1135380	OK/OK/OK
corpus9	t1to4-at50	1	857	22.269	658600	2085747	2903629	5457004	0.002	0.003	0.001	2.55	1.09	2.14	1135592	OK/OK/OK
corpus9	t1to4-at50	2	857	22.350	658600	2085747	2903629	5457004	0.001	0.003	0.001	2.57	1.18	2.07	1135632	OK/OK/OK
