cell	F_old_gbps	F_new_gbps	multiple	verified
catch2-conan-gcc	0.621	1.095	1.76	YES
catch2-debian-gcc	0.563	1.079	1.92	YES
catch2-fedora-clang-libcxx	1.243	1.274	1.03	YES
catch2-linuxbrew	0.596	1.088	1.82	YES
cereal-conan-gcc	0.208	0.799	3.83	YES
cereal-debian-gcc	0.201	0.795	3.96	YES
cereal-fedora-clang-libcxx	0.257	0.828	3.22	YES
cereal-linuxbrew	0.206	0.787	3.82	YES
fmt-conan-gcc	0.103	0.553	5.34	YES
fmt-debian-gcc	0.099	0.552	5.57	YES
fmt-fedora-clang-libcxx	0.145	0.746	5.13	YES
fmt-linuxbrew	0.102	0.654	6.39	YES
leveldb-conan-gcc	0.138	0.708	5.14	YES
leveldb-debian-gcc	0.134	0.702	5.25	YES
leveldb-fedora-clang-libcxx	0.240	0.896	3.73	YES
leveldb-linuxbrew	0.143	0.788	5.53	YES
nlohmann-json-conan-gcc	0.218	0.784	3.60	YES
nlohmann-json-debian-gcc	0.209	0.784	3.75	YES
nlohmann-json-fedora-clang-libcxx	0.295	0.817	2.77	YES
nlohmann-json-linuxbrew	0.207	0.728	3.51	YES
opencv-debian-gcc	1.149	1.150	1.00	YES
range-v3-conan-gcc	0.587	1.109	1.89	YES
range-v3-debian-gcc	0.574	1.112	1.94	YES
range-v3-fedora-clang-libcxx	1.026	1.099	1.07	YES
range-v3-linuxbrew	0.673	1.117	1.66	YES
re2-conan-gcc	0.073	0.712	9.74	YES
re2-debian-gcc	0.072	0.686	9.54	YES
re2-fedora-clang-libcxx	0.179	0.917	5.13	YES
re2-linuxbrew	0.075	0.741	9.81	YES
rocksdb-conan-gcc	0.901	0.975	1.08	YES
rocksdb-debian-gcc	0.849	0.963	1.13	YES
rocksdb-fedora-clang-libcxx	1.050	1.084	1.03	YES
rocksdb-linuxbrew	0.877	0.974	1.11	YES
spdlog-conan-gcc	0.200	0.901	4.49	YES
spdlog-debian-gcc	0.200	0.899	4.49	YES
spdlog-fedora-clang-libcxx	0.376	1.026	2.73	YES
spdlog-linuxbrew	0.201	0.917	4.56	YES
