project	profile	raw	frozen_s	frozen_gbps	frozen_bytes	small_s	small_gbps	small_bytes	size_cost_pct	exact
re2	debian-gcc	84637328	0.16	0.5290	362280	0.09	0.9404	375818	3.74	YES
re2	conan-gcc	87032434	0.16	0.5440	367974	0.09	0.9670	382924	4.06	YES
re2	linuxbrew	88654287	0.16	0.5541	355812	0.09	0.9850	369455	3.83	YES
re2	fedora-clang-libcxx	217114604	0.24	0.9046	396468	0.16	1.3570	419388	5.78	YES
fmt	debian-gcc	128551487	0.32	0.4017	665724	0.16	0.8034	717728	7.81	YES
fmt	conan-gcc	131371127	0.32	0.4105	676267	0.16	0.8211	727502	7.58	YES
fmt	linuxbrew	129410391	0.26	0.4977	595186	0.13	0.9955	647690	8.82	YES
fmt	fedora-clang-libcxx	192626053	0.31	0.6214	600948	0.15	1.2842	666262	10.87	YES
leveldb	debian-gcc	174821287	0.31	0.5639	612569	0.15	1.1655	671409	9.61	YES
leveldb	conan-gcc	178753005	0.31	0.5766	621537	0.16	1.1172	686784	10.50	YES
leveldb	linuxbrew	180059857	0.27	0.6669	575702	0.15	1.2004	634263	10.17	YES
leveldb	fedora-clang-libcxx	321953631	0.37	0.8701	621604	0.23	1.3998	755392	21.52	YES
spdlog	debian-gcc	255841435	0.30	0.8528	502334	0.22	1.1629	799421	59.14	YES
spdlog	conan-gcc	262532575	0.30	0.8751	507502	0.22	1.1933	803799	58.38	YES
spdlog	linuxbrew	263293064	0.30	0.8776	498347	0.22	1.1968	794922	59.51	YES
nlohmann-json	debian-gcc	288512502	0.39	0.7398	760359	0.24	1.2021	862671	13.46	YES
nlohmann-json	conan-gcc	296219113	0.41	0.7225	802802	0.25	1.1849	910111	13.37	YES
nlohmann-json	linuxbrew	296702050	0.43	0.6900	808811	0.26	1.1412	911341	12.68	YES
nlohmann-json	fedora-clang-libcxx	428239197	0.47	0.9111	881905	0.32	1.3382	1030489	16.85	YES
