corpus	variant	raw	out	C_gbps_min	C_gbps_med	F_gbps	exact	wire_sha256
corpus3	frozen-j8	1985715205	6576037	0.7637	0.7757	0.6637	YES	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905
corpus3	j16	1985715205	6576037	0.7667	0.7911	0.6751	YES	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905
corpus3	j16-b4	1985715205	6633384	0.9411	0.9686	0.6555	YES	488a50da362993697677f77b82abbf9387da6ddcc1b0a7694edb41b20d294dc7
corpus3	j16-b2	1985715205	6730947	1.0971	1.1219	0.6707	YES	0e595257361ff086d4831422adb039a46bd616bf7790e716971b71713643f519
corpus3	j32-b2	1985715205	6730947	1.1156	1.1156	0.6788	YES	0e595257361ff086d4831422adb039a46bd616bf7790e716971b71713643f519
corpus3	j16-b2-tokbsc	1985715205	6756820	1.0734	1.0971	0.6631	YES	8125f2b4278ec1c4bf58cffd9ea9a352e2a7ec46c3c7c319406e4873462e85b8
corpus15	frozen-j8	468377342	955208	0.8837	0.9007	0.3297	YES	efd6f14a2efe05e346016e31858642f1079d31b49ddbddd8b5d63b9c0e2dc44f
corpus15	j16	468377342	955208	0.9007	0.9007	0.2649	YES	efd6f14a2efe05e346016e31858642f1079d31b49ddbddd8b5d63b9c0e2dc44f
corpus15	j16-b4	468377342	982517	1.0892	1.1152	0.2558	YES	cc21d7cce1241e84d863f9e7e7475f1d0f8d9661d2a8cdb1c5b6eddb79859fc5
corpus15	j16-b2	468377342	993865	1.2659	1.2659	0.2913	YES	402c2bdeb8aea8c2ffe085f8509a361db34d792f72de0a0cd89dd50457a4ff8e
corpus15	j32-b2	468377342	993865	1.2659	1.2659	0.3122	YES	402c2bdeb8aea8c2ffe085f8509a361db34d792f72de0a0cd89dd50457a4ff8e
corpus15	j16-b2-tokbsc	468377342	1000473	1.2659	1.2659	0.3165	YES	6a9f4f96576cc160d3efa8101f9dd432a888be9263d506ef7f64ec1ce8b9216e
corpus10	frozen-j8	293917707	743198	0.7735	0.7944	0.1949	YES	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7
corpus10	j16	293917707	743198	0.7735	0.7735	0.2064	YES	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7
corpus10	j16-b4	293917707	758999	0.9185	0.9481	0.2089	YES	a14ef3fe4711567c1ed57fc03ac8b3b7f393e28d45fa09f0d098f22511bc6a67
corpus10	j16-b2	293917707	780245	1.1305	1.1305	0.2115	YES	877053b120e11a289692c50016d7e39c5a9fefc253196e30ee1dc5971d611752
corpus10	j32-b2	293917707	780245	1.1757	1.1757	0.2155	YES	877053b120e11a289692c50016d7e39c5a9fefc253196e30ee1dc5971d611752
corpus10	j16-b2-tokbsc	293917707	785316	0.9185	1.0886	0.2047	YES	6f82d105fdcae978dd5b39b71a5c30b89e4b9ff9ff3e5ac667ddd110783753bd
corpus14	frozen-j8	143868249	489989	0.5533	0.5755	0.1117	YES	707543a945f8e7b7819f946487c8fe89041a097c20d15f1ad166d53fb6c1904b
corpus14	j16	143868249	489989	0.5533	0.5533	0.1068	YES	707543a945f8e7b7819f946487c8fe89041a097c20d15f1ad166d53fb6c1904b
corpus14	j16-b4	143868249	493672	0.5995	0.6255	0.1071	YES	e21745dfe5c94f132b05e599f0d871a86a57fde391cd4342a4a5daae4e402e8d
corpus14	j16-b2	143868249	496223	0.8463	0.8463	0.1130	YES	b9dc94ff2c36578a5456a2f4fce425501ea532f4fca62b0bea35fdddb6d19382
corpus14	j32-b2	143868249	496223	0.7993	0.8463	0.1089	YES	b9dc94ff2c36578a5456a2f4fce425501ea532f4fca62b0bea35fdddb6d19382
corpus14	j16-b2-tokbsc	143868249	499519	0.7993	0.8463	0.1090	YES	ad3e84f515559c6babc3b0893e3a6eafda205ddf0eb5e4f43bd39178bf5f4569
