corpus	variant	raw	out	C_gbps_min	C_gbps_med	F_gbps	exact	load	wire_sha256
corpus14	b2-t21-h1024	143868249	496223	0.7572	0.7993	0.1141	YES	5.10	b9dc94ff2c36578a5456a2f4fce425501ea532f4fca62b0bea35fdddb6d19382
corpus14	b2-t18-h1024	143868249	496193	0.8463	0.8463	0.1149	YES	5.10	54aa5bd4315daa71731abcd53c8c8be05bc2d298d1e325deb095835d87096324
corpus14	b2-t21-h128	143868249	496223	0.7993	0.8463	0.1988	YES	5.01	c0721fe298b5a4582c0ba8ab85e8bfe81dbbd44f10207c8db0f3473b9115f169
corpus14	b2-t18-h128	143868249	496193	0.8463	0.8463	0.2071	YES	5.01	50d8cc181b5a33e4ae7d914a9fa098bc8f3f3a91362a2dc4807bc1654bec49b7
corpus14	b1-t18-h128	143868249	510604	1.0276	1.0276	0.1989	YES	4.93	70f65fca7bf689bbd524d96551c582be0a0c4b41850df6740849b9c4e0bc58d8
corpus13	b2-t21-h1024	110231455	408491	0.7349	0.7874	0.0870	YES	4.93	2153c121d5d7c55c4b32ee75b5eed5a4482bd1c3ec4db4e90b7dec5bf66cb461
corpus13	b2-t18-h1024	110231455	408559	0.8479	0.8479	0.0905	YES	5.02	a3b8fba32f66cf27f862adcba56d2c138391a32fa265fe6a53da1888a1b2e779
corpus13	b2-t21-h128	110231455	408491	0.7874	0.7874	0.1699	YES	5.10	0a2a5325f6ceaf7cff4742c85acd2d1903dca38be76a4ae56457f99a182de826
corpus13	b2-t18-h128	110231455	408559	0.7874	0.7874	0.1574	YES	5.10	73613e9ddf2e932744e1b117fca146928cd90e8aa1a978bd4c14c127ed98d597
corpus13	b1-t18-h128	110231455	419251	1.0021	1.0021	0.1573	YES	5.10	e551eed6f24ea8a3b19ed1ad2fe0bf6c63661d191a223951da0620c550555f12
corpus7	b2-t21-h1024	136350082	692776	0.6818	0.6818	0.0991	YES	5.09	a9106e32ba1832f74e3f1617cd7a6396db833de3a8fe6348f629e95cff7cae8d
corpus7	b2-t18-h1024	136350082	693254	0.7575	0.7575	0.0986	YES	5.16	e3ec220b76a669f037931b9969afc94c7e49039acb54e193852769fed36be557
corpus7	b2-t21-h128	136350082	692776	0.6818	0.6818	0.1877	YES	5.15	5e24c7f18a904aec13ab4abdb4f136ef7736a52fa91bea2219b66c940066005c
corpus7	b2-t18-h128	136350082	693254	0.7176	0.7575	0.1875	YES	5.15	f9089a6dde80a19e59dbe01ffc05c88cd2e3604560fc96a5a246a05ed331d785
corpus7	b1-t18-h128	136350082	702437	0.8021	0.8522	0.1886	YES	5.22	2d1e97b7bc5c4b51f14497a71e7c1040c6c22f078a7fe874f966f9e3a289a530
corpus8	b2-t21-h1024	98384472	451030	0.7027	0.7027	0.0795	YES	5.22	c987b111a875d05e875a1a74620be064c68cf82188047c60f5e32e9f19c1c8cd
corpus8	b2-t18-h1024	98384472	451039	0.7568	0.7568	0.0798	YES	5.12	fdbe2c2eec0e30243d771004fbdb4f581b8171c4f24e477ad4a6f44cad562437
corpus8	b2-t21-h128	98384472	451030	0.7027	0.7027	0.1514	YES	5.12	2c391bbc02490edd0c80c46501b1f451814397e4bde098444252a646aa5c2c72
corpus8	b2-t18-h128	98384472	451039	0.7568	0.7568	0.1523	YES	5.03	3197c793fef2502f35abed784ab9944cc555c8721e3701dfaaebd510e2ac48d5
corpus8	b1-t18-h128	98384472	459295	0.8944	0.9838	0.1496	YES	5.03	a3cdef2c80c908f3bdfa4af4c5e9a437692542c912a74fc424bfc64315e475b7
corpus3	b2-j16-confirm	1985715205	6730947	1.1545	1.1545	0.7186	YES	4.88	0e595257361ff086d4831422adb039a46bd616bf7790e716971b71713643f519
corpus3	b2-j1	1985715205	6730947	0.6663	0.6754	0.7171	YES	4.82	0e595257361ff086d4831422adb039a46bd616bf7790e716971b71713643f519
corpus3	b8-j8-control	1985715205	6576037	0.8239	0.8239	0.6894	YES	5.38	e7169c444fcbebb274806d835223387262e324787d720c980a90f7fb969e5905
corpus15	b2-j16-confirm	468377342	993865	1.3010	1.3010	0.3444	YES	5.43	402c2bdeb8aea8c2ffe085f8509a361db34d792f72de0a0cd89dd50457a4ff8e
corpus15	b2-j1	468377342	993865	0.8674	0.9184	0.3433	YES	5.40	402c2bdeb8aea8c2ffe085f8509a361db34d792f72de0a0cd89dd50457a4ff8e
corpus15	b8-j8-control	468377342	955208	0.9184	0.9184	0.3088	YES	5.42	efd6f14a2efe05e346016e31858642f1079d31b49ddbddd8b5d63b9c0e2dc44f
corpus10	b2-j16-confirm	293917707	780245	0.8398	1.1305	0.1970	YES	5.46	877053b120e11a289692c50016d7e39c5a9fefc253196e30ee1dc5971d611752
corpus10	b2-j1	293917707	780245	0.7348	0.7536	0.2098	YES	5.59	877053b120e11a289692c50016d7e39c5a9fefc253196e30ee1dc5971d611752
corpus10	b8-j8-control	293917707	743198	0.6998	0.7944	0.1945	YES	5.62	8cd8d76377e8e8c0340c410acd524e3fd52ae49c23ac4f1140aa2f1cba6945d7
