project	profile	intern_s	total_s	process_s	predict_s	scan_s	lines_s	pct_predict	pct_scan	pct_lines	pct_store	iters	predict_hit	scan_hit	new_regions	lines_interned
re2	debian-gcc	0.1	0.4	0.0574	0.0091	0.0066	0.0395	15.9	11.5	68.8	4.0	139120	129030	133520	5600	0.05740
fmt	debian-gcc	0.2	0.7	0.0850	0.0133	0.0130	0.0507	15.6	15.3	59.6	9.4	198617	142489	159462	39155	0.08500
leveldb	debian-gcc	0.2	0.7	0.0886	0.0177	0.0134	0.0513	20.0	15.1	57.9	7.0	246730	210501	222682	24048	0.08860
cereal	debian-gcc	0.3	0.6	0.0784	0.0239	0.0144	0.0375	30.5	18.4	47.8	3.2	341280	330941	336524	4756	0.07840
nlohmann-json	debian-gcc	0.3	1.0	0.1151	0.0276	0.0180	0.0595	24.0	15.6	51.7	8.7	352057	326649	336100	15957	0.11510
spdlog	debian-gcc	0.3	0.7	0.0920	0.0265	0.0177	0.0438	28.8	19.2	47.6	4.3	384303	359711	373790	10513	0.09200
range-v3	debian-gcc	0.9	1.3	0.2262	0.0970	0.0747	0.0493	42.9	33.0	21.8	2.3	1614157	1465313	1601616	12541	0.22620
catch2	debian-gcc	0.9	1.3	0.2127	0.0914	0.0598	0.0534	43.0	28.1	25.1	3.8	1358447	1282990	1328213	30234	0.21270
rocksdb	debian-gcc	1.7	2.9	0.3594	0.1625	0.0821	0.0993	45.2	22.8	27.6	4.3	1778037	1697627	1743808	34229	0.35940
opencv	debian-gcc	3.6	5.3	0.8323	0.3448	0.2216	0.2139	41.4	26.6	25.7	6.3	4893895	4621850	4792706	101189	0.83230
eigen	debian-gcc	7.8	9.8	1.3513	0.7644	0.4421	0.1132	56.6	32.7	8.4	2.3	11173469	11038636	11142864	30605	1.35130
