project	profile	raw_bytes	p29_complete_bytes	grz_complete_bytes	p29_C_gbps_2pass_med	p29_C_gbps_2pass_all	p29_plan_s_all	p29_grouped_s_all	grz_C_gbps_med	grz_C_gbps_all	grz_cat_s_all	grz_enc_s_all	grz_F_gbps_med	grz_F_gbps_all	p29_F_gbps_codec_proxy	probe_makespan_med	probe_makespan_all	p29_C_legal_2pass	grz_C_legal	grz_F_legal	p29_complete_exact	grz_complete_exact	p29_F_basis	grz_F_basis	charge	size_winner	p29_gate_pass	grz_gate_pass
catch2	conan-gcc	946329192	997420	630989	0.3718	0.3711,0.3726	1.16,1.16	1.39,1.38	0.5203	0.6105,0.4301	0.85,1.50	0.70,0.70	1.0613	1.0885,1.0341	5.222	0.721	0.721,0.707,0.723	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
catch2	debian-gcc	873426739	980640	627742	0.3515	0.3551,0.3480	1.11,1.18	1.35,1.33	0.5208	0.5982,0.4434	0.79,1.31	0.67,0.66	1.0428	1.0732,1.0123	4.978	0.687	0.687,0.680,0.695	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
catch2	fedora-clang-libcxx	2661096447	1144702	1074972	0.4148	0.4126,0.4171	3.12,3.09	3.33,3.29	0.5827	0.6806,0.4847	2.28,3.86	1.63,1.63	1.2272	1.2397,1.2148	8.898	1.269	1.288,1.254,1.269	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
catch2	linuxbrew	909464733	940671	611125	0.3653	0.3623,0.3682	1.17,1.14	1.34,1.33	0.5335	0.6145,0.4525	0.82,1.36	0.66,0.65	1.0588	1.0524,1.0652	5.471	0.692	0.695,0.686,0.692	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
cereal	conan-gcc	278081296	476746	380387	0.2661	0.2674,0.2648	0.41,0.42	0.63,0.63	0.4660	0.5348,0.3973	0.25,0.43	0.27,0.27	0.7741	0.7696,0.7786	2.103	1.068	1.068,1.069,1.065	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
cereal	debian-gcc	273782205	466708	374637	0.2697	0.2684,0.2711	0.40,0.40	0.62,0.61	0.4758	0.5368,0.4148	0.24,0.40	0.27,0.26	0.7671	0.7748,0.7594	2.164	1.041	1.052,1.033,1.041	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
cereal	fedora-clang-libcxx	375959867	498257	381779	0.2984	0.2984,0.2984	0.52,0.51	0.74,0.75	0.4958	0.5784,0.4131	0.33,0.59	0.32,0.32	0.8010	0.7983,0.8037	2.730	1.285	1.275,1.286,1.285	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
cereal	linuxbrew	280493336	470913	376529	0.2737	0.2723,0.2750	0.41,0.40	0.62,0.62	0.4701	0.5394,0.4007	0.25,0.43	0.27,0.27	0.7672	0.7601,0.7743	2.242	1.057	1.057,1.057,1.065	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
eigen	conan-gcc	8189328289	2379861	4329139	0.4351	0.4351,0.4351	9.26,9.24	9.56,9.58	0.5783	0.6735,0.4831	7.07,11.83	5.09,5.12	1.9335	1.9323,1.9348	10.630	1.923	1.923,1.932,1.917	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
eigen	debian-gcc	8094963600	2376519	3932160	0.4406	0.4426,0.4385	8.99,9.09	9.30,9.37	0.5856	0.6814,0.4897	6.90,11.53	4.98,5.00	1.9621	1.9641,1.9601	10.882	1.932	1.963,1.932,1.916	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
eigen	fedora-clang-libcxx	10096756857	2320794	4864106	0.4295	0.4298,0.4291	11.60,11.59	11.89,11.94	0.5889	0.6836,0.4942	8.66,14.29	6.11,6.14	2.0594	2.0546,2.0642	10.643	2.275	2.348,2.275,2.275	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
eigen	linuxbrew	8152489841	2309461	3874615	0.4444	0.4443,0.4445	8.99,8.98	9.36,9.36	0.5802	0.6788,0.4815	7.03,11.94	4.98,4.99	1.9789	1.9789,1.9788	11.308	1.914	1.933,1.914,1.889	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
fmt	conan-gcc	131371127	1020039	676267	0.1282	0.1275,0.1288	0.35,0.34	0.68,0.68	0.2687	0.2986,0.2389	0.12,0.23	0.32,0.32	0.5354	0.5369,0.5339	0.653	1.041	1.043,1.041,1.037	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
fmt	debian-gcc	128551487	1006187	665724	0.1286	0.1273,0.1298	0.34,0.33	0.67,0.66	0.2731	0.2990,0.2472	0.11,0.20	0.32,0.32	0.5309	0.5168,0.5450	0.660	1.018	1.017,1.030,1.018	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
