cell	policy	W	routes	n_per_build	builds	total_tus	wire_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	dec_rss_max_kb	reverse_bytes	rr_degenerate	route_tus_min	route_tus_max	secs
cereal.debian-gcc	batch112	0	1	80	4	320	376965	374601	776	776	812	1101780	1101780	2121896	0	0	320	320	0
cereal.debian-gcc	sticky	1	1	80	4	320	589956	427858	12095	12095	137908	1087032	1087032	2120560	0	0	320	320	146.9
cereal.debian-gcc	sticky	4	4	80	4	320	1561600	1525207	12083	12083	12227	1201292	303752	2120776	0	0	80	80	119.6
cereal.debian-gcc	sticky	8	8	80	4	320	2941028	2904527	12071	12071	12359	1334560	170756	2120772	0	0	40	40	138.6
cereal.debian-gcc	sticky	16	16	80	4	320	5699399	5662682	12047	12047	12623	1597908	101900	2120776	0	0	20	20	208.5
cereal.debian-gcc	sticky	32	32	80	4	320	11216005	11178850	11999	12002	13154	2127336	74504	2120784	0	0	8	12	301.4
cereal.debian-gcc	rr	1	1	80	4	320	589956	427858	12095	12095	137908	1087180	1087180	2120772	0	1	320	320	144.3
cereal.debian-gcc	rr	4	4	80	4	320	1561600	1525207	12083	12083	12227	1201936	304396	2120776	0	1	80	80	118.6
cereal.debian-gcc	rr	8	8	80	4	320	2941028	2904527	12071	12071	12359	1334208	170756	2120776	0	1	40	40	140.9
cereal.debian-gcc	rr	16	16	80	4	320	5699399	5662682	12047	12047	12623	1597972	101900	2120780	0	1	20	20	217.2
cereal.debian-gcc	rr	32	32	80	4	320	11350375	11178850	146279	11999	13247	2125936	67600	2120784	0	0	10	10	358.8
cereal.debian-gcc	shuf	1	1	80	4	320	808534	427717	12109	12111	356597	1095464	1095464	2120768	0	0	320	320	149.2
cereal.debian-gcc	shuf	4	4	80	4	320	1679520	1516871	72520	51323	38806	1201532	304896	2120772	0	0	80	80	121.7
cereal.debian-gcc	shuf	8	8	80	4	320	3171954	2897419	106521	97906	70108	1334360	169248	2120776	0	0	40	40	141.5
cereal.debian-gcc	shuf	16	16	80	4	320	6015828	5663748	126293	118972	106815	1599992	101900	2120772	0	0	20	20	211.6
cereal.debian-gcc	shuf	32	32	80	4	320	11584885	11188768	135014	132639	128464	2127364	74504	2120776	0	0	8	12	314.8
