cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	rr_degenerate	replays_verified	prefix_checks_passed	secs
cereal.debian-gcc	sticky	1	1	80	490841	11443	485621	1824	1686	1710	1200152	1200152	0	1	6	11.8
cereal.debian-gcc	sticky	4	4	80	1801415	35933	1794359	3480	1740	1836	1560032	392360	0	1	24	18.1
cereal.debian-gcc	sticky	8	8	80	3466693	65886	3459651	3430	1710	1902	2033232	262548	0	1	48	27.3
cereal.debian-gcc	sticky	16	16	80	6794940	125636	6787791	3375	1695	2079	2972804	190428	0	1	96	45.8
cereal.debian-gcc	sticky	32	32	80	13450833	245171	13443350	3337	1689	2457	4677044	158228	0	1	192	83.6
cereal.debian-gcc	rr	1	1	80	490841	11443	485621	1824	1686	1710	1199568	1199568	1	1	6	12.2
cereal.debian-gcc	rr	4	4	80	1801415	35933	1794359	3480	1740	1836	1560504	391680	1	1	24	18.4
cereal.debian-gcc	rr	8	8	80	3466693	65886	3459651	3430	1710	1902	2026428	256400	1	1	48	27.5
cereal.debian-gcc	rr	16	16	80	6794940	125636	6787791	3375	1695	2079	2973140	190932	1	1	96	45.6
cereal.debian-gcc	rr	32	32	80	13582936	249655	13443350	132073	3343	4170	4856328	155816	0	1	192	81.9
cereal.debian-gcc	shuf	1	1	80	491258	11482	485840	1890	1752	1776	1204420	1204420	0	1	6	11.7
cereal.debian-gcc	shuf	4	4	80	1911700	39013	1785700	59028	39218	27754	1574044	399188	0	1	24	18.0
cereal.debian-gcc	shuf	8	8	80	3685242	71312	3451613	91944	83216	58469	2053272	260964	0	1	48	27.1
cereal.debian-gcc	shuf	16	16	80	7093277	131980	6784628	112432	104464	91753	3006148	191588	0	1	96	44.6
cereal.debian-gcc	shuf	32	32	80	13800327	252143	13447122	121653	117517	114035	4871872	163376	0	1	192	81.0
