cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rr_degenerate	replays_verified	secs
cereal.debian-gcc	sticky	1	1	80	490841	11443	485621	1824	1686	1710	0	1	4.3
cereal.debian-gcc	sticky	4	4	80	1801415	35933	1794359	3480	1740	1836	0	1	4.8
cereal.debian-gcc	sticky	8	8	80	3466693	65886	3459651	3430	1710	1902	0	1	6.6
cereal.debian-gcc	sticky	16	16	80	6794940	125636	6787791	3375	1695	2079	0	1	10.2
cereal.debian-gcc	sticky	32	32	80	13450833	245171	13443350	3337	1689	2457	0	1	17.6
cereal.debian-gcc	rr	1	1	80	490841	11443	485621	1824	1686	1710	1	1	4.4
cereal.debian-gcc	rr	4	4	80	1801415	35933	1794359	3480	1740	1836	1	1	4.8
cereal.debian-gcc	rr	8	8	80	3466693	65886	3459651	3430	1710	1902	1	1	6.6
cereal.debian-gcc	rr	16	16	80	6794940	125636	6787791	3375	1695	2079	1	1	10.2
cereal.debian-gcc	rr	32	32	80	13582936	249655	13443350	132073	3343	4170	0	1	17.6
cereal.debian-gcc	shuf	1	1	80	491258	11482	485840	1890	1752	1776	0	1	4.1
cereal.debian-gcc	shuf	4	4	80	1911700	39013	1785700	59028	39218	27754	0	1	4.9
cereal.debian-gcc	shuf	8	8	80	3685242	71312	3451613	91944	83216	58469	0	1	6.6
cereal.debian-gcc	shuf	16	16	80	7093277	131980	6784628	112432	104464	91753	0	1	9.9
cereal.debian-gcc	shuf	32	32	80	13800327	252143	13447122	121653	117517	114035	0	1	17.2
