cell	policy	W	routes	n_per_build	builds	total_tus	wire_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	dec_rss_max_kb	reverse_bytes	rr_degenerate	route_tus_min	route_tus_max	secs
fmt.debian-gcc	batch112	0	1	51	4	204	667353	665688	543	543	579	547596	547596	2140460	0	0	204	204	0
fmt.debian-gcc	sticky	1	1	51	4	204	768561	743133	8619	8386	8423	534556	534556	2113728	0	0	204	204	71.2
fmt.debian-gcc	sticky	4	4	51	4	204	1968475	1943963	8278	8045	8189	631672	171528	2117720	0	0	48	52	82.0
fmt.debian-gcc	sticky	8	8	51	4	204	3487091	3463979	7762	7531	7819	764344	104468	2120036	0	0	24	28	110.4
fmt.debian-gcc	sticky	16	16	51	4	204	6049834	6026731	7507	7510	8086	1021348	70936	2124624	0	0	12	16	153.7
fmt.debian-gcc	sticky	32	32	51	4	204	10378366	10354849	7451	7457	8609	1531788	59048	2124712	0	0	4	8	269.5
fmt.debian-gcc	rr	1	1	51	4	204	768561	743133	8619	8386	8423	534432	534432	2113736	0	1	204	204	70.1
fmt.debian-gcc	rr	4	4	51	4	204	2954674	1943963	375254	321039	314418	635608	159316	2117720	0	0	51	51	82.1
fmt.debian-gcc	rr	8	8	51	4	204	4635951	3463979	451388	366063	354521	767920	98776	2119656	0	0	25	26	112.1
fmt.debian-gcc	rr	16	16	51	4	204	7772965	6026731	844104	464955	437175	1030228	67028	2124716	0	0	12	13	164.9
fmt.debian-gcc	rr	32	32	51	4	204	13511748	10354849	1862649	733088	561162	1557492	53360	2124716	0	0	6	7	276.8
fmt.debian-gcc	shuf	1	1	51	4	204	758876	734570	8245	8012	8049	535108	535108	2116196	0	0	204	204	73.8
fmt.debian-gcc	shuf	4	4	51	4	204	2475230	1882431	232254	158958	201587	633240	169180	2116628	0	0	48	52	86.5
fmt.debian-gcc	shuf	8	8	51	4	204	4256574	3318524	440515	216438	281097	765380	110040	2116628	0	0	24	28	112.4
fmt.debian-gcc	shuf	16	16	51	4	204	7525973	5834022	927324	392530	372097	1028800	74968	2121756	0	0	12	16	160.7
fmt.debian-gcc	shuf	32	32	51	4	204	13423136	10037386	1746415	852149	787186	1565160	57052	2121960	0	0	4	8	281.9
