cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	rr_degenerate	replays_verified	prefix_checks_passed	secs
fmt.debian-gcc	sticky	1	1	51	979416	76432	975407	1741	1122	1146	658624	658624	0	1	6	7.5
fmt.debian-gcc	sticky	4	4	51	2419707	93858	2415226	2141	1122	1218	1035724	281668	0	1	24	13.1
fmt.debian-gcc	sticky	8	8	51	4234496	121106	4229807	2253	1122	1314	1514232	204788	0	1	48	21.8
fmt.debian-gcc	sticky	16	16	51	7296910	169542	7292055	2227	1122	1506	2335592	165460	0	1	96	38.2
fmt.debian-gcc	sticky	32	32	51	12394342	252475	12389252	2152	1101	1837	3779388	155204	0	1	192	70.0
fmt.debian-gcc	rr	1	1	51	979416	76432	975407	1741	1122	1146	659384	659384	1	1	6	7.6
fmt.debian-gcc	rr	4	4	51	3895235	302827	2415226	545537	472727	461745	1145116	290004	0	1	24	14.9
fmt.debian-gcc	rr	8	8	51	5925439	320534	4229807	640612	534521	520499	1633160	217668	0	1	48	23.9
fmt.debian-gcc	rr	16	16	51	9685952	373866	7292055	1114258	658548	621091	2616184	175800	0	1	96	41.4
fmt.debian-gcc	rr	32	32	51	16545748	476073	12389252	2401118	984177	771201	4491928	159420	0	1	192	74.1
fmt.debian-gcc	shuf	1	1	51	975251	76933	971259	1736	1116	1140	668164	668164	0	1	6	7.4
fmt.debian-gcc	shuf	4	4	51	3174890	192467	2345494	320155	225629	283612	1076472	288964	0	1	24	13.6
fmt.debian-gcc	shuf	8	8	51	5353786	252014	4057689	597642	294893	403562	1574556	213000	0	1	48	21.5
fmt.debian-gcc	shuf	16	16	51	9324553	334446	7045567	1203082	563596	512308	2578112	173056	0	1	96	38.6
fmt.debian-gcc	shuf	32	32	51	16374192	447600	12004656	2209105	1135439	1024992	4404048	158660	0	1	192	71.4
