cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rr_degenerate	replays_verified	secs
fmt.debian-gcc	sticky	1	1	51	979416	76432	975407	1741	1122	1146	0	1	2.5
fmt.debian-gcc	sticky	4	4	51	2419707	93858	2415226	2141	1122	1218	0	1	3.3
fmt.debian-gcc	sticky	8	8	51	4234496	121106	4229807	2253	1122	1314	0	1	5.0
fmt.debian-gcc	sticky	16	16	51	7296910	169542	7292055	2227	1122	1506	0	1	8.3
fmt.debian-gcc	sticky	32	32	51	12394342	252475	12389252	2152	1101	1837	0	1	14.5
fmt.debian-gcc	rr	1	1	51	979416	76432	975407	1741	1122	1146	1	1	2.5
fmt.debian-gcc	rr	4	4	51	3895235	302827	2415226	545537	472727	461745	0	1	3.9
fmt.debian-gcc	rr	8	8	51	5925439	320534	4229807	640612	534521	520499	0	1	5.6
fmt.debian-gcc	rr	16	16	51	9685952	373866	7292055	1114258	658548	621091	0	1	9.4
fmt.debian-gcc	rr	32	32	51	16545748	476073	12389252	2401118	984177	771201	0	1	16.0
fmt.debian-gcc	shuf	1	1	51	975251	76933	971259	1736	1116	1140	0	1	2.6
fmt.debian-gcc	shuf	4	4	51	3174890	192467	2345494	320155	225629	283612	0	1	3.6
fmt.debian-gcc	shuf	8	8	51	5353786	252014	4057689	597642	294893	403562	0	1	5.2
fmt.debian-gcc	shuf	16	16	51	9324553	334446	7045567	1203082	563596	512308	0	1	8.7
fmt.debian-gcc	shuf	32	32	51	16374192	447600	12004656	2209105	1135439	1024992	0	1	15.6
