cell	policy	W	routes	n_per_build	builds	total_tus	wire_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	dec_rss_max_kb	reverse_bytes	rr_degenerate	route_tus_min	route_tus_max	secs
leveldb.debian-gcc	batch112	0	1	94	4	376	615230	612533	887	887	923	719032	719032	2133888	0	0	376	376	0
leveldb.debian-gcc	sticky	1	1	94	4	376	803494	761821	13879	13879	13915	712724	712724	2112168	0	0	376	376	136.5
leveldb.debian-gcc	sticky	4	4	94	4	376	1899591	1857894	13851	13851	13995	809288	210068	2113952	0	0	92	96	122.0
leveldb.debian-gcc	sticky	8	8	94	4	376	3206033	3164234	13837	13837	14125	935780	124812	2114892	0	0	44	48	140.3
leveldb.debian-gcc	sticky	16	16	94	4	376	5651933	5609918	13813	13813	14389	1185108	80380	2116256	0	0	20	24	197.7
leveldb.debian-gcc	sticky	32	32	94	4	376	9857442	9815607	13561	13561	14713	1683660	58972	2116512	0	0	8	12	288.7
leveldb.debian-gcc	rr	1	1	94	4	376	803494	761821	13879	13879	13915	712724	712724	2112392	0	1	376	376	134.3
leveldb.debian-gcc	rr	4	4	94	4	376	2316277	1857894	430260	13851	14272	809264	203132	2113956	0	0	94	94	122.7
leveldb.debian-gcc	rr	8	8	94	4	376	4572651	3164234	521869	464756	421792	936196	118200	2114980	0	0	47	47	146.7
leveldb.debian-gcc	rr	16	16	94	4	376	7348574	5609918	702784	540723	495149	1187076	79084	2116260	0	0	23	24	196.7
leveldb.debian-gcc	rr	32	32	94	4	376	12457249	9815607	1237228	782574	621840	1691984	57508	2116512	0	0	11	12	310.7
leveldb.debian-gcc	shuf	1	1	94	4	376	801023	758210	14251	14263	14299	715868	715868	2118696	0	0	376	376	140.1
leveldb.debian-gcc	shuf	4	4	94	4	376	2510147	1834285	230217	325173	120472	806700	214104	2118696	0	0	92	96	125.8
leveldb.debian-gcc	shuf	8	8	94	4	376	4120667	3106256	389313	412806	212292	931188	126036	2118696	0	0	44	48	146.2
leveldb.debian-gcc	shuf	16	16	94	4	376	7020338	5401456	769798	555172	293912	1184252	81788	2118696	0	0	20	24	201.6
leveldb.debian-gcc	shuf	32	32	94	4	376	12329009	8912265	1706246	1105762	604736	1693788	58676	2119664	0	0	8	12	302.7
