cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	rr_degenerate	replays_verified	prefix_checks_passed	secs
leveldb.debian-gcc	sticky	1	1	94	944000	47165	935713	4127	2068	2092	832624	832624	0	1	6	9.1
leveldb.debian-gcc	sticky	4	4	94	2359676	67393	2351339	4137	2068	2132	1182564	302716	0	1	24	13.6
leveldb.debian-gcc	sticky	8	8	94	3965141	94715	3956791	4118	2068	2164	1632448	215412	0	1	48	20.0
leveldb.debian-gcc	sticky	16	16	94	6967740	145892	6959322	4122	2068	2228	2503224	164940	0	1	96	33.7
leveldb.debian-gcc	sticky	32	32	94	12029147	229401	12020668	4063	2064	2352	4013296	137796	0	1	192	60.0
leveldb.debian-gcc	rr	1	1	94	944000	47165	935713	4127	2068	2092	833136	833136	1	1	6	9.1
leveldb.debian-gcc	rr	4	4	94	2881715	103672	2351339	522005	4114	4257	1208104	306308	0	1	24	14.6
leveldb.debian-gcc	rr	8	8	94	5740780	200314	3956791	679111	599066	505812	1719320	220040	0	1	48	22.3
leveldb.debian-gcc	rr	16	16	94	9213566	259950	6959322	905941	703000	645303	2645572	174192	0	1	96	36.6
leveldb.debian-gcc	rr	32	32	94	15440121	363209	12020668	1577615	1028080	813758	4420000	154820	0	1	192	63.9
leveldb.debian-gcc	shuf	1	1	94	944228	47860	935937	4131	2068	2092	834708	834708	0	1	6	9.2
leveldb.debian-gcc	shuf	4	4	94	3103483	122555	2304606	283935	395781	119161	1210220	314996	0	1	24	14.8
leveldb.debian-gcc	shuf	8	8	94	5113504	163226	3864775	500925	526492	221312	1684020	222684	0	1	48	21.8
leveldb.debian-gcc	shuf	16	16	94	8771837	240406	6673489	985420	745519	367409	2612180	174820	0	1	96	36.1
leveldb.debian-gcc	shuf	32	32	94	15398899	361943	10967923	2176804	1424474	829698	4408208	149848	0	1	192	64.2
