cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rr_degenerate	replays_verified	secs
leveldb.debian-gcc	sticky	1	1	94	944000	47165	935713	4127	2068	2092	0	1	3.1
leveldb.debian-gcc	sticky	4	4	94	2359676	67393	2351339	4137	2068	2132	0	1	3.5
leveldb.debian-gcc	sticky	8	8	94	3965141	94715	3956791	4118	2068	2164	0	1	4.7
leveldb.debian-gcc	sticky	16	16	94	6967740	145892	6959322	4122	2068	2228	0	1	7.5
leveldb.debian-gcc	sticky	32	32	94	12029147	229401	12020668	4063	2064	2352	0	1	12.6
leveldb.debian-gcc	rr	1	1	94	944000	47165	935713	4127	2068	2092	1	1	3.1
leveldb.debian-gcc	rr	4	4	94	2881715	103672	2351339	522005	4114	4257	0	1	3.8
leveldb.debian-gcc	rr	8	8	94	5740780	200314	3956791	679111	599066	505812	0	1	5.4
leveldb.debian-gcc	rr	16	16	94	9213566	259950	6959322	905941	703000	645303	0	1	8.4
leveldb.debian-gcc	rr	32	32	94	15440121	363209	12020668	1577615	1028080	813758	0	1	13.8
leveldb.debian-gcc	shuf	1	1	94	944228	47860	935937	4131	2068	2092	0	1	3.2
leveldb.debian-gcc	shuf	4	4	94	3103483	122555	2304606	283935	395781	119161	0	1	4.1
leveldb.debian-gcc	shuf	8	8	94	5113504	163226	3864775	500925	526492	221312	0	1	5.4
leveldb.debian-gcc	shuf	16	16	94	8771837	240406	6673489	985420	745519	367409	0	1	8.3
leveldb.debian-gcc	shuf	32	32	94	15398899	361943	10967923	2176804	1424474	829698	0	1	14.3
