cell	policy	W	routes	n_per_build	builds	total_tus	wire_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	dec_rss_max_kb	reverse_bytes	rr_degenerate	route_tus_min	route_tus_max	secs
re2.debian-gcc	batch112	0	1	72	4	288	364413	362244	711	711	747	361940	361940	2120732	0	0	288	288	0
re2.debian-gcc	sticky	1	1	72	4	288	472407	430143	14076	14076	14112	360444	360444	2113044	0	0	288	288	83.7
re2.debian-gcc	sticky	4	4	72	4	288	1049786	1012901	12247	12247	12391	450908	129900	2114140	0	0	72	72	89.6
re2.debian-gcc	sticky	8	8	72	4	288	1757781	1723548	11315	11315	11603	571156	81916	2114348	0	0	36	36	110.0
re2.debian-gcc	sticky	16	16	72	4	288	3053953	3020587	10930	10930	11506	811468	57104	2114452	0	0	16	20	173.7
re2.debian-gcc	sticky	32	32	72	4	288	5153274	5119506	10872	10872	12024	1276244	48636	2114460	0	0	8	12	275.5
re2.debian-gcc	rr	1	1	72	4	288	472407	430143	14076	14076	14112	360172	360172	2113044	0	1	288	288	82.1
re2.debian-gcc	rr	4	4	72	4	288	1049786	1012901	12247	12247	12391	451312	130048	2114244	0	1	72	72	88.1
re2.debian-gcc	rr	8	8	72	4	288	1757781	1723548	11315	11315	11603	571156	81920	2114348	0	1	36	36	108.0
re2.debian-gcc	rr	16	16	72	4	288	3476089	3020587	433197	10930	11375	809400	56060	2114448	0	0	18	18	165.2
re2.debian-gcc	rr	32	32	72	4	288	6949590	5119506	787400	613315	429369	1282204	44432	2114460	0	0	9	9	282.8
re2.debian-gcc	shuf	1	1	72	4	288	454414	422614	10588	10588	10624	360860	360860	2110928	0	0	288	288	86.1
re2.debian-gcc	shuf	4	4	72	4	288	1467835	1067726	187944	130914	81251	450800	117212	2114348	0	0	72	72	91.0
re2.debian-gcc	shuf	8	8	72	4	288	2483969	1784400	296769	211285	191515	566136	74376	2114348	0	0	36	36	113.4
re2.debian-gcc	shuf	16	16	72	4	288	4188931	3057948	521604	357180	252199	806392	56152	2114348	0	0	16	20	181.7
re2.debian-gcc	shuf	32	32	72	4	288	7085527	5097434	938380	665415	384298	1278264	45712	2114404	0	0	8	12	285.6
