cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rss_sum_kb	rss_max_kb	rr_degenerate	replays_verified	prefix_checks_passed	secs
re2.debian-gcc	sticky	1	1	72	476137	12540	470193	2768	1584	1592	445264	445264	0	1	6	4.9
re2.debian-gcc	sticky	4	4	72	1204632	27217	1198693	2739	1584	1616	730468	204380	0	1	24	8.9
re2.debian-gcc	sticky	8	8	72	2090185	44859	2084234	2719	1584	1648	1099552	154956	0	1	48	14.0
re2.debian-gcc	sticky	16	16	72	3705241	77266	3699272	2681	1580	1708	1765280	125384	0	1	96	24.2
re2.debian-gcc	sticky	32	32	72	6311589	131326	6305396	2853	1542	1798	2860684	113248	0	1	192	41.8
re2.debian-gcc	rr	1	1	72	476137	12540	470193	2768	1584	1592	443472	443472	1	1	6	4.9
re2.debian-gcc	rr	4	4	72	1204632	27217	1198693	2739	1584	1616	732248	205924	1	1	24	8.9
re2.debian-gcc	rr	8	8	72	2090185	44859	2084234	2719	1584	1648	1096464	154952	1	1	48	14.0
re2.debian-gcc	rr	16	16	72	4181319	88033	3699272	476487	2704	2856	1871028	128468	0	1	96	25.1
re2.debian-gcc	rr	32	32	72	8384853	169851	6305396	916006	694858	468593	3413684	116568	0	1	192	45.3
re2.debian-gcc	shuf	1	1	72	477072	12509	471126	2770	1584	1592	444936	444936	0	1	6	4.8
re2.debian-gcc	shuf	4	4	72	1654632	37979	1262732	185820	130072	76008	765828	198304	0	1	24	9.2
re2.debian-gcc	shuf	8	8	72	2872034	61029	2147512	312760	219396	192366	1171876	149452	0	1	48	14.2
re2.debian-gcc	shuf	16	16	72	4953152	101243	3728177	581823	383482	259670	1953872	131908	0	1	96	24.9
re2.debian-gcc	shuf	32	32	72	8521932	170101	6249473	1094390	757846	420223	3415660	118292	0	1	192	43.3
