cell	policy	W	routes	n_per_build	cf_total	fc_total	build1	build2	build3	build4	rr_degenerate	replays_verified	secs
re2.debian-gcc	sticky	1	1	72	476137	12540	470193	2768	1584	1592	0	1	1.7
re2.debian-gcc	sticky	4	4	72	1204632	27217	1198693	2739	1584	1616	0	1	2.2
re2.debian-gcc	sticky	8	8	72	2090185	44859	2084234	2719	1584	1648	0	1	3.2
re2.debian-gcc	sticky	16	16	72	3705241	77266	3699272	2681	1580	1708	0	1	5.3
re2.debian-gcc	sticky	32	32	72	6311589	131326	6305396	2853	1542	1798	0	1	8.8
re2.debian-gcc	rr	1	1	72	476137	12540	470193	2768	1584	1592	1	1	1.7
re2.debian-gcc	rr	4	4	72	1204632	27217	1198693	2739	1584	1616	1	1	2.2
re2.debian-gcc	rr	8	8	72	2090185	44859	2084234	2719	1584	1648	1	1	3.2
re2.debian-gcc	rr	16	16	72	4181319	88033	3699272	476487	2704	2856	0	1	5.4
re2.debian-gcc	rr	32	32	72	8384853	169851	6305396	916006	694858	468593	0	1	9.7
re2.debian-gcc	shuf	1	1	72	477072	12509	471126	2770	1584	1592	0	1	1.6
re2.debian-gcc	shuf	4	4	72	1654632	37979	1262732	185820	130072	76008	0	1	2.4
re2.debian-gcc	shuf	8	8	72	2872034	61029	2147512	312760	219396	192366	0	1	3.4
re2.debian-gcc	shuf	16	16	72	4953152	101243	3728177	581823	383482	259670	0	1	5.5
re2.debian-gcc	shuf	32	32	72	8521932	170101	6249473	1094390	757846	420223	0	1	9.4
