tu	raw_root_bytes	raw_root_z	global_root_bytes	global_root_z	global_new_blocks	global_blockdef_bytes	global_blockdef_z	global_total_z	winner
0	4696	4021	4678	4003	4	13	31	4034	RAW
1	5145	4454	731	633	57	2277	3820	4453	GLOBAL_S1
2	5412	4717	1008	858	63	2201	3716	4574	GLOBAL_S1
3	4448	3840	431	413	70	2004	3398	3811	GLOBAL_S1
4	4018	3435	199	200	37	1806	3039	3239	GLOBAL_S1
5	5005	4351	320	299	26	2180	3700	3999	GLOBAL_S1
6	4520	3904	182	186	29	2168	3668	3854	GLOBAL_S1
7	4821	4193	530	447	15	2136	3650	4097	GLOBAL_S1
8	99	108	23	32	1	3	15	47	GLOBAL_S1
9	4477	3887	265	275	33	2067	3543	3818	GLOBAL_S1
10	4506	3907	163	172	19	2128	3617	3789	GLOBAL_S1
11	4596	3975	305	305	32	2028	3437	3742	GLOBAL_S1
12	4993	4355	404	355	21	2097	3574	3929	GLOBAL_S1
13	4751	4138	149	152	13	1990	3406	3558	GLOBAL_S1
14	4729	4101	116	125	4	1765	2959	3084	GLOBAL_S1
15	4319	3724	149	158	16	1110	1857	2015	GLOBAL_S1
16	3126	2662	97	106	24	1472	2457	2563	GLOBAL_S1
17	4011	3458	59	68	13	1430	2419	2487	GLOBAL_S1
18	99	108	23	32	0	0	0	32	GLOBAL_S1
19	99	108	9	18	1	73	93	111	RAW
20	156	165	37	46	2	68	77	123	GLOBAL_S1
21	2795	2376	140	142	19	1381	2283	2425	RAW
22	4696	4038	68	77	8	1907	3164	3241	GLOBAL_S1
23	3797	3260	37	46	3	1327	2223	2269	GLOBAL_S1
24	5362	4666	733	579	16	1969	3304	3883	GLOBAL_S1
25	4018	3439	21	30	3	1929	3232	3262	GLOBAL_S1
26	4593	3990	110	113	21	1823	3103	3216	GLOBAL_S1
27	4121	3551	65	74	13	1934	3279	3353	GLOBAL_S1
28	4820	4189	156	156	11	2289	3915	4071	GLOBAL_S1
