id	name	raw	out	ratio	C_MBps	F_MBps	exact	PASS
corpus2	rocksdb	3114320596	4748156	0.7659	1828.3	1402.8	YES	PASS
corpus4	abseil	2581008467	3092778	0.7692	2317.3	1511.6	YES	PASS
corpus	llvm	3620271340	6155748	0.8437	2802.2	1463.6	YES	PASS
corpus5	opencv	4630994774	5370560	0.8536	2754.1	1497.5	YES	PASS
corpus9	catch2	947252235	599895	0.7493	2697.4	1444.0	YES	PASS
corpus11	range-v3	632049016	615713	0.8314	2336.3	1458.1	YES	PASS
corpus12	eigen	3532268956	863115	0.6955	4418.5	1536.6	YES	PASS
corpus22	corpus22	1514916526	1943021	0.8767	2882.6	1493.3	YES	PASS
corpus24	corpus24	2311143894	2653086	0.8400	2903.2	1553.5	YES	PASS
corpus19	corpus19	7050790103	6741617	0.7564	3085.0	1550.1	YES	PASS
corpus21	corpus21	10802074073	6766847	0.7065	3343.3	1556.0	YES	PASS
