id	name	cfg	tus	raw	wp_z19	p29_bsc	out	ratio	p29_ratio	enc_s	C_MBps	dec_s	F_MBps	exact	gate	C	F	PASS
corpus2	rocksdb	u8	622	3114320596	6199621	9823481	4427477	0.7142	1.5845	3.331	891.7	3.686	805.8	YES	PASS	FAIL	FAIL	FAIL
corpus3	duckdb	u8	689	1985715205	7086957	9589726	5692443	0.8032	1.3532	3.163	598.7	3.451	548.8	YES	PASS	FAIL	FAIL	FAIL
corpus4	abseil	u8	700	2581008467	4020529	5863183	2890633	0.7190	1.4583	2.328	1057.3	3.226	762.9	YES	PASS	PASS	FAIL	FAIL
corpus5	opencv	u8	1506	4630994774	6291678	8563234	5083117	0.8079	1.3610	3.770	1171.5	5.211	847.5	YES	PASS	PASS	FAIL	FAIL
corpus6	godot	u8	2207	5932762185	57718953	39589524	48696649	0.8437	0.6859	12.143	465.9	11.959	473.1	YES	PASS	FAIL	FAIL	FAIL
corpus7	fmt	u8	50	136350082	735266	1046398	636236	0.8653	1.4232	0.761	170.9	0.766	169.8	YES	PASS	FAIL	FAIL	FAIL
corpus8	spdlog	u8	34	98384472	469519	539513	422078	0.8990	1.1491	0.389	241.0	0.420	223.2	YES	PASS	FAIL	FAIL	FAIL
corpus9	catch2	u8	857	947252235	800649	1006039	574291	0.7173	1.2565	0.819	1102.6	1.140	792.6	YES	PASS	PASS	FAIL	FAIL
corpus10	json	u8	99	293917707	805297	0	720163	0.8943	0.0000	0.711	394.1	0.789	355.1	YES	PASS	FAIL	FAIL	FAIL
corpus11	range-v3	u8	259	632049016	740552	874082	575045	0.7765	1.1803	0.654	921.5	1.021	590.4	YES	PASS	FAIL	FAIL	FAIL
corpus12	eigen	u8	650	3532268956	1241062	1377958	831035	0.6696	1.1103	1.849	1821.5	4.107	820.3	YES	PASS	PASS	FAIL	FAIL
corpus13	re2	u8	72	110231455	427825	488243	387413	0.9055	1.1412	0.338	311.5	0.318	330.9	YES	PASS	FAIL	FAIL	FAIL
corpus14	leveldb	u8	72	143868249	549315	685350	472966	0.8610	1.2476	0.432	317.6	0.480	285.8	YES	PASS	FAIL	FAIL	FAIL
corpus15	simdjson	u8	153	468377342	1018122	1408595	922116	0.9057	1.3835	1.040	429.6	0.829	538.8	YES	PASS	FAIL	FAIL	FAIL
corpus16	cereal	u8	84	326899429	471206	512588	409679	0.8694	1.0878	0.423	736.8	0.575	542.2	YES	PASS	FAIL	FAIL	FAIL
corpus17	corpus17	u8	780	2542399239	11644348	0	9991806	0.8581	0.0000	4.266	568.4	4.221	574.5	YES	PASS	FAIL	FAIL	FAIL
corpus22	corpus22	u8	364	1514916526	2216220	0	1864882	0.8415	0.0000	1.321	1093.3	1.875	770.4	YES	PASS	PASS	FAIL	FAIL
corpus23	corpus23	u8	297	916009779	2160222	0	1848920	0.8559	0.0000	1.136	768.8	1.398	624.8	YES	PASS	FAIL	FAIL	FAIL
corpus24	corpus24	u8	621	2311143894	3158310	0	2531857	0.8016	0.0000	2.101	1049.0	2.917	755.5	YES	PASS	PASS	FAIL	FAIL
corpus19	corpus19	u8	1205	7050790103	8912186	0	6479431	0.7270	0.0000	4.252	1581.4	7.749	867.8	YES	PASS	PASS	FAIL	FAIL
corpus21	corpus21	u8	1742	10802074073	9577844	0	6435274	0.6719	0.0000	6.007	1714.9	10.893	945.7	YES	PASS	PASS	FAIL	FAIL
corpus	llvm	u8	1238	3620271340	7296438	9328055	5907203	0.8096	1.2784	3.044	1134.1	4.277	807.3	YES	PASS	PASS	FAIL	FAIL
