corpus	tus	M	wire	cf_total	fc_total	cf_root	cf_fill	cf_control	cf_carry	fc_carry	carry_undirected	missing	wall_s	split_ok	dir_ok
corpus16	84	1	1120409	1108667	11742	376533	731601	504	29	165	0	5187	0.517929	84/84	84/84
corpus16	84	2	1876495	1855569	20926	394182	1460825	504	58	330	0	10210	0.533694	84/84	84/84
corpus16	84	4	3200526	3162974	37552	410849	2751505	504	116	660	0	19339	0.675962	84/84	84/84
corpus16	84	8	5807880	5737579	70301	444556	5292287	504	232	1320	0	37218	0.828451	84/84	84/84
corpus16	84	16	11057662	10922909	134753	509708	10412233	504	464	2640	0	72506	1.177117	84/84	84/84
corpus16	84	30	20217591	19970035	247556	623699	19344962	504	870	4950	0	134260	2.008389	84/84	84/84
corpus11	259	1	1820664	1794129	26535	682111	1110303	1685	30	165	0	10451	0.856065	259/259	259/259
corpus11	259	2	2743022	2704716	38306	816127	1886844	1685	60	330	0	16912	1.082305	259/259	259/259
corpus11	259	4	4426648	4366363	60285	973097	3391461	1685	120	660	0	29144	1.209503	259/259	259/259
corpus11	259	8	7076645	6981504	95141	1100740	5878839	1685	240	1320	0	48410	1.393160	259/259	259/259
corpus11	259	16	11697241	11540504	156737	1228149	10310190	1685	480	2640	0	82116	1.716256	259/259	259/259
corpus11	259	30	18524428	18277708	246720	1296932	16978191	1685	900	4950	0	131651	2.327473	259/259	259/259
corpus9	857	1	2384393	2304172	80221	1134676	1163595	5871	30	165	0	30135	1.311761	857/857	857/857
corpus9	857	2	3526439	3434155	92284	1480381	1947843	5871	60	330	0	36752	1.706552	857/857	857/857
corpus9	857	4	5493943	5380433	113510	1941327	3433115	5871	120	660	0	48336	1.798625	857/857	857/857
corpus9	857	8	8010182	7864635	145547	2001303	5857221	5871	240	1320	0	66162	2.062479	857/857	857/857
corpus9	857	16	12291101	12090883	200218	2043396	10041136	5871	480	2640	0	96763	2.283930	857/857	857/857
corpus9	857	30	19078143	18791057	287086	2198732	16585554	5871	900	4950	0	145502	2.773038	857/857	857/857
corpus12	650	1	3289527	3246490	43037	1362464	1879574	4422	30	165	0	13156	4.242880	650/650	650/650
corpus12	650	2	5591009	5525800	65209	2207368	3313950	4422	60	330	0	25441	4.680647	650/650	650/650
corpus12	650	4	9926621	9818578	108043	3724275	6089761	4422	120	660	0	49060	4.612043	650/650	650/650
corpus12	650	8	17208713	17029852	178861	5988351	11036839	4422	240	1320	0	87507	5.121107	650/650	650/650
corpus12	650	16	28157683	27835978	321705	7466806	20364270	4422	480	2640	0	165340	5.835931	650/650	650/650
corpus12	650	30	42029723	41509630	520093	8089346	33414962	4422	900	4950	0	270823	6.954470	650/650	650/650
corpus3	689	1	13089408	12614529	474879	3088872	9520932	4695	30	165	0	210074	3.546436	689/689	689/689
corpus3	689	2	15994320	15486339	507981	3330804	12150780	4695	60	330	0	226537	3.843204	689/689	689/689
corpus3	689	4	20788783	20230753	558030	3585630	16640308	4695	120	660	0	251979	4.165404	689/689	689/689
corpus3	689	8	27705253	27067649	637604	3879141	23183573	4695	240	1320	0	293343	4.627539	689/689	689/689
corpus3	689	16	39467178	38699558	767620	4183491	34510892	4695	480	2640	0	362973	5.520117	689/689	689/689
corpus3	689	30	55090705	54132979	957726	4444351	49683033	4695	900	4950	0	465872	6.666058	689/689	689/689
corpus2	622	1	15692955	14336935	1356020	6402651	7930028	4226	30	165	0	641506	4.815653	622/622	622/622
corpus2	622	2	17771659	16379290	1392369	6837067	9537937	4226	60	330	0	657983	4.989385	622/622	622/622
corpus2	622	4	21151214	19693546	1457668	7235212	12453988	4226	120	660	0	687048	5.062875	622/622	622/622
corpus2	622	8	26831854	25269808	1562046	7558195	17707147	4226	240	1320	0	734712	5.436954	622/622	622/622
corpus2	622	16	37153351	35411074	1742277	7861514	27544854	4226	480	2640	0	820457	6.652178	622/622	622/622
corpus2	622	30	54028700	51996891	2031809	7994812	43996953	4226	900	4950	0	960602	8.262725	622/622	622/622
corpus	1238	1	14614029	14439915	174114	4407729	10023618	8538	30	165	0	62318	5.587203	1238/1238	1238/1238
corpus	1238	2	17935020	17724104	210916	5015321	12700185	8538	60	330	0	80398	5.837978	1238/1238	1238/1238
corpus	1238	4	23170469	22897858	272611	5580157	17309043	8538	120	660	0	111259	5.985115	1238/1238	1238/1238
corpus	1238	8	31981289	31604373	376916	6169726	25425869	8538	240	1320	0	164451	6.696114	1238/1238	1238/1238
corpus	1238	16	46759215	46207254	551961	6771059	39427177	8538	480	2640	0	255008	7.405849	1238/1238	1238/1238
corpus	1238	30	68150955	67341429	809526	7250759	60081232	8538	900	4950	0	390328	8.733324	1238/1238	1238/1238
corpus6	2207	1	62871696	62579307	292389	3984833	58579123	15321	30	165	0	102838	12.585046	2207/2207	2207/2207
corpus6	2207	2	70393535	70025796	367739	4758041	65252374	15321	60	330	0	139282	13.201639	2207/2207	2207/2207
corpus6	2207	4	81926432	81442848	483584	5700759	75726648	15321	120	660	0	196289	13.661146	2207/2207	2207/2207
corpus6	2207	8	99170912	98507383	663529	6716660	91775162	15321	240	1320	0	285510	14.663595	2207/2207	2207/2207
corpus6	2207	16	124753045	123828462	924583	7672927	116139734	15321	480	2640	0	415983	15.642479	2207/2207	2207/2207
corpus6	2207	30	157822682	156562992	1259690	8584758	147962013	15321	900	4950	0	584043	17.504120	2207/2207	2207/2207
