corpus	name	mode	K	raw	wp_z19	out	ratio	nseg	enc_s	enc_MBps	dec_MBps	exact
corpus9	catch2	cold	0	947252235	800649	572023	0.7144	1	0.521	1735.2	1175.8	YES
corpus9	catch2	frame	112	947252235	800649	598546	0.7476	8	0.518	1743.3	1184.7	YES
corpus9	catch2	bound	112	947252235	800649	2394897	2.9912	8	1.290	700.1	659.5	YES
corpus9	catch2	frame	224	947252235	800649	585758	0.7316	4	0.538	1678.2	1210.0	YES
corpus9	catch2	bound	224	947252235	800649	1591377	1.9876	4	0.945	956.3	820.3	YES
corpus9	catch2	frame	448	947252235	800649	577907	0.7218	2	0.516	1751.7	1206.1	YES
corpus9	catch2	bound	448	947252235	800649	932771	1.1650	2	0.706	1279.0	996.8	YES
corpus3	corpus3	cold	0	1985715205	7086957	5797042	0.8180	1	3.858	490.8	539.0	YES
corpus3	corpus3	frame	112	1985715205	7086957	5812563	0.8202	7	3.430	552.2	557.3	YES
corpus3	corpus3	bound	112	1985715205	7086957	8280372	1.1684	7	4.659	406.4	431.5	YES
corpus3	corpus3	frame	224	1985715205	7086957	5806055	0.8193	4	3.538	535.3	543.8	YES
corpus3	corpus3	bound	224	1985715205	7086957	6893370	0.9727	4	4.110	460.7	480.2	YES
corpus3	corpus3	frame	448	1985715205	7086957	5820815	0.8213	2	3.563	531.5	532.9	YES
corpus3	corpus3	bound	448	1985715205	7086957	6345594	0.8954	2	3.849	492.0	511.3	YES
corpus4	corpus4	cold	0	2581008467	4020529	2858296	0.7109	1	2.212	1112.9	916.2	YES
corpus4	corpus4	frame	112	2581008467	4020529	2944245	0.7323	7	2.154	1142.6	942.8	YES
corpus4	corpus4	bound	112	2581008467	4020529	5126720	1.2751	7	3.114	790.5	717.4	YES
corpus4	corpus4	frame	224	2581008467	4020529	2914260	0.7248	4	3.658	672.8	737.6	YES
corpus4	corpus4	bound	224	2581008467	4020529	3940588	0.9801	4	6.089	404.3	707.0	YES
corpus4	corpus4	frame	448	2581008467	4020529	2886623	0.7180	2	2.212	1112.6	964.3	YES
corpus4	corpus4	bound	448	2581008467	4020529	3125046	0.7773	2	2.323	1059.5	918.8	YES
corpus2	corpus2	cold	0	3114320596	6199621	4364306	0.7040	1	3.953	751.4	759.7	YES
corpus2	corpus2	frame	112	3114320596	6199621	4434743	0.7153	6	3.806	780.4	772.8	YES
corpus2	corpus2	bound	112	3114320596	6199621	6979157	1.1257	6	5.042	589.0	610.2	YES
corpus2	corpus2	frame	224	3114320596	6199621	4400745	0.7098	3	3.884	764.6	754.9	YES
corpus2	corpus2	bound	224	3114320596	6199621	5516561	0.8898	3	4.746	625.9	666.9	YES
corpus2	corpus2	frame	448	3114320596	6199621	4374661	0.7056	2	3.906	760.3	749.0	YES
corpus2	corpus2	bound	448	3114320596	6199621	4909767	0.7919	2	4.230	702.1	684.9	YES
