project	profile	compiler	stdlib	tus	raw_bytes	p29_cold_local_oracle	p29_cold_grouprlz	match
catch2	debian-gcc	gcc-12.2.0	libstdc++-12	861	873426739	980948	980948	OK
catch2	conan-gcc	gcc-14.2.0	libstdc++-14	861	946329192	997764	997764	OK
catch2	linuxbrew	clang-22.1.8	libstdc++-12	861	909464733	940928	n/a	n/a
catch2	fedora-clang-libcxx	clang-20.1.8	libc++	861	2.6611e+09	1144373	1144373	OK
cereal	debian-gcc	gcc-12.2.0	libstdc++-12	80	273782205	466846	466846	OK
cereal	conan-gcc	gcc-14.2.0	libstdc++-14	80	278081296	476962	476962	OK
cereal	linuxbrew	clang-22.1.8	libstdc++-12	80	280493336	470950	n/a	n/a
cereal	fedora-clang-libcxx	clang-20.1.8	libc++	80	375959867	497514	497514	OK
eigen	debian-gcc	gcc-12.2.0	libstdc++-12	1516	8.09496e+09	2375000	2375000	OK
eigen	conan-gcc	gcc-14.2.0	libstdc++-14	1516	8.18933e+09	2378579	2378579	OK
eigen	linuxbrew	clang-22.1.8	libstdc++-12	1522	8.15249e+09	2309107	n/a	n/a
eigen	fedora-clang-libcxx	clang-20.1.8	libc++	1522	1.00968e+10	2319462	2319462	OK
fmt	debian-gcc	gcc-12.2.0	libstdc++-12	51	128551487	1010534	1010534	OK
fmt	conan-gcc	gcc-14.2.0	libstdc++-14	51	131371127	1028826	1028826	OK
fmt	linuxbrew	clang-22.1.8	libstdc++-12	51	129410391	760746	n/a	n/a
fmt	fedora-clang-libcxx	clang-20.1.8	libc++	51	192626053	781881	781881	OK
leveldb	debian-gcc	gcc-12.2.0	libstdc++-12	94	174821287	912888	912888	OK
leveldb	conan-gcc	gcc-14.2.0	libstdc++-14	94	178753005	925735	925735	OK
leveldb	linuxbrew	clang-22.1.8	libstdc++-12	94	180059857	785212	n/a	n/a
leveldb	fedora-clang-libcxx	clang-20.1.8	libc++	94	321953631	942756	942756	OK
nlohmann-json	debian-gcc	gcc-12.2.0	libstdc++-12	99	288512502	1130538	1130538	OK
nlohmann-json	conan-gcc	gcc-14.2.0	libstdc++-14	99	296219113	1200555	1200555	OK
nlohmann-json	linuxbrew	clang-22.1.8	libstdc++-12	99	296702050	1271082	n/a	n/a
nlohmann-json	fedora-clang-libcxx	clang-20.1.8	libc++	99	428239197	1436017	1436017	OK
opencv	debian-gcc	gcc-12.2.0	libstdc++-12	1500	3.52407e+09	6781623	6781623	OK
opencv	conan-gcc	gcc-14.2.0	libstdc++-14	1500	3.5981e+09	6797670	6797670	OK
opencv	linuxbrew	clang-22.1.8	libstdc++-12	1485	3.61059e+09	6054695	n/a	n/a
opencv	fedora-clang-libcxx	clang-20.1.8	libc++	1500	5.25253e+09	6145513	6145513	OK
range-v3	debian-gcc	gcc-12.2.0	libstdc++-12	537	866488941	840585	840585	OK
range-v3	conan-gcc	gcc-14.2.0	libstdc++-14	537	912083285	848333	848333	OK
range-v3	linuxbrew	clang-22.1.8	libstdc++-12	575	1043257878	893451	n/a	n/a
range-v3	fedora-clang-libcxx	clang-20.1.8	libc++	575	2005784147	936761	936761	OK
re2	debian-gcc	gcc-12.2.0	libstdc++-12	72	84637328	453398	453398	OK
re2	conan-gcc	gcc-14.2.0	libstdc++-14	72	87032434	462569	462569	OK
re2	linuxbrew	clang-22.1.8	libstdc++-12	72	88654287	434331	n/a	n/a
re2	fedora-clang-libcxx	clang-20.1.8	libc++	72	217114604	500795	500795	OK
rocksdb	debian-gcc	gcc-12.2.0	libstdc++-12	418	1804295565	2469686	2469686	OK
rocksdb	conan-gcc	gcc-14.2.0	libstdc++-14	418	1995458263	2555954	2555954	OK
rocksdb	linuxbrew	clang-22.1.8	libstdc++-12	418	1843673630	2278544	n/a	n/a
rocksdb	fedora-clang-libcxx	clang-20.1.8	libc++	418	2.40732e+09	2281173	2281173	OK
spdlog	debian-gcc	gcc-12.2.0	libstdc++-12	168	255841435	701952	701952	OK
spdlog	conan-gcc	gcc-14.2.0	libstdc++-14	168	262532575	714320	714320	OK
spdlog	linuxbrew	clang-22.1.8	libstdc++-12	168	263293064	696845	n/a	n/a
spdlog	fedora-clang-libcxx	clang-20.1.8	libc++	168	537083605	773914	773914	OK
