corpus	mode	raw	input_sha	wp_z19long	archive_bytes	ratio_vs_z19	wall_s	peak_rss_kb	archive_sha	decoded_sha	byte_exact
duckdb	n	1985715205	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	7086957	30529635	4.308	0:42.63	2036480	70eb342478c973a4fbba75a5b7dd772f3573eb051ad98dcb4e25fe4c80d3050c	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	OK
duckdb	lzma	1985715205	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	7086957	7163215	1.011	0:49.79	2037248	06ded73b19e5b6e20ce12e1a7284e32abd4fb4185202251c1b88c8039a41c2eb	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	OK
duckdb	zpaq	1985715205	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	7086957	5778055	0.815	1:27.81	2037760	b40d7a589ccf3e46834f3931d26248a4b2a2921f04fabb81d03afbdb7f81ba09	6aae472c454b4804bd34b3485826764e68fb0c1734fb566a7a5d491dfa9a5467	OK
rocksdb	n	3114320596	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	6199621	22592299	3.644	1:40.72	3134976	1086ea78b3ad6f0df8ab77c293dd729fb6f1c916e7de1e8d96508bc6627a1242	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	OK
rocksdb	lzma	3114320596	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	6199621	6503786	1.049	1:44.64	3135744	e8a12dcd26a249fb74d6e8b44a54aa447af2a7a9d60b7e11ef86b5ecf19380b0	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	OK
rocksdb	zpaq	3114320596	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	6199621	5477082	0.883	2:06.58	3135488	0cfbdaa3b689e0f4cde743fe6857eeee99545daf62a9c10d2f8a396591616bdd	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	OK
abseil	n	2581008467	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	4020529	13986695	3.479	0:58.71	2690304	0b9355777b7bef4c3ae3e0343000edeac8f14c0a79106aa369383ce6aa5c439d	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	OK
abseil	lzma	2581008467	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	4020529	3901944	0.971	1:01.20	2691072	70dd5d2f61ecc631d2a750cd5505b7125c04094db4483f481ecc3da4976e6b5b	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	OK
abseil	zpaq	2581008467	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	4020529	3299454	0.821	1:16.43	2690304	b176c5df48bd024cf63b842fc860499e68c0aec9835abf0c1e0e0a01bf2572c0	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	OK
DONE
