tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	p29_this_tu	p29_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	saving_vs_p29_cumulative	exact	state_bytes
0	839260	839260	0	0	141269	141269	87856	87856	124223	124223	-124223	17046	-36367	1	837442
1	5434195	6273455	0	0	686659	827928	577062	664918	607119	731342	-731342	96586	-66424	1	5434741
2	5434195	11707650	0	0	51	827979	51	664969	51	731393	-731393	96586	-66424	1	5434741
3	4094994	15802644	0	0	26003	853982	25973	690942	28404	759797	-759797	94185	-68855	1	5675517
4	4089591	19892235	0	0	295	854277	294	691236	289	760086	-760086	94191	-68850	1	5676292
5	3444471	23336706	0	0	25505	879782	22605	713841	22617	782703	-782703	97079	-68862	1	5872690
6	3790236	27126942	0	0	26635	906417	26679	740520	23623	806326	-806326	100091	-65806	1	6052623
7	4336012	31462954	0	0	81025	987442	78402	818922	70150	876476	-876476	110966	-57554	1	6547673
8	3546232	35009186	0	0	8593	996035	8566	827488	7916	884392	-884392	111643	-56904	1	6597950
9	3274307	38283493	0	0	2584	998619	2612	830100	2589	886981	-886981	111638	-56881	1	6618790
10	3879853	42163346	0	0	753	999372	770	830870	805	887786	-887786	111586	-56916	1	6621981
11	4098549	46261895	0	0	24390	1023762	24393	855263	20321	908107	-908107	115655	-52844	1	6813551
12	3449557	49711452	0	0	6314	1030076	6338	861601	5631	913738	-913738	116338	-52137	1	6855736
13	3879853	53591305	0	0	53	1030129	53	861654	53	913791	-913791	116338	-52137	1	6855736
14	4098549	57689854	0	0	53	1030182	53	861707	53	913844	-913844	116338	-52137	1	6855736
15	3449557	61139411	0	0	53	1030235	53	861760	53	913897	-913897	116338	-52137	1	6855736
16	3400600	64540011	0	0	4120	1034355	4108	865868	3839	917736	-917736	116619	-51868	1	6882999
17	3320861	67860872	0	0	1542	1035897	1545	867413	1470	919206	-919206	116691	-51793	1	6891250
18	3210935	71071807	0	0	1700	1037597	1687	869100	1696	920902	-920902	116695	-51802	1	6900522
19	3863336	74935143	0	0	29260	1066857	29316	898416	24097	944999	-944999	121858	-46583	1	7155252
20	4164315	79099458	0	0	52288	1119145	52165	950581	47702	992701	-992701	126444	-42120	1	7431663
21	3207457	82306915	0	0	1437	1120582	1440	952021	1433	994134	-994134	126448	-42113	1	7442714
22	4213723	86520638	0	0	13978	1134560	13997	966018	12183	1006317	-1006317	128243	-40299	1	7520457
23	4090556	90611194	0	0	38412	1172972	38386	1004404	34072	1040389	-1040389	132583	-35985	1	7768283
24	3445172	94056366	0	0	7607	1180579	7615	1012019	6982	1047371	-1047371	133208	-35352	1	7816159
25	3612425	97668791	0	0	16485	1197064	16480	1028499	15044	1062415	-1062415	134649	-33916	1	7955380
26	3327247	100996038	0	0	1820	1198884	1824	1030323	1676	1064091	-1064091	134793	-33768	1	7970011
