tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
0	7069925	7069925	0	0	1038046	1038046	1098812	1098812	-1098812	-60766	1	7053582
1	4103275	11173200	0	0	14438	1052484	15295	1114107	-1114107	-61623	1	7184680
2	7176133	18349333	0	0	23429	1075913	24625	1138732	-1138732	-62819	1	7392503
3	6224340	24573673	0	0	15057	1090970	15810	1154542	-1154542	-63572	1	7559815
4	8166516	32740189	0	0	97529	1188499	101135	1255677	-1255677	-67178	1	8684455
5	6348398	39088587	0	0	14667	1203166	14760	1270437	-1270437	-67271	1	8860162
6	7789896	46878483	0	0	78954	1282120	81287	1351724	-1351724	-69604	1	9570653
7	3233616	50112099	0	0	5213	1287333	5378	1357102	-1357102	-69769	1	9627601
8	5851842	55963941	0	0	15120	1302453	15511	1372613	-1372613	-70160	1	9798160
9	6238873	62202814	0	0	9350	1311803	9630	1382243	-1382243	-70440	1	9895109
10	3218884	65421698	0	0	3572	1315375	3564	1385807	-1385807	-70432	1	9939912
11	6381050	71802748	0	0	18716	1334091	19396	1405203	-1405203	-71112	1	10176564
12	5611209	77413957	0	0	7627	1341718	7960	1413163	-1413163	-71445	1	10266341
13	7574081	84988038	0	0	38911	1380629	38959	1452122	-1452122	-71493	1	10770381
14	7652092	92640130	0	0	65475	1446104	65822	1517944	-1517944	-71840	1	11362757
15	24011	92664141	0	0	973	1447077	1007	1518951	-1518951	-71874	1	11368090
16	24039	92688180	0	0	285	1447362	319	1519270	-1519270	-71908	1	11368899
17	6349276	99037456	0	0	14318	1461680	14579	1533849	-1533849	-72169	1	11547292
18	6803954	105841410	0	0	12493	1474173	12861	1546710	-1546710	-72537	1	11659924
19	7471485	113312895	0	0	29786	1503959	30726	1577436	-1577436	-73477	1	11961947
20	23828	113336723	0	0	272	1504231	279	1577715	-1577715	-73484	1	11962545
21	3789287	117126010	0	0	12073	1516304	12405	1590120	-1590120	-73816	1	12145501
22	6342375	123468385	0	0	16173	1532477	16322	1606442	-1606442	-73965	1	12309263
23	6258057	129726442	0	0	26566	1559043	27617	1634059	-1634059	-75016	1	12599496
24	3474858	133201300	0	0	12599	1571642	13336	1647395	-1647395	-75753	1	12766472
25	7039799	140241099	0	0	13807	1585449	14353	1661748	-1661748	-76299	1	12910177
26	3303754	143544853	0	0	1756	1587205	1773	1663521	-1663521	-76316	1	12926359
27	3072809	146617662	0	0	3745	1590950	3953	1667474	-1667474	-76524	1	12986948
28	7792239	154409901	0	0	57903	1648853	59036	1726510	-1726510	-77657	1	13740606
29	6254866	160664767	0	0	7674	1656527	7821	1734331	-1734331	-77804	1	13829193
30	6287332	166952099	0	0	9359	1665886	9490	1743821	-1743821	-77935	1	13949700
31	4536210	171488309	0	0	14384	1680270	15264	1759085	-1759085	-78815	1	14101227
32	8107854	179596163	0	0	78049	1758319	79066	1838151	-1838151	-79832	1	15067072
33	7076256	186672419	0	0	15985	1774304	16576	1854727	-1854727	-80423	1	15254260
34	5487586	192160005	0	0	4233	1778537	4413	1859140	-1859140	-80603	1	15300322
35	7389537	199549542	0	0	49337	1827874	49716	1908856	-1908856	-80982	1	15953983
36	7130980	206680522	0	0	15743	1843617	15931	1924787	-1924787	-81170	1	16111046
37	7325119	214005641	0	0	32180	1875797	31885	1956672	-1956672	-80875	1	16455539
38	8429800	222435441	0	0	102988	1978785	103507	2060179	-2060179	-81394	1	18006816
39	8200336	230635777	0	0	72989	2051774	72987	2133166	-2133166	-81392	1	19049113
40	5437100	236072877	0	0	5850	2057624	5989	2139155	-2139155	-81531	1	19125174
41	6260569	242333446	0	0	10232	2067856	10673	2149828	-2149828	-81972	1	19218927
42	6811262	249144708	0	0	36060	2103916	36253	2186081	-2186081	-82165	1	19733887
43	7622579	256767287	0	0	49580	2153496	49436	2235517	-2235517	-82021	1	20262453
44	6603791	263371078	0	0	34781	2188277	36041	2271558	-2271558	-83281	1	20651915
45	5641210	269012288	0	0	14689	2202966	14851	2286409	-2286409	-83443	1	20739661
46	7504302	276516590	0	0	34576	2237542	34929	2321338	-2321338	-83796	1	21139638
47	3837985	280354575	0	0	5038	2242580	5536	2326874	-2326874	-84294	1	21179174
48	6818735	287173310	0	0	14596	2257176	14759	2341633	-2341633	-84457	1	21373715
49	7176383	294349693	0	0	11385	2268561	11512	2353145	-2353145	-84584	1	21520887
50	23896	294373589	0	0	229	2268790	229	2353374	-2353374	-84584	1	21521553
51	7933729	302307318	0	0	61112	2329902	62034	2415408	-2415408	-85506	1	22277456
52	6545807	308853125	0	0	11531	2341433	11798	2427206	-2427206	-85773	1	22416084
53	9246475	318099600	0	0	153773	2495206	155083	2582289	-2582289	-87083	1	24290262
54	7889281	325988881	0	0	59707	2554913	59230	2641519	-2641519	-86606	1	25071239
55	7291990	333280871	0	0	18858	2573771	18910	2660429	-2660429	-86658	1	25331794
56	7018789	340299660	0	0	1992	2575763	2078	2662507	-2662507	-86744	1	25351549
57	7675843	347975503	0	0	41474	2617237	41940	2704447	-2704447	-87210	1	25901774
58	7893651	355869154	0	0	58206	2675443	57882	2762329	-2762329	-86886	1	26664422
59	7760129	363629283	0	0	45204	2720647	45021	2807350	-2807350	-86703	1	27198706
60	8829865	372459148	0	0	102554	2823201	102657	2910007	-2910007	-86806	1	28584738
61	7029464	379488612	0	0	3096	2826297	3205	2913212	-2913212	-86915	1	28614152
62	7310945	386799557	0	0	25814	2852111	25696	2938908	-2938908	-86797	1	28892524
