dataset	project	generation	probe_tus	probe_raw_bytes	p29_probe_trajectory	p29_probe_literal_wire_fraction	p29_probe_root_missing_wire_fraction	choice	complete_winner	p29_complete_bytes	grz_complete_bytes	selected_bytes	regret_bytes	correct
matrix44	catch2	conan-gcc	112	118829028	0.08864348593278132	0.586396649698722	0.05240256703971642	grz	grz	997420	630989	630989	0	True
matrix44	catch2	debian-gcc	112	109442687	0.09115667210663966	0.5842806779405388	0.051915950790448834	grz	grz	980640	627742	627742	0	True
matrix44	catch2	fedora-clang-libcxx	112	341583853	0.059665382499963414	0.5733749750223873	0.08987130053803628	grz	grz	1144702	1074972	1074972	0	True
matrix44	catch2	linuxbrew	112	114071620	0.08985673594277067	0.5860899138762458	0.04856939814893149	grz	grz	940671	611125	611125	0	True
matrix44	cereal	conan-gcc	80	278081296	0.040473444883360736	0.6361920183913446	0.042525789414069544	p29	grz	476746	380387	476746	96359	False
matrix44	cereal	debian-gcc	80	273782205	0.042463172346525	0.6341395476400662	0.04185486428344918	p29	grz	466708	374637	466708	92071	False
matrix44	cereal	fedora-clang-libcxx	80	375959867	0.039117151603860624	0.6085895431474119	0.08738060880228476	grz	grz	498257	381779	381779	0	True
matrix44	cereal	linuxbrew	80	280493336	0.038565507277551196	0.6245569776158229	0.04851851615903574	p29	grz	470913	376529	470913	94384	False
matrix44	eigen	conan-gcc	112	574402121	0.0581632756785903	0.6303867640534132	0.04826559674826226	p29	p29	2379861	4329139	2379861	0	True
matrix44	eigen	debian-gcc	112	567281332	0.058615355134883446	0.6292792386315099	0.047175248305028665	p29	p29	2376519	3932160	2376519	0	True
matrix44	eigen	fedora-clang-libcxx	112	712973255	0.09580638463698905	0.634912582494362	0.05489016893185078	p29	p29	2320794	4864106	2320794	0	True
matrix44	eigen	linuxbrew	112	571048074	0.10184028841950095	0.6497257250791507	0.030695058158027373	p29	p29	2309461	3874615	2309461	0	True
matrix44	fmt	conan-gcc	51	131371127	0.23583958763934573	0.46443714406998166	0.1565822483257993	grz	grz	1020039	676267	676267	0	True
matrix44	fmt	debian-gcc	51	128551487	0.24267936818430785	0.4606817619388841	0.15778677323400125	grz	grz	1006187	665724	665724	0	True
matrix44	fmt	fedora-clang-libcxx	51	192626053	0.17741506963551423	0.6243989264308935	0.05711443827871427	grz	grz	783182	600948	600948	0	True
matrix44	fmt	linuxbrew	51	129410391	0.1898738395283004	0.634313811826466	0.02825902087092988	grz	grz	760819	595186	595186	0	True
matrix44	leveldb	conan-gcc	94	178753005	0.26402808685354373	0.48613851218048854	0.10884659665205476	grz	grz	925045	621537	621537	0	True
matrix44	leveldb	debian-gcc	94	174821287	0.2646474151122427	0.481920153696513	0.10844727702984998	grz	grz	911927	612569	612569	0	True
matrix44	leveldb	fedora-clang-libcxx	94	321953631	0.5439782684454627	0.5074968091372352	0.06449190996003887	grz	grz	945669	621604	621604	0	True
matrix44	leveldb	linuxbrew	94	180059857	0.2707459708862912	0.5659296722998095	0.039517311982397704	grz	grz	785352	575702	575702	0	True
matrix44	nlohmann-json	conan-gcc	99	296219113	0.13373088303598143	0.49834266640277947	0.057610013521447206	grz	grz	1202534	802802	802802	0	True
matrix44	nlohmann-json	debian-gcc	99	288512502	0.14063086743869335	0.496396457627373	0.054970681773445974	grz	grz	1132913	760359	760359	0	True
matrix44	nlohmann-json	fedora-clang-libcxx	99	428239197	0.12126820423946551	0.4158548678355085	0.12720845351713772	grz	grz	1437035	881905	881905	0	True
matrix44	nlohmann-json	linuxbrew	99	296702050	0.1556956838122519	0.44015978552784385	0.11915006293676622	grz	grz	1272706	808811	808811	0	True
matrix44	opencv	conan-gcc	112	34448996	0.4412139014779751	0.5507786785850397	0.054888611717423694	grz	grz	6795281	6251815	6251815	0	True
matrix44	opencv	debian-gcc	112	33330108	0.447572539728994	0.5466659300591128	0.05380697199049776	grz	grz	6779047	6229483	6229483	0	True
