id	name	total_tus	total_raw_bytes	probe_tus	probe_raw_bytes	probe_wire_bytes	probe_group_count	probe_framing_bytes	probe_add_bytes	probe_add_bpr	probe_wire_bpr	probe_anchor_samples	probe_anchor_matches	probe_anchor_sample_per_raw	probe_anchor_occupied_fraction	probe_anchor_usable_fraction	probe_anchor_match_fraction	probe_anchor_collision_fraction	probe_close_reasons	diagnostic_encode_bps	diagnostic_decode_bps	manifest_sha256	grz_source_sha256	grz_binary_sha256	exact
corpus	llvm	1238	3620271340	112	404433872	1216863	1	108	10503570	0.025971044284836757	0.003008805849970944	168172	4594	0.0004158207599387224	0.0653913850105844	0.0653913850105844	0.4177502955351459	0.582249704464854	tu	823292673	463736409	33392b9cdb4a21c8148ece5bc4862463d87cbe3a056bc78a2d904eac66996bdf	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus2	rocksdb	622	3114320596	112	739716080	2240515	2	108	60976327	0.08243206907169032	0.0030288850825035464	959801	8695	0.001297526207622795	0.20501958218422361	0.20501958218422361	0.044186850156013376	0.9558131498439866	raw,tu	749050057	432394284	83fe864eb8006a7260cd77d54add1d34a6308332c0a3db14c7a84d96e2f26d79	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus3	duckdb	689	1985715205	112	363349979	1426541	1	108	12123824	0.033366794277425844	0.003926079764545686	192505	3593	0.0005298060028235201	0.06272564348977949	0.06272564348977949	0.2975569358178054	0.7024430641821946	tu	769626119	417546635	bc40a2938860448eb56bbc1bdd9d2e63333c25f54ecc42189d02d0beaae66492	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus4	abseil	700	2581008467	112	318073203	1049447	1	108	24259140	0.07626904678291933	0.003299388285784012	386279	9900	0.0012144342759990378	0.1111787076180688	0.1111787076180688	0.23052205094770176	0.7694779490522983	tu	692653334	452300454	5348f60dd573dd36e0aba6e7b9de72bd739bc921fcc6ef5de56f1f98481dfc2d	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus5	opencv	1506	4630994774	112	121562194	619617	1	108	6657641	0.05476736459692394	0.005097119257324362	99253	2627	0.0008164791760833142	0.0593936707202805	0.0593936707202805	0.44563189143341814	0.5543681085665818	tu	459755675	398136565	73a378f36fc214e5e8cc2540e64098fab1bdf7127d4af3e1b0dd0eb03b37a637	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus6	godot	2207	5932762185	112	219324625	951136	1	108	8502361	0.038766102985471874	0.004336658503348632	135899	3897	0.000619624905320139	0.059448561063731156	0.059448561063731156	0.4823616784255477	0.5176383215744523	tu	555583747	418412716	e01a44c95474e5728138aa4eaf918e67146ce21457b12731806470de8eb0bd15	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus7	fmt	50	136350082	50	136350082	662261	1	108	9510394	0.06974982237267742	0.00485706345229774	151144	2836	0.0011084995167072948	0.05246652199227227	0.05246652199227227	0.35762925598991174	0.6423707440100883	tu	433963005	384541521	70d4565e16d9bd4aed1ec151a092f198662badd7e23dde070fab1ec4d3ce69a6	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus8	spdlog	34	98384472	34	98384472	436106	1	108	4352797	0.044242723587518976	0.0044326710418286334	68718	877	0.0006984638795439182	0.029933932885124713	0.029933932885124713	0.42634905201750123	0.5736509479824988	tu	522983512	422365523	a6a4b0404427fa483a8143f98f830e833699c9bb1b356fceee899d7277bcb959	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus9	catch2	857	947252235	112	118479871	388887	1	108	3692933	0.03116928613131255	0.0032823043840079806	59562	2018	0.0005027183056267845	0.04724488768006447	0.04724488768006447	0.7171286425017769	0.2828713574982232	tu	655560741	454491731	ebd0367f21cd340b52dc0d7cbdd3d7d1f3d340de3e0c7d8af8be5a7d23501305	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
corpus10	nlohmann-json	99	293917707	99	293917707	743198	1	108	9980078	0.0339553479164833	0.002528592127319502	162106	7963	0.0005515353316226028	0.08521584642147731	0.08521584642147731	0.5764441870566093	0.4235558129433908	tu	792945098	476258495	2fe6eb460dc1597f021e36e5c7fa845f786b3425e77ff7231ef2f556a8cbaec7	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True
