project	profile	total_tus	raw_bytes	probe_tus	probe_raw_bytes	p29_probe_bytes	grz_probe_bytes	p29_complete_bytes	grz_complete_bytes	z19_long_bytes	z6_long_bytes	complete_winner	fixed_500m_choice	fixed_500m_bytes	p29_source_sha256	p29_binary_sha256	grz_source_sha256	grz_binary_sha256	prefix_identity	exact	p29_probe_wire_bpr	p29_probe_first_half_wire_bpr	p29_probe_last_quarter_wire_bpr	p29_probe_trajectory	p29_probe_region_control_raw_bytes	p29_probe_region_control_raw_fraction	p29_probe_literal_raw_bytes	p29_probe_literal_raw_fraction	p29_probe_array_control_raw_bytes	p29_probe_array_control_raw_fraction	p29_probe_array_values_raw_bytes	p29_probe_array_values_raw_fraction	p29_probe_source_control_raw_bytes	p29_probe_source_control_raw_fraction	p29_probe_source_files_raw_bytes	p29_probe_source_files_raw_fraction	p29_probe_blob_raw_bytes	p29_probe_blob_raw_fraction	p29_probe_blob_patch_raw_bytes	p29_probe_blob_patch_raw_fraction	p29_probe_root_wire_bytes	p29_probe_root_wire_fraction	p29_probe_block_wire_bytes	p29_probe_block_wire_fraction	p29_probe_path_wire_bytes	p29_probe_path_wire_fraction	p29_probe_framing_wire_bytes	p29_probe_framing_wire_fraction	p29_probe_region_control_wire_bytes	p29_probe_region_control_wire_fraction	p29_probe_region_other_wire_bytes	p29_probe_region_other_wire_fraction	p29_probe_literal_wire_bytes	p29_probe_literal_wire_fraction	p29_probe_array_control_wire_bytes	p29_probe_array_control_wire_fraction	p29_probe_array_values_wire_bytes	p29_probe_array_values_wire_fraction	p29_probe_source_control_wire_bytes	p29_probe_source_control_wire_fraction	p29_probe_source_files_wire_bytes	p29_probe_source_files_wire_fraction	p29_probe_selector_wire_bytes	p29_probe_selector_wire_fraction	p29_probe_blob_wire_bytes	p29_probe_blob_wire_fraction	p29_probe_blob_patch_wire_bytes	p29_probe_blob_patch_wire_fraction	p29_probe_line_other_wire_bytes	p29_probe_line_other_wire_fraction	p29_probe_association_wire_bytes	p29_probe_association_wire_fraction	p29_probe_missing_request_wire_bytes	p29_probe_missing_request_wire_fraction	p29_probe_blob_fallback_request_wire_bytes	p29_probe_blob_fallback_request_wire_fraction	p29_probe_blob_fallback_reply_wire_bytes	p29_probe_blob_fallback_reply_wire_fraction	p29_probe_missing_other_wire_bytes	p29_probe_missing_other_wire_fraction	grz_probe_wire_bpr	grz_probe_group_count	grz_probe_framing_bytes	grz_probe_add_bytes	grz_probe_add_bpr	grz_probe_anchor_samples	grz_probe_anchor_matches	grz_probe_anchor_sample_per_raw	grz_probe_anchor_occupied_fraction	grz_probe_anchor_usable_fraction	grz_probe_anchor_match_fraction	grz_probe_anchor_collision_fraction	grz_probe_close_reasons	probe_wire_delta_bpr
catch2	conan-gcc	861	946329192	112	118829028	489747	373785	997420	630989	811973	1039549	grz	grz	630989	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.004121442447547413	0.007507403539411575	0.0006654824200375426	0.08864348593278132	303669	0.0025555119410721762	2356239	0.01982881657502071	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	14221	0.02903744178116456	6459	0.013188442195664292	14317	0.02923346135861986	892	0.0018213485738554805	155118	0.31673088349698925	0	0.0	287186	0.586396649698722	0	0.0	0	0.0	0	0.0	0	0.0	111	0.0002266476364326887	0	0.0	0	0.0	0	0.0	0	0.0	11443	0.023365125258551864	0	0.0	0	0.0	0	0.0	0.0031455697845142686	1	108	3467237	0.029178367090573188	56056	2022	0.0004717365861142952	0.048879691736834596	0.048879691736834596	0.737956204379562	0.26204379562043795	tu	0.000975872663033144
catch2	debian-gcc	861	873426739	112	109442687	477387	366721	980640	627742	788682	1012912	grz	grz	627742	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.004361981719253658	0.007873679070471876	0.0007177383812999162	0.09115667210663966	298228	0.0027249696455278003	2299232	0.021008548520012122	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	13699	0.028695796073206853	6310	0.01321778766493432	13930	0.029179680217517445	892	0.0018685050074677358	152432	0.31930488262143714	0	0.0	278928	0.5842806779405388	0	0.0	0	0.0	0	0.0	0	0.0	111	0.00023251575765573842	0	0.0	0	0.0	0	0.0	0	0.0	11085	0.023220154717241984	0	0.0	0	0.0	0	0.0	0.0033508040605764733	1	108	3393639	0.031008366963797225	55177	2143	0.0005041634257389897	0.05105388114612973	0.05105388114612973	0.7607383741569045	0.2392616258430955	tu	0.001011177658677185
catch2	fedora-clang-libcxx	861	2661096447	112	341583853	540484	404277	1144702	1074972	1041081	1439521	grz	grz	1074972	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0015822879075024661	0.002881313498593204	0.0001719146719958713	0.059665382499963414	292914	0.0008575171145458096	3470416	0.010159777663729322	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	27386	0.050669400019242014	9981	0.018466781625358013	18069	0.03343114689796553	892	0.001650372628976991	152957	0.2830000518054189	0	0.0	309900	0.5733749750223873	0	0.0	0	0.0	0	0.0	0	0.0	111	0.00020537148185700225	0	0.0	0	0.0	0	0.0	0	0.0	21188	0.03920190051879427	0	0.0	0	0.0	0	0.0	0.0011835366234363542	1	108	4921478	0.014407818041680091	79717	3260	0.0002333746144610647	0.06032590288144311	0.06032590288144311	0.677895612393429	0.322104387606571	tu	0.0003987512840661119
catch2	linuxbrew	861	909464733	112	114071620	472808	365452	940671	611125	779840	1018905	grz	grz	611125	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.004144834622318855	0.00750578202644243	0.0006744450735940316	0.08985673594277067	294802	0.0025843588440314954	2276636	0.0199579527318013	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	12710	0.0268819478519822	5753	0.01216772981844639	14991	0.03170631630598467	892	0.0018866009035380111	150989	0.3193452733456287	0	0.0	277108	0.5860899138762458	0	0.0	0	0.0	0	0.0	0	0.0	111	0.00023476760122502157	0	0.0	0	0.0	0	0.0	0	0.0	10254	0.02168745029694929	0	0.0	0	0.0	0	0.0	0.0032037065836357896	1	108	3444318	0.030194346323827084	56021	2385	0.0004911037469267115	0.05467592509951625	0.05467592509951625	0.7786483839373164	0.22135161606268364	tu	0.0009411280386830657
cereal	conan-gcc	80	278081296	80	278081296	476746	380387	476746	380387	422521	540120	grz	grz	380387	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0017144123206330282	0.0032666366676577722	0.00013221203912241203	0.040473444883360736	297901	0.0010712730567826467	2789401	0.010030883198990845	501	1.8016314193242253e-06	3072	1.1047129181964111e-05	0	0.0	0	0.0	0	0.0	0	0.0	10252	0.02150411330142256	1737	0.003643449551752925	6620	0.013885800824757837	492	0.001031996073380794	143783	0.30159246223355834	0	0.0	303302	0.6361920183913446	101	0.00021185285246231745	394	0.0008264358799025057	0	0.0	0	0.0	43	9.019477877108565e-05	0	0.0	0	0.0	0	0.0	0	0.0	10022	0.021021676112646985	0	0.0	0	0.0	0	0.0	0.0013678985443163355	1	108	3733119	0.013424559845261941	58806	737	0.00021147053342271535	0.026953032003537054	0.026953032003537054	0.4649842271293375	0.5350157728706625	tu	0.0003465137763166927
cereal	debian-gcc	80	273782205	80	273782205	466708	374637	466708	374637	415859	532227	grz	grz	374637	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0017046688626092409	0.0032442793181778388	0.00013776239182805217	0.042463172346525	295248	0.001078404639191214	2737155	0.009997563574301697	501	1.829921707292846e-06	3072	1.1220597774059128e-05	0	0.0	0	0.0	0	0.0	0	0.0	9867	0.021141698878099368	1718	0.00368110253091869	6303	0.013505232393702273	492	0.0010541923429639088	142165	0.3046123057672035	0	0.0	295958	0.6341395476400662	101	0.00021640940373852602	394	0.0008442109413166263	0	0.0	0	0.0	43	9.213469664115464e-05	0	0.0	0	0.0	0	0.0	0	0.0	9667	0.02071316540534981	0	0.0	0	0.0	0	0.0	0.001368376005299541	1	108	3696193	0.013500486636814106	58252	659	0.0002127676632599259	0.024788848451555313	0.024788848451555313	0.45637119113573404	0.5436288088642659	tu	0.0003362928573097
cereal	fedora-clang-libcxx	80	375959867	80	375959867	498257	381779	498257	381779	447020	582554	grz	grz	381779	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0013252930531545272	0.0025561315989165397	9.998858727423695e-05	0.039117151603860624	282161	0.0007505082982700385	3475904	0.009245412356739662	501	1.3325890446705579e-06	3072	8.171084920614679e-06	0	0.0	0	0.0	0	0.0	0	0.0	22185	0.044525214899138396	2335	0.004686336569280512	10621	0.021316308651960734	492	0.0009874422235914397	137499	0.2759599965479662	0	0.0	303234	0.6085895431474119	101	0.00020270663533076305	394	0.0007907565774289172	0	0.0	0	0.0	43	8.630084474478031e-05	0	0.0	0	0.0	0	0.0	0	0.0	21353	0.04285539390314637	0	0.0	0	0.0	0	0.0	0.0010154780696312992	1	108	4854262	0.012911649423474236	76500	1139	0.0002034791655035882	0.033529411764705884	0.033529411764705884	0.44405458089668615	0.5559454191033139	tu	0.000309814983523228
cereal	linuxbrew	80	280493336	80	280493336	470913	376529	470913	376529	420906	539049	grz	grz	376529	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0016788741105777999	0.003200633049499118	0.0001234340371632291	0.038565507277551196	299048	0.0010661501063255207	2709346	0.009659217001861321	501	1.7861386910097572e-06	3072	1.0952131853856236e-05	0	0.0	0	0.0	0	0.0	0	0.0	11595	0.024622382478292168	1663	0.0035314378664424214	6794	0.014427293364167055	492	0.0010447789719120093	144466	0.3067785344639031	0	0.0	294112	0.6245569776158229	101	0.00021447698407136775	394	0.0008366725913279098	0	0.0	0	0.0	43	9.1311983317513e-05	0	0.0	0	0.0	0	0.0	0	0.0	11253	0.023896133680743576	0	0.0	0	0.0	0	0.0	0.0013423812678387483	1	108	3876071	0.01381876323792591	60877	710	0.00021703545926666864	0.026627461931435517	0.026627461931435517	0.4380012338062924	0.5619987661937076	tu	0.0003364928427390516
eigen	conan-gcc	1516	8189328289	112	574402121	838444	644831	2379861	4329139	2432608	3183100	p29	p29	2379861	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0014596812395823308	0.0027180590184216463	0.00015809121599913678	0.0581632756785903	558790	0.0009728202239698903	4752035	0.008273010886044412	42	7.311950716142986e-08	16	2.7855050347211375e-08	0	0.0	0	0.0	0	0.0	0	0.0	20600	0.024569321266536586	1349	0.0016089327373086336	6883	0.008209254285318995	896	0.0010686462065445039	260130	0.310253278692435	0	0.0	528544	0.6303867640534132	33	3.9358621446393557e-05	29	3.458787945289131e-05	0	0.0	0	0.0	112	0.00013358077581806298	0	0.0	0	0.0	0	0.0	0	0.0	19868	0.023696275481725673	0	0.0	0	0.0	0	0.0	0.001122612498152666	2	108	6493711	0.01130516542782752	102241	1211	0.0001779955126593274	0.035797771931025714	0.035797771931025714	0.3308743169398907	0.6691256830601093	raw,tu	0.00033706874142966467
eigen	debian-gcc	1516	8094963600	112	567281332	831135	640889	2376519	3932160	2418390	3165600	p29	p29	2376519	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	0.0014651196031248918	0.0027269378154051263	0.0001598404284807147	0.058615355134883446	557841	0.0009833586415285034	4749720	0.008372776842936901	42	7.403733849644818e-08	16	2.8204700379599305e-08	0	0.0	0	0.0	0	0.0	0	0.0	19929	0.02397805410673356	1340	0.0016122531237404273	6620	0.007965011700866886	896	0.0010780438797547932	259880	0.31268085208780766	0	0.0	523016	0.6292792386315099	33	3.970474110704037e-05	29	3.48920452152779e-05	0	0.0	0	0.0	112	0.00013475548496934915	0	0.0	0	0.0	0	0.0	0	0.0	19280	0.023197194198295103	0	0.0	0	0.0	0	0.0	0.0011297551388488138	2	108	6423441	0.01132320180068961	101367	1202	0.00017868911646117767	0.035366539406315664	0.035366539406315664	0.33528591352859133	0.6647140864714086	raw,tu	0.000335364464276078
