heldout_project	training_cells	test_cells	threshold_bytes	selected_bytes	hindsight_bytes	regret_bytes	correct_cells
catch2	40	4	497760264	2944828	2944828	0	4
cereal	40	4	497760264	1513332	1513332	0	4
eigen	40	4	510880565	9386635	9386635	0	4
fmt	40	4	497760264	2538125	2538125	0	4
leveldb	40	4	497760264	2431412	2431412	0	4
nlohmann-json	40	4	479182801	3253877	3253877	0	4
opencv	40	4	497760264	25049997	24584781	465216	3
range-v3	40	4	497760264	2937238	2836615	100623	3
re2	40	4	497760264	1482534	1482534	0	4
rocksdb	40	4	497760264	9585040	9585040	0	4
spdlog	40	4	497760264	2030474	2030474	0	4
