project	profile	total_tus	raw_bytes	probe_tus	probe_raw_bytes	p29_probe_bytes	grz_probe_bytes	p29_complete_bytes	grz_complete_bytes	z19_long_bytes	z6_long_bytes	complete_winner	fixed_500m_choice	fixed_500m_bytes	p29_source_sha256	p29_binary_sha256	grz_source_sha256	grz_binary_sha256	prefix_identity	exact	heldout_threshold_bytes	heldout_choice	heldout_bytes	heldout_correct
catch2	conan-gcc	861	946329192	112	118829028	489747	373785	997420	630989	811973	1039549	grz	grz	630989	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	630989	True
catch2	debian-gcc	861	873426739	112	109442687	477387	366721	980640	627742	788682	1012912	grz	grz	627742	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	627742	True
catch2	fedora-clang-libcxx	861	2661096447	112	341583853	540484	404277	1144702	1074972	1041081	1439521	grz	grz	1074972	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	1074972	True
catch2	linuxbrew	861	909464733	112	114071620	472808	365452	940671	611125	779840	1018905	grz	grz	611125	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	611125	True
cereal	conan-gcc	80	278081296	80	278081296	476746	380387	476746	380387	422521	540120	grz	grz	380387	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	380387	True
cereal	debian-gcc	80	273782205	80	273782205	466708	374637	466708	374637	415859	532227	grz	grz	374637	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	374637	True
cereal	fedora-clang-libcxx	80	375959867	80	375959867	498257	381779	498257	381779	447020	582554	grz	grz	381779	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	381779	True
cereal	linuxbrew	80	280493336	80	280493336	470913	376529	470913	376529	420906	539049	grz	grz	376529	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	376529	True
eigen	conan-gcc	1516	8189328289	112	574402121	838444	644831	2379861	4329139	2432608	3183100	p29	p29	2379861	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	510880565	p29	2379861	True
eigen	debian-gcc	1516	8094963600	112	567281332	831135	640889	2376519	3932160	2418390	3165600	p29	p29	2376519	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	510880565	p29	2376519	True
eigen	fedora-clang-libcxx	1522	10096756857	112	712973255	867332	662518	2320794	4864106	2586364	3685129	p29	p29	2320794	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	510880565	p29	2320794	True
eigen	linuxbrew	1522	8152489841	112	571048074	817428	639421	2309461	3874615	2390684	3178513	p29	p29	2309461	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	510880565	p29	2309461	True
fmt	conan-gcc	51	131371127	51	131371127	1020039	676267	1020039	676267	747862	950105	grz	grz	676267	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	676267	True
fmt	debian-gcc	51	128551487	51	128551487	1006187	665724	1006187	665724	736292	937614	grz	grz	665724	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	665724	True
fmt	fedora-clang-libcxx	51	192626053	51	192626053	783182	600948	783182	600948	674860	867928	grz	grz	600948	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	600948	True
fmt	linuxbrew	51	129410391	51	129410391	760819	595186	760819	595186	652104	821679	grz	grz	595186	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	595186	True
leveldb	conan-gcc	94	178753005	94	178753005	925045	621537	925045	621537	699429	892089	grz	grz	621537	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	621537	True
leveldb	debian-gcc	94	174821287	94	174821287	911927	612569	911927	612569	687969	877639	grz	grz	612569	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	612569	True
leveldb	fedora-clang-libcxx	94	321953631	94	321953631	945669	621604	945669	621604	701561	967056	grz	grz	621604	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	621604	True
leveldb	linuxbrew	94	180059857	94	180059857	785352	575702	785352	575702	642697	820287	grz	grz	575702	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	575702	True
nlohmann-json	conan-gcc	99	296219113	99	296219113	1202534	802802	1202534	802802	855284	1124942	grz	grz	802802	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	479182801	grz	802802	True
nlohmann-json	debian-gcc	99	288512502	99	288512502	1132913	760359	1132913	760359	810380	1064520	grz	grz	760359	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	479182801	grz	760359	True
nlohmann-json	fedora-clang-libcxx	99	428239197	99	428239197	1437035	881905	1437035	881905	936469	1319427	grz	grz	881905	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	479182801	grz	881905	True
nlohmann-json	linuxbrew	99	296702050	99	296702050	1272706	808811	1272706	808811	873551	1166734	grz	grz	808811	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	479182801	grz	808811	True
opencv	conan-gcc	1500	3598096497	112	34448996	461808	335867	6795281	6251815	6073953	7897024	grz	grz	6251815	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	6251815	True
opencv	debian-gcc	1500	3524073698	112	33330108	452525	330308	6779047	6229483	6048175	7855064	grz	grz	6229483	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	6229483	True
opencv	fedora-clang-libcxx	1500	5252526171	112	60289533	531296	388857	6144420	6609636	6146705	8009189	p29	grz	6609636	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	6609636	False
opencv	linuxbrew	1485	3610590484	112	34519097	398089	281410	6052292	5959063	5738870	7394642	grz	grz	5959063	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	5959063	True
range-v3	conan-gcc	537	912083285	112	152370714	326669	243844	850547	633756	770633	1024836	grz	grz	633756	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	633756	True
range-v3	debian-gcc	537	866488941	112	144346085	318637	237497	842644	625132	756030	1002325	grz	grz	625132	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	625132	True
range-v3	fedora-clang-libcxx	575	2005784147	112	357606376	462249	321009	936114	1036737	949409	1298692	p29	grz	1036737	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	1036737	False
range-v3	linuxbrew	575	1043257878	112	163123445	344804	245038	892676	641613	817018	1085321	grz	grz	641613	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	641613	True
re2	conan-gcc	72	87032434	72	87032434	462550	367974	462550	367974	389738	493414	grz	grz	367974	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	367974	True
re2	debian-gcc	72	84637328	72	84637328	453331	362280	453331	362280	384519	487493	grz	grz	362280	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	362280	True
re2	fedora-clang-libcxx	72	217114604	72	217114604	501668	396468	501668	396468	445413	577356	grz	grz	396468	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	396468	True
re2	linuxbrew	72	88654287	72	88654287	434258	355812	434258	355812	377050	477665	grz	grz	355812	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	355812	True
rocksdb	conan-gcc	418	1995458263	112	655730008	1494422	1191824	2555041	2679877	2405077	3139720	p29	p29	2555041	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	p29	2555041	True
rocksdb	debian-gcc	418	1804295565	112	593521934	1396430	1111481	2468928	2535516	2321239	3045022	p29	p29	2468928	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	p29	2468928	True
rocksdb	fedora-clang-libcxx	418	2407316918	112	766552465	1347657	1130804	2282164	2553438	2351699	3124382	p29	p29	2282164	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	p29	2282164	True
rocksdb	linuxbrew	418	1843673630	112	605360139	1320032	1081538	2278907	2444715	2240555	2942329	p29	p29	2278907	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	p29	2278907	True
spdlog	conan-gcc	168	262532575	112	214512803	668726	471882	715752	507502	565422	726595	grz	grz	507502	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	507502	True
spdlog	debian-gcc	168	255841435	112	209613682	656519	467088	703346	502334	556477	713229	grz	grz	502334	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	502334	True
spdlog	fedora-clang-libcxx	168	537083605	112	391084270	728136	485486	776806	522291	621278	815914	grz	grz	522291	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	522291	True
spdlog	linuxbrew	168	263293064	112	214970999	651385	463825	698032	498347	556325	713225	grz	grz	498347	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	True	True	497760264	grz	498347	True
