corpus	name	compiler	package	tus	charged_ratio	charged_wire_bytes	seed_model_bytes	exact	wall_s
corpus8	spdlog	clang	rocks-opencv	34	323.05503309866555	304544	79134	True	2.0
corpus7	fmt	clang	rocks-opencv	50	130.85332632122433	1042007	79134	True	4.3
corpus13	re2	clang	rocks-opencv	72	436.316571736179	252641	79134	True	3.4
corpus14	LevelDB	clang	rocks-opencv	72	222.0380912547998	647944	79134	True	4.8
corpus16	cereal	clang	rocks-opencv	84	1203.5751250888231	271607	79134	True	4.7
corpus10	nlohmann-json	clang	rocks-opencv	99	453.12358474858473	648648	79134	True	7.5
corpus15	simdjson	clang	rocks-opencv	153	690.1766519213596	678634	79134	True	15.0
corpus23	Arrow	clang	rocks-opencv	200	630.509299199331	1033261	79134	True	20.0
corpus11	range-v3	clang	rocks-opencv	200	794.9991167615026	609122	79134	True	18.7
corpus22	Folly	clang	rocks-opencv	200	352.5598464893878	2454814	79134	True	29.9
corpus24	Bitcoin	clang	rocks-opencv	200	631.5741068809535	1036368	79134	True	21.5
corpus3	DuckDB	clang	rocks-opencv	200	472.9431908253607	1367596	79134	True	22.3
corpus2	RocksDB	clang	llvm-godot	200	110.11708139460958	11120503	82083	True	61.9
corpus17	GCC	gcc	rocks-opencv	200	582.9920988163384	1154384	79134	True	13.1
corpus9	Catch2	clang	rocks-opencv	200	550.673655504228	385758	79134	True	10.6
corpus4	abseil-protobuf	clang	rocks-opencv	200	144.39233693877765	3797960	79134	True	28.9
corpus12	Eigen	clang	rocks-opencv	200	1326.4798887012978	828042	79134	True	22.8
corpus	LLVM	clang	rocks-opencv	200	504.26002204107607	1436409	79134	True	27.4
corpus19	Qt6	clang	rocks-opencv	200	263.3454776322532	3026523	79134	True	22.0
corpus5	OpenCV	clang	llvm-godot	200	287.7515745858937	1069170	82083	True	14.6
corpus21	PyTorch	clang	rocks-opencv	200	264.97307982529094	3631180	79134	True	30.4
corpus6	Godot	clang	rocks-opencv	200	875.2806923638227	437169	79134	True	14.3
corpus25	V8	clang	rocks-opencv	200	243.1688017732903	3543695	79134	True	36.1
corpus20	ClickHouse	clang	rocks-opencv	200	579.2075239298771	812687	79134	True	19.2
corpus18	Firefox	clang	rocks-opencv	200	766.3204453608174	4512476	79134	True	63.6
