corpus	name	tus	empty_online	exact
corpus8	spdlog	34	212.49529585568774	True
corpus7	fmt	50	112.75851911394268	True
corpus13	re2	72	281.34336300803466	True
corpus14	LevelDB	72	174.7539045893045	True
corpus16	cereal	84	1203.1808675873035	True
corpus10	nlohmann-json	99	358.46857765212957	True
corpus15	simdjson	153	514.3058862542797	True
corpus23	Arrow	200	545.7050265824449	True
corpus11	range-v3	200	622.027414082119	True
corpus22	Folly	200	324.46353693356485	True
corpus24	Bitcoin	200	463.6405772422396	True
corpus3	DuckDB	200	390.64027671161557	True
corpus2	RocksDB	200	107.43900513945886	True
corpus17	GCC	200	528.4042201878082	True
corpus9	Catch2	200	469.72339343443053	True
corpus4	abseil-protobuf	200	136.9062817287555	True
corpus12	Eigen	200	1130.0739849067086	True
corpus	LLVM	200	438.71015911279625	True
corpus19	Qt6	200	238.76383677614461	True
corpus5	OpenCV	200	248.72555211423148	True
corpus21	PyTorch	200	250.9489036169309	True
corpus6	Godot	200	688.9760489608072	True
corpus25	V8	200	243.59430361229172	True
corpus20	ClickHouse	200	582.2661358356692	True
corpus18	Firefox	200	766.5188495221341	True
